# (c) Der Bundeswahlleiter, Statistisches Bundesamt (Destatis), 2018;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Wahl zum 19. Deutschen Bundestag (24. September 2017);;;;;;;;;;;;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;;;;;;;;;;;
# Stimmabgabe in der Kombination der Erst- und Zweitstimmen nach Geschlecht und Geburtsjahresgruppen in den Ländern;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2017'.;;;;;;;;;;;;;;;
# Durch Auf- bzw. Abrundungen können sich in der Endsumme geringfügige Abweichungen ergeben.;;;;;;;;;;;;;;;
# Aus methodischen Gründen weichen in einigen Ländern die Summen der Parteien vom amtlichen Endergebnis geringfügig ab.;;;;;;;;;;;;;;;
# Für das Bundesgebiet wurde eine separate Hochrechnung durchgeführt. Die Kumulation einzelner Merkmalsgruppen in den Länderergebnissen weichen daher geringfügig zu den entsprechenden Bundesergebnissen ab.;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
Land;Geschlecht;Geburtsjahresgruppe;Partei Zweitstimme;Erststimme: Summe;Erststimme: Ungültig;Erststimme: CDU;Erststimme: SPD;Erststimme: DIE LINKE;Erststimme: GRÜNE;Erststimme: CSU;Erststimme: FDP;Erststimme: AfD;Erststimme: Sonstige;Erststimme: dar. NPD;Erststimme: dar. FREIE WÄHLER
Bund;Summe;Summe;Summe;46976341;586726;14030751;11429231;3966637;3717922;3255487;3249238;5317499;1422850;45169;589056
Bund;Summe;Summe;Ungültig;460849;312083;53634;39393;9041;5701;10086;8206;16758;5947;304;1987
Bund;Summe;Summe;CDU;12447656;54731;10609077;696310;134102;381553;;411718;92990;67176;1017;33195
Bund;Summe;Summe;SPD;9539381;42279;503272;7856620;277768;421676;105233;131347;115017;86171;1045;41302
Bund;Summe;Summe;DIE LINKE;4297270;17508;180821;679135;2858739;289029;26865;57553;83290;104329;647;25399
Bund;Summe;Summe;GRÜNE;4158400;12081;462406;1084251;180627;2150013;101110;74272;15303;78337;206;21792
Bund;Summe;Summe;CSU;2869688;12003;;101038;10659;73516;2505053;73800;20816;72803;0;45649
Bund;Summe;Summe;FDP;4999449;22729;1689949;419594;65210;134978;306221;2177762;105311;77695;495;42247
Bund;Summe;Summe;AfD;5878115;47023;334248;275680;150182;32030;103395;174336;4615544;145675;16666;52159
Bund;Summe;Summe;Sonstige;2325533;66288;197344;277209;280310;229427;97524;140244;252470;784718;24790;325327
Bund;Summe;Summe;dar. NPD;176020;3424;10429;11467;6490;2670;2613;7455;97893;33579;21452;4293
Bund;Summe;Summe;dar. FREIE WÄHLER;463292;6113;38894;41912;17578;16979;44817;28302;22787;245909;387;221449
Bund;Summe;1993 - 1999;Summe;3369640;37704;818710;836085;325815;450604;219436;291067;233988;156231;2503;45772
Bund;Summe;1993 - 1999;Ungültig;24303;19211;1417;1457;162;465;188;461;532;410;0;28
Bund;Summe;1993 - 1999;CDU;665605;2343;500514;73177;8085;40450;;30524;4330;6181;26;2273
Bund;Summe;1993 - 1999;SPD;615571;1364;58733;440690;22808;46582;12530;15679;8017;9168;110;3458
Bund;Summe;1993 - 1999;DIE LINKE;349726;984;13326;66109;200452;44582;2739;5309;2580;13646;33;1813
Bund;Summe;1993 - 1999;GRÜNE;488279;1341;58916;119930;33312;232920;14988;11621;1851;13401;22;2438
Bund;Summe;1993 - 1999;CSU;171568;645;;8967;1020;7876;139174;6313;813;6761;0;3949
Bund;Summe;1993 - 1999;FDP;441271;1575;133244;51836;7070;19737;26690;183639;7767;9714;0;3925
Bund;Summe;1993 - 1999;AfD;266957;1468;20285;20222;5887;3665;8217;13750;184363;9100;961;3026
Bund;Summe;1993 - 1999;Sonstige;346359;8773;32276;53697;47020;54328;14910;23772;23735;87849;1351;24861
Bund;Summe;1993 - 1999;dar. NPD;16690;150;1176;1457;310;357;419;807;9526;2490;1115;300
Bund;Summe;1993 - 1999;dar. FREIE WÄHLER;33863;303;3585;3889;1172;2084;4022;2675;1596;14537;0;12766
Bund;Summe;1983 - 1992;Summe;6039663;58687;1512418;1362375;631362;631769;383571;446910;703775;308797;10507;103486
Bund;Summe;1983 - 1992;Ungültig;39765;32301;2331;1546;616;450;314;477;1096;633;0;217
Bund;Summe;1983 - 1992;CDU;1286190;3103;1012363;107416;19907;64436;;51925;13249;13792;154;5338
Bund;Summe;1983 - 1992;SPD;1025242;2109;72670;776833;40632;63766;13544;19903;19873;15912;291;5710
Bund;Summe;1983 - 1992;DIE LINKE;656955;1465;25126;105025;415671;60365;5042;8048;9676;26538;52;3866
Bund;Summe;1983 - 1992;GRÜNE;666043;929;70305;166939;41179;338318;17071;11105;3236;16962;74;3923
Bund;Summe;1983 - 1992;CSU;322592;808;;15881;1761;12185;265442;9939;2877;13699;0;8893
Bund;Summe;1983 - 1992;FDP;683394;1609;227652;65121;9843;22134;43282;284220;14962;14570;124;7001
Bund;Summe;1983 - 1992;AfD;770820;3554;49271;49642;15497;5356;16400;26572;578086;26442;3976;9211
Bund;Summe;1983 - 1992;Sonstige;588662;12810;52701;73972;86256;64758;22476;34722;60718;180249;5836;59327
