# (c) Der Bundeswahlleiter, Statistisches Bundesamt (Destatis), 2018;;;;;
# ;;;;;
# Wahl zum 19. Deutschen Bundestag (24. September 2017);;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;
# Art der ungültigen Stimmen nach Geschlecht in den Ländern;;;;;
# ;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2017'.;;;;;
# Durch Auf- bzw. Abrundungen können sich in der Endsumme geringfügige Abweichungen ergeben.;;;;;
# ;;;;;
Land;Ungültige Erst-/Zweitstimme;Ungültigkeitsgrund;Summe;m;w
Bund;Summe;Ungültige Erststimmen;586726;275556;311170
Bund;Summe;Ungültige Zweitstimmen;460849;202598;258251
Bund;Beide;Summe;318195;145305;172890
Bund;Beide;Erst- und Zweitstimmenseite leer oder durchgestrichen;146303;68130;78173
Bund;Beide;Erststimmenseite leer oder durchgestrichen, Zweitstimmenseite mehrere Kreuze;37395;15039;22356
Bund;Beide;Erststimmenseite mehrere Kreuze, Zweitstimmenseite leer oder durchgestrichen;36363;13433;22930
Bund;Beide;Beide Seiten mehrere Kreuze;69038;32784;36253
Bund;Beide;Eine Seite leer oder durchgestrichen, andere Seite sonstige Ursachen;4817;2347;2470
Bund;Beide;Beide Seiten sonstige Ursachen;24280;13572;10708
Bund;1;Summe;268531;130251;138279
Bund;1;Erststimmenseite leer oder durchgestrichen;221584;108107;113478
Bund;1;Erststimmenseite mehrere Kreuze;33474;15835;17639
Bund;1;Sonstige Ursachen;13472;6309;7163
Bund;2;Summe;142654;57293;85360
Bund;2;Zweitstimmenseite leer oder durchgestrichen;109163;43710;65453
Bund;2;Zweitstimmenseite mehrere Kreuze;27890;11059;16832
Bund;2;Sonstige Ursachen;5600;2525;3075
SH;Summe;Ungültige Erststimmen;16172;7777;8395
SH;Summe;Ungültige Zweitstimmen;13553;5696;7857
SH;Beide;Summe;8500;3956;4544
SH;Beide;Erst- und Zweitstimmenseite leer oder durchgestrichen;4143;1970;2172
SH;Beide;Erststimmenseite leer oder durchgestrichen, Zweitstimmenseite mehrere Kreuze;603;271;332
SH;Beide;Erststimmenseite mehrere Kreuze, Zweitstimmenseite leer oder durchgestrichen;1221;417;804
SH;Beide;Beide Seiten mehrere Kreuze;1637;809;828
SH;Beide;Eine Seite leer oder durchgestrichen, andere Seite sonstige Ursachen;99;69;29
SH;Beide;Beide Seiten sonstige Ursachen;798;419;379
SH;1;Summe;7672;3821;3851
SH;1;Erststimmenseite leer oder durchgestrichen;6477;3363;3114
SH;1;Erststimmenseite mehrere Kreuze;316;84;232
SH;1;Sonstige Ursachen;880;375;505
SH;2;Summe;5053;1740;3313
SH;2;Zweitstimmenseite leer oder durchgestrichen;4512;1577;2935
SH;2;Zweitstimmenseite mehrere Kreuze;489;163;326
SH;2;Sonstige Ursachen;52;0;52
HH;Summe;Ungültige Erststimmen;9254;4030;5224
HH;Summe;Ungültige Zweitstimmen;6808;2783;4025
HH;Beide;Summe;5369;2229;3140
HH;Beide;Erst- und Zweitstimmenseite leer oder durchgestrichen;1498;709;789
HH;Beide;Erststimmenseite leer oder durchgestrichen, Zweitstimmenseite mehrere Kreuze;285;55;230
HH;Beide;Erststimmenseite mehrere Kreuze, Zweitstimmenseite leer oder durchgestrichen;479;176;303
HH;Beide;Beide Seiten mehrere Kreuze;1463;708;754
HH;Beide;Eine Seite leer oder durchgestrichen, andere Seite sonstige Ursachen;63;32;30
HH;Beide;Beide Seiten sonstige Ursachen;1582;548;1034
HH;1;Summe;3885;1801;2084
HH;1;Erststimmenseite leer oder durchgestrichen;3529;1576;1953
HH;1;Erststimmenseite mehrere Kreuze;162;30;132
HH;1;Sonstige Ursachen;194;194;0
HH;2;Summe;1439;554;885
HH;2;Zweitstimmenseite leer oder durchgestrichen;989;366;623
HH;2;Zweitstimmenseite mehrere Kreuze;395;161;234
HH;2;Sonstige Ursachen;55;27;28
NI;Summe;Ungültige Erststimmen;46554;22680;23874
NI;Summe;Ungültige Zweitstimmen;34895;16175;18720
NI;Beide;Summe;24709;11811;12898
NI;Beide;Erst- und Zweitstimmenseite leer oder durchgestrichen;10737;5510;5227
NI;Beide;Erststimmenseite leer oder durchgestrichen, Zweitstimmenseite mehrere Kreuze;3278;1256;2022
NI;Beide;Erststimmenseite mehrere Kreuze, Zweitstimmenseite leer oder durchgestrichen;3554;1655;1899
NI;Beide;Beide Seiten mehrere Kreuze;4384;2139;2245
NI;Beide;Eine Seite leer oder durchgestrichen, andere Seite sonstige Ursachen;1054;297;756
NI;Beide;Beide Seiten sonstige Ursachen;1702;953;749
NI;1;Summe;21845;10868;10977
NI;1;Erststimmenseite leer oder durchgestrichen;18695;9591;9104
NI;1;Erststimmenseite mehrere Kreuze;2357;1013;1344
NI;1;Sonstige Ursachen;793;264;529
NI;2;Summe;10186;4364;5822
NI;2;Zweitstimmenseite leer oder durchgestrichen;7547;3182;4365
NI;2;Zweitstimmenseite mehrere Kreuze;1818;637;1181
NI;2;Sonstige Ursachen;821;545;276
HB;Summe;Ungültige Erststimmen;4876;2302;2574
HB;Summe;Ungültige Zweitstimmen;3596;1637;1959
HB;Beide;Summe;2329;1033;1296
HB;Beide;Erst- und Zweitstimmenseite leer oder durchgestrichen;537;333;204
HB;Beide;Erststimmenseite leer oder durchgestrichen, Zweitstimmenseite mehrere Kreuze;421;69;351
HB;Beide;Erststimmenseite mehrere Kreuze, Zweitstimmenseite leer oder durchgestrichen;407;183;224
HB;Beide;Beide Seiten mehrere Kreuze;818;378;439
HB;Beide;Eine Seite leer oder durchgestrichen, andere Seite sonstige Ursachen;47;0;47
HB;Beide;Beide Seiten sonstige Ursachen;100;70;30
HB;1;Summe;2547;1270;1278
HB;1;Erststimmenseite leer oder durchgestrichen;2351;1148;1203
HB;1;Erststimmenseite mehrere Kreuze;169;94;75
HB;1;Sonstige Ursachen;28;28;0
HB;2;Summe;1267;604;663
HB;2;Zweitstimmenseite leer oder durchgestrichen;1082;434;648
HB;2;Zweitstimmenseite mehrere Kreuze;185;170;15
HB;2;Sonstige Ursachen;0;0;0
NW;Summe;Ungültige Erststimmen;124291;58111;66180
NW;Summe;Ungültige Zweitstimmen;85084;35258;49826
NW;Beide;Summe;57977;24649;33328
