# (c) Der Bundeswahlleiter, Statistisches Bundesamt (Destatis), 2022;;;;;;;;;;;;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Wahl zum 20. Deutschen Bundestag (26. September 2021);;;;;;;;;;;;;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;;;;;;;;;;;;
# Stimmabgabe nach Urnen- und Briefwahlbezirken, Geschlecht und Geburtsjahresgruppen im Bundesgebiet;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Die Ergebnisse der Männer beinhalten auch die Ergebnisse der Personen mit dem Geschlechtsmerkmal 'divers' als auch derjenigen ohne Geschlechtseintrag im Geburtenregister.;;;;;;;;;;;;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2021'.;;;;;;;;;;;;;;;;
# Durch Auf- bzw. Abrundungen können sich in der Endsumme geringfügige Abweichungen ergeben.;;;;;;;;;;;;;;;;
# Für die Ergebnisse der Urnen- und Briefwahlbezirke wurde eine separate Hochrechnung durchgeführt. Die Summen der einzelnen Merkmalsgruppen aus beiden Bezirksarten weichen daher geringfügig von den anderen Ergebnissen der repräsentativen Wahlstatistik ab.;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
Land;Erst-/Zweitstimme;Bezirksart;Geschlecht;Geburtsjahresgruppe;Summe;Ungültig;CDU;SPD;AfD;FDP;DIE LINKE;GRÜNE;CSU;Sonstige;dar. FREIE WÄHLER;dar. dieBasis
Bund;1;Summe;Summe;Summe;46854508;492495;10451524;12234690;4695611;4042951;2307536;6469081;2788048;3372572;1334739;735451
Bund;1;Summe;Summe;1997 - 2003;3537017;25096;437582;672265;218305;596704;277929;816539;131366;361233;108208;48158
Bund;1;Summe;Summe;1987 - 1996;6046716;44708;843091;1211563;590400;722163;417683;1307260;255547;654301;226737;113114
Bund;1;Summe;Summe;1977 - 1986;6452983;51626;1193329;1340640;878660;608585;324406;1080559;332019;643158;243607;155184
Bund;1;Summe;Summe;1962 - 1976;12584887;112228;2717215;3169671;1559865;1047130;521329;1736867;721941;998641;423443;257247
Bund;1;Summe;Summe;1952 - 1961;8443359;96170;1975750;2610317;881331;544640;393360;939549;551695;450546;209134;106497
Bund;1;Summe;Summe;1951 und früher;9789547;162666;3284557;3230234;567050;523730;372830;588308;795480;264694;123609;55252
Bund;1;Summe;m;Summe;22744128;220233;4983709;5735413;2853353;2114602;1108835;2843131;1340403;1544448;620863;294851
Bund;1;Summe;m;1997 - 2003;1776863;11789;227907;325520;132375;371134;113897;342971;69587;181683;53456;22259
Bund;1;Summe;m;1987 - 1996;3027502;21813;423813;587460;349511;418606;203856;568764;132136;321542;107481;47855
Bund;1;Summe;m;1977 - 1986;3202675;23210;586164;625799;538383;314849;161653;486861;162920;302836;115093;63638
Bund;1;Summe;m;1962 - 1976;6238417;51967;1384701;1501399;971719;513658;251315;762663;362404;438592;196240;101509
Bund;1;Summe;m;1952 - 1961;4144074;44615;941807;1265039;532232;264341;195714;427787;273853;198687;99201;41011
