# (c) Der Bundeswahlleiter, Statistisches Bundesamt (Destatis), 2022;;;;;;;;;;;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Wahl zum 20. Deutschen Bundestag (26. September 2021);;;;;;;;;;;;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;;;;;;;;;;;
# Stimmabgabe in der Kombination der Erst- und Zweitstimmen nach Geschlecht und Geburtsjahresgruppen in den Ländern;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Die Ergebnisse der Männer beinhalten auch die Ergebnisse der Personen mit dem Geschlechtsmerkmal 'divers' als auch derjenigen ohne Geschlechtseintrag im Geburtenregister.;;;;;;;;;;;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2021'.;;;;;;;;;;;;;;;
# Durch Auf- bzw. Abrundungen können sich in der Endsumme geringfügige Abweichungen ergeben.;;;;;;;;;;;;;;;
# Aus methodischen Gründen weichen in einigen Ländern die Summen der Parteien geringfügig vom amtlichen Endergebnis ab.;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
Land;Geschlecht;Geburtsjahresgruppe;Partei Zweitstimme;Erststimme: Summe;Erststimme: Ungültig;Erststimme: CDU;Erststimme: SPD;Erststimme: AfD;Erststimme: FDP;Erststimme: DIE LINKE;Erststimme: GRÜNE;Erststimme: CSU;Erststimme: Sonstige;Erststimme: dar. FREIE WÄHLER;Erststimme: dar. dieBasis
Bund;Summe;Summe;Summe;46854508;492495;10451524;12234690;4695611;4042951;2307536;6469081;2788048;3372572;1316686;734011
Bund;Summe;Summe;Ungültig;412485;276055;41021;39138;14856;9335;6345;6492;6945;12299;2891;4223
Bund;Summe;Summe;CDU;8775471;38262;7784877;324378;110237;277552;27029;128410;;84726;45759;8156
Bund;Summe;Summe;SPD;11955434;52639;710109;9323502;112419;238720;275550;851906;152205;238384;110263;17339
Bund;Summe;Summe;AfD;4803902;19943;201595;134695;4021300;133773;35176;9956;44862;202602;70389;82132
Bund;Summe;Summe;FDP;5319952;20598;1149949;438549;138691;2939446;40798;164711;211998;215212;116350;26512
Bund;Summe;Summe;DIE LINKE;2270906;8427;46212;329359;32558;32745;1448834;267281;4734;100758;19900;13649
Bund;Summe;Summe;GRÜNE;6852206;13921;294917;1166684;8108;102936;266156;4746504;70250;182729;35181;8415
Bund;Summe;Summe;CSU;2402827;9052;;64347;19283;53345;2876;28845;2153205;71874;49091;1895
Bund;Summe;Summe;Sonstige;4061325;53597;222844;414039;238158;255100;204774;264976;143850;2263988;866862;571690
Bund;Summe;Summe;dar. FREIE WÄHLER;1127784;6821;54413;70569;43535;60734;14684;18694;102732;755603;689007;21849
Bund;Summe;Summe;dar. dieBasis;630153;3410;11726;16411;48377;20455;13136;9190;3273;504177;19351;462620
Bund;Summe;1997 - 2003;Summe;3524799;25512;434605;667343;218003;592862;276324;816458;132261;361432;106749;48258
Bund;Summe;1997 - 2003;Ungültig;19800;15070;877;857;338;1048;233;325;33;1020;261;276
Bund;Summe;1997 - 2003;CDU;287469;627;225581;19743;4673;22098;1395;8105;;5248;2095;423
Bund;Summe;1997 - 2003;SPD;545634;1218;44351;358265;4245;30267;16031;61702;9753;19803;6382;1191
Bund;Summe;1997 - 2003;AfD;223761;384;10345;8019;174144;13576;1173;605;2889;12626;4876;4290
Bund;Summe;1997 - 2003;FDP;719759;1056;101368;66756;13908;439588;6458;31886;24122;34618;14770;3097
Bund;Summe;1997 - 2003;DIE LINKE;273338;733;2728;34559;905;6081;155943;56282;592;15515;1221;1217
Bund;Summe;1997 - 2003;GRÜNE;840842;871;22379;111082;729;20101;55339;590810;5988;33544;3341;821
Bund;Summe;1997 - 2003;CSU;89819;124;;3024;1067;4699;34;1631;74972;4269;3266;103
Bund;Summe;1997 - 2003;Sonstige;524377;5430;26977;65038;17995;55404;39718;65113;13912;234790;70536;36838
Bund;Summe;1997 - 2003;dar. FREIE WÄHLER;87176;586;4641;6690;2360;6884;1820;2548;8692;52956;47367;1263
Bund;Summe;1997 - 2003;dar. dieBasis;38615;53;743;1213;2109;2459;1235;996;170;29636;2181;25302
Bund;Summe;1987 - 1996;Summe;5992701;44955;835239;1203503;588419;718457;407852;1289831;253494;650951;224446;111570
Bund;Summe;1987 - 1996;Ungültig;35799;27510;1611;1937;950;1002;386;746;97;1559;54;511
Bund;Summe;1987 - 1996;CDU;611098;1548;500855;35253;11437;34183;2462;13575;;11785;6186;1082
Bund;Summe;1987 - 1996;SPD;1037821;2152;75353;727072;12728;33931;27666;106523;15502;36895;14015;2404
Bund;Summe;1987 - 1996;AfD;595117;1264;25081;18303;484782;23814;3054;1359;6890;30570;12004;10510
Bund;Summe;1987 - 1996;FDP;888122;1583;145869;75232;23429;527189;8165;34193;30860;41603;20902;4630
Bund;Summe;1987 - 1996;DIE LINKE;394570;840;4787;50550;3711;6064;232553;72577;510;22978;3092;2206
Bund;Summe;1987 - 1996;GRÜNE;1362917;1937;38072;190313;1526;21242;78588;976268;8804;46165;7140;1585
Bund;Summe;1987 - 1996;CSU;197174;418;;6703;2712;7673;468;4019;165897;9283;6516;345
Bund;Summe;1987 - 1996;Sonstige;870082;7702;43611;98139;47145;63359;54510;80571;24933;450112;154537;88296
Bund;Summe;1987 - 1996;dar. FREIE WÄHLER;186885;770;8854;10688;7543;12297;2103;3756;16448;124427;111085;3636
Bund;Summe;1987 - 1996;dar. dieBasis;92865;194;2196;3206;8419;4396;1965;1277;558;70656;3535;62621
Bund;Summe;1977 - 1986;Summe;6466965;51452;1197212;1342590;880187;609213;323578;1081171;332210;649352;242994;155238
Bund;Summe;1977 - 1986;Ungültig;41037;31034;2013;1883;1558;769;533;647;410;2190;631;638
Bund;Summe;1977 - 1986;CDU;932017;1746;792453;44107;17765;38674;4079;17456;;15738;8782;1406
Bund;Summe;1977 - 1986;SPD;1236294;3147;93452;893072;17632;31951;28757;111074;19921;37289;16496;2997
Bund;Summe;1977 - 1986;AfD;903013;1887;37757;25665;748685;26658;6171;1491;8400;46299;15956;18543
Bund;Summe;1977 - 1986;FDP;798823;2310;170676;59563;25703;436733;6209;25204;32554;39872;21619;5812
Bund;Summe;1977 - 1986;DIE LINKE;308251;611;6413;43145;5671;5272;190813;36679;859;18788;3168;2855
Bund;Summe;1977 - 1986;GRÜNE;1199122;1215;50374;191779;1656;15761;47712;843613;11732;35279;7394;1646
Bund;Summe;1977 - 1986;CSU;269037;536;;7619;2721;7755;381;4002;234534;11488;8047;335
Bund;Summe;1977 - 1986;Sonstige;779371;8966;44074;75757;58797;45641;38922;41005;23799;442409;160901;121006
Bund;Summe;1977 - 1986;dar. FREIE WÄHLER;209677;670;10335;13300;9729;11916;2628;3303;15695;142101;127264;5501
Bund;Summe;1977 - 1986;dar. dieBasis;133762;988;2321;3035;12335;5084;2512;1655;867;104965;3737;96109
Bund;Summe;1962 - 1976;Summe;12604097;111747;2721637;3171648;1559505;1051192;523633;1738183;727673;998879;416490;257493
Bund;Summe;1962 - 1976;Ungültig;86274;62949;6053;5044;3415;1716;1454;1386;1060;3196;725;1385
Bund;Summe;1962 - 1976;CDU;2260564;6047;1976883;84649;35719;81534;6650;42770;;26312;14423;2936
Bund;Summe;1962 - 1976;SPD;3182415;11591;192976;2419770;35068;67056;68629;266421;42610;78293;37967;6030
Bund;Summe;1962 - 1976;AfD;1604324;4795;63251;40717;1356106;39205;11973;3057;13907;71311;23699;32468
Bund;Summe;1962 - 1976;FDP;1416231;6222;325011;107127;40088;758742;11098;43423;61684;62836;37341;8913
Bund;Summe;1962 - 1976;DIE LINKE;515419;1844;11504;76187;9854;7663;333245;49540;1232;24350;7091;4058
Bund;Summe;1962 - 1976;GRÜNE;1826690;3252;87681;322703;2171;25399;47725;1271990;22115;43656;10664;2590
Bund;Summe;1962 - 1976;CSU;617846;1996;;16130;5683;13234;754;9755;547646;22650;16154;444
Bund;Summe;1962 - 1976;Sonstige;1094335;13050;58276;99321;71401;56643;42106;49843;37419;666277;268426;198670
Bund;Summe;1962 - 1976;dar. FREIE WÄHLER;344203;1590;15580;19539;13787;16721;3909;5013;27861;240202;220683;7003
Bund;Summe;1962 - 1976;dar. dieBasis;221702;1151;3433;4954;16139;5842;4130;3165;1053;181836;6308;168567
Bund;Summe;1952 - 1961;Summe;8435960;95625;1965006;2607468;882411;546049;394588;944474;553345;446994;205410;105472
Bund;Summe;1952 - 1961;Ungültig;78571;52414;7361;7833;4164;1199;1246;1099;1240;2014;521;613
Bund;Summe;1952 - 1961;CDU;1702790;7806;1524926;59689;22328;43627;5090;24876;;14449;8749;1219
Bund;Summe;1952 - 1961;SPD;2646552;10929;134489;2132826;23398;38883;63223;171841;31625;39338;21523;2942
Bund;Summe;1952 - 1961;AfD;895167;5930;34161;24309;768991;17672;6717;2254;7227;27906;9384;11016
Bund;Summe;1952 - 1961;FDP;753253;3600;180943;66440;22486;399910;4872;17461;33136;24405;15047;2821
Bund;Summe;1952 - 1961;DIE LINKE;405110;1701;9384;64819;7331;4502;269969;33538;673;13194;3665;2386
Bund;Summe;1952 - 1961;GRÜNE;982493;3083;48547;195996;1292;10712;24201;669834;12037;16793;4281;1060
Bund;Summe;1952 - 1961;CSU;492873;1618;;13808;4173;9158;691;4998;445202;13225;8797;362
Bund;Summe;1952 - 1961;Sonstige;479150;8544;25195;41748;28249;20386;18581;18572;22205;295669;133443;83054
Bund;Summe;1952 - 1961;dar. FREIE WÄHLER;177435;1594;7744;11109;6272;7638;2718;2447;16919;120996;112815;2853
Bund;Summe;1952 - 1961;dar. dieBasis;95731;723;1883;2299;6937;1674;2358;1647;331;77879;2589;72916
Bund;Summe;1951 und früher;Summe;9829986;163203;3297825;3242137;567086;525178;381561;598964;789066;264964;120596;55981
Bund;Summe;1951 und früher;Ungültig;151004;87078;23105;21584;4431;3600;2492;2290;4104;2320;698;800
Bund;Summe;1951 und früher;CDU;2981532;20488;2764180;80937;18316;57436;7354;21628;;11195;5525;1090
Bund;Summe;1951 und früher;SPD;3306718;23602;169488;2792497;19349;36633;71244;134344;32794;26766;13881;1776
Bund;Summe;1951 und früher;AfD;582519;5683;31001;17681;488592;12848;6088;1190;5548;13889;4469;5306
Bund;Summe;1951 und früher;FDP;743763;5827;226081;63431;13077;377285;3997;12545;29642;11879;6671;1238
Bund;Summe;1951 und früher;DIE LINKE;374217;2698;11395;60099;5087;3162;266311;18665;867;5933;1662;927
Bund;Summe;1951 und früher;GRÜNE;640143;3563;47865;154810;735;9721;12592;393989;9574;7293;2361;712
Bund;Summe;1951 und früher;CSU;736079;4360;;17062;2928;10827;548;4441;684955;10959;6310;305
Bund;Summe;1951 und früher;Sonstige;314010;9904;24709;34036;14571;13667;10937;9872;21582;174731;79019;43827
Bund;Summe;1951 und früher;dar. FREIE WÄHLER;122408;1610;7260;9244;3844;5277;1506;1627;17118;74921;69793;1592
Bund;Summe;1951 und früher;dar. dieBasis;47478;301;1150;1704;2438;999;936;451;294;39205;1001;37106
Bund;m;Summe;Summe;22734708;220270;4982359;5737028;2854612;2110369;1107736;2831007;1344645;1546681;613091;294789
Bund;m;Summe;Ungültig;175235;120295;15999;15887;6804;3528;2709;2261;3011;4742;1438;1510
Bund;m;Summe;CDU;4111015;16263;3667770;135280;64853;128258;11024;49155;;38412;21515;3071
Bund;m;Summe;SPD;5525260;22562;297286;4382902;64210;106161;125230;356786;65699;104424;47622;6291
Bund;m;Summe;AfD;2936401;10702;125929;73619;2488038;74601;20023;5821;28523;109143;41079;39175
Bund;m;Summe;FDP;2891790;10567;644261;216485;81619;1602891;17072;84776;122040;112079;60022;11375
Bund;m;Summe;DIE LINKE;1134507;4062;19371;172154;17609;13106;729296;126725;1935;50249;8595;5265
Bund;m;Summe;GRÜNE;3034660;6597;124044;542806;4916;46835;109923;2085344;28589;85607;15105;2987
Bund;m;Summe;CSU;1147180;4102;;27649;11430;26072;1305;11167;1031731;33723;21811;908
Bund;m;Summe;Sonstige;1778661;25120;87700;170246;115133;108917;91154;108971;63118;1008302;395904;224208
Bund;m;Summe;dar. FREIE WÄHLER;516790;3809;24442;29887;22269;26165;6029;8072;47436;348681;320707;8534
Bund;m;Summe;dar. dieBasis;246452;1439;3868;5932;21036;7848;4729;2833;1435;197333;7950;180721
Bund;m;1997 - 2003;Summe;1771704;11797;226552;323416;132304;368718;114541;342015;70142;182219;52641;22052
Bund;m;1997 - 2003;Ungültig;8609;6473;538;299;162;521;89;188;;339;169;47
Bund;m;1997 - 2003;CDU;144731;263;114685;8748;3049;11870;680;2880;;2557;1078;85
Bund;m;1997 - 2003;SPD;257994;696;19503;172781;2299;15168;6361;27141;4728;9317;2874;502
Bund;m;1997 - 2003;AfD;136303;83;6707;3864;107949;8008;584;454;1765;6890;2532;2255
Bund;m;1997 - 2003;FDP;461111;861;63279;39757;8896;291217;2708;17952;15629;20811;8326;1339
Bund;m;1997 - 2003;DIE LINKE;118383;179;1021;17645;324;2209;67241;22544;139;7081;577;545
Bund;m;1997 - 2003;GRÜNE;348148;371;8810;49300;519;10209;20236;241545;1842;15315;1307;210
Bund;m;1997 - 2003;CSU;46187;38;;1484;597;2179;;605;39103;2182;1639;39
Bund;m;1997 - 2003;Sonstige;250238;2834;12009;29539;8509;27337;16641;28706;6936;117727;34140;17030
Bund;m;1997 - 2003;dar. FREIE WÄHLER;43554;348;2391;3164;1269;3495;644;1073;4460;26712;23723;791
Bund;m;1997 - 2003;dar. dieBasis;16989;3;318;641;740;1184;301;291;90;13422;1014;11703
Bund;m;1987 - 1996;Summe;3002958;22548;421268;584832;348089;416227;199337;557623;130911;322122;107029;47848
Bund;m;1987 - 1996;Ungültig;17165;13390;783;1083;273;519;98;534;56;429;;222
Bund;m;1987 - 1996;CDU;301142;719;250207;15217;6420;17418;1089;4824;;5248;2956;448
Bund;m;1987 - 1996;SPD;486974;1177;32368;349027;6614;17033;12729;44640;6725;16662;5519;686
Bund;m;1987 - 1996;AfD;356394;822;15331;10970;292265;13456;1689;756;4306;16798;6860;5042
Bund;m;1987 - 1996;FDP;530975;833;87085;42578;14715;320260;3943;18526;20098;22936;10905;2476
Bund;m;1987 - 1996;DIE LINKE;205209;543;2129;28811;1946;2913;122465;34445;81;11877;1200;1013
Bund;m;1987 - 1996;GRÜNE;592441;883;14304;89223;824;10373;31874;418517;3559;22884;2676;524
Bund;m;1987 - 1996;CSU;97649;219;;3212;1672;3675;181;1147;83363;4182;2504;239
Bund;m;1987 - 1996;Sonstige;415010;3963;19063;44711;23359;30582;25268;34233;12725;221106;74409;37198
Bund;m;1987 - 1996;dar. FREIE WÄHLER;90477;476;4316;4611;4168;5376;1007;1635;8739;60147;53965;1384
Bund;m;1987 - 1996;dar. dieBasis;38809;66;849;1258;3433;1832;772;473;347;29780;1673;26104
Bund;m;1977 - 1986;Summe;3206665;23389;585876;627164;540189;314688;160716;486298;163113;305233;113905;64151
Bund;m;1977 - 1986;Ungültig;17889;13846;636;545;717;258;371;211;231;1073;280;352
Bund;m;1977 - 1986;CDU;446837;888;383469;18972;10265;18569;1441;6250;;6982;4067;305
Bund;m;1977 - 1986;SPD;562259;1004;37447;416280;10106;13434;12389;46871;8555;16172;6665;1217
Bund;m;1977 - 1986;AfD;554369;1026;22973;13504;467321;15237;3243;774;5528;24762;9312;9002
Bund;m;1977 - 1986;FDP;435439;1109;99564;29653;15361;235102;2856;13488;17831;20477;11027;2452
Bund;m;1977 - 1986;DIE LINKE;160645;314;2838;21915;3118;1770;100421;20013;466;9790;1164;1081
Bund;m;1977 - 1986;GRÜNE;544172;513;21124;90493;934;6983;20955;381016;5131;17022;3128;715
Bund;m;1977 - 1986;CSU;131675;322;;3219;1700;4197;98;1596;115230;5313;3677;158
Bund;m;1977 - 1986;Sonstige;353382;4365;17825;32583;30667;19139;18943;16078;10141;203642;74584;48868
Bund;m;1977 - 1986;dar. FREIE WÄHLER;97270;446;5064;5663;5163;5104;1303;1238;6812;66476;60270;2121
Bund;m;1977 - 1986;dar. dieBasis;53962;396;914;1064;5554;2079;796;192;482;42486;1149;39174
Bund;m;1962 - 1976;Summe;6242161;51397;1388481;1502373;971810;513769;251947;757532;366112;438740;193687;101234
Bund;m;1962 - 1976;Ungültig;37884;27833;2791;2124;1774;633;647;349;561;1174;336;410
Bund;m;1962 - 1976;CDU;1138360;2837;1007873;36297;22266;37127;3037;16497;;12425;6773;1465
Bund;m;1962 - 1976;SPD;1489471;5554;83412;1157741;20381;28625;31416;110509;18667;33166;16223;2144
Bund;m;1962 - 1976;AfD;1003998;2604;41358;22562;860541;21159;7169;1755;9072;37779;13846;15159
Bund;m;1962 - 1976;FDP;739924;2934;185494;49364;23014;386040;4348;21056;36454;31219;19326;3781
Bund;m;1962 - 1976;DIE LINKE;255486;815;4853;38885;5472;3036;166776;23125;552;11971;3085;1353
Bund;m;1962 - 1976;GRÜNE;815974;1560;39699;151912;1421;10494;20478;561327;9849;19233;5188;954
Bund;m;1962 - 1976;CSU;307460;995;;6136;3081;6447;406;4225;274954;11216;7844;225
Bund;m;1962 - 1976;Sonstige;453603;6265;23000;37352;33861;20207;17669;18689;16004;280557;121068;75743
Bund;m;1962 - 1976;dar. FREIE WÄHLER;155698;1022;6953;8245;6882;6987;1495;2013;12787;109314;101599;2401
Bund;m;1962 - 1976;dar. dieBasis;86201;625;937;1837;7542;1957;1777;1148;451;69927;2704;64415
Bund;m;1952 - 1961;Summe;4138983;44379;936097;1262999;532726;266245;194510;428381;275965;197682;97385;41015
Bund;m;1952 - 1961;Ungültig;34988;23943;2885;3495;1823;391;608;358;533;954;285;277
Bund;m;1952 - 1961;CDU;807128;3675;724670;26214;12765;19882;2098;10814;;7010;4453;551
Bund;m;1952 - 1961;SPD;1265665;4800;57994;1037214;14004;17298;29119;72485;14741;18010;10325;1242
Bund;m;1952 - 1961;AfD;543848;3116;20769;13506;471782;9631;3847;1353;4408;15436;5751;5093
Bund;m;1952 - 1961;FDP;381053;2056;96282;29831;12606;199906;1849;7912;18564;12047;7588;1067
Bund;m;1952 - 1961;DIE LINKE;207260;873;3605;35561;3913;1939;137871;16530;306;6661;1573;843
Bund;m;1952 - 1961;GRÜNE;456634;1520;21305;95082;757;4861;10655;309516;4752;8187;1896;312
Bund;m;1952 - 1961;CSU;246294;751;;6605;2620;4521;316;2138;223038;6303;3945;109
