# (c) Der Bundeswahlleiter, Statistisches Bundesamt (Destatis), 2022;;;;;;;;;;;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Wahl zum 20. Deutschen Bundestag (26. September 2021);;;;;;;;;;;;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;;;;;;;;;;;
# Stimmabgabe nach Geschlecht und Geburtsjahresgruppen in den Ländern;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Die Ergebnisse der Männer beinhalten auch die Ergebnisse der Personen mit dem Geschlechtsmerkmal 'divers' als auch derjenigen ohne Geschlechtseintrag im Geburtenregister.;;;;;;;;;;;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2021'.;;;;;;;;;;;;;;;
# Durch Auf- bzw. Abrundungen können sich in der Endsumme geringfügige Abweichungen ergeben.;;;;;;;;;;;;;;;
# Aus methodischen Gründen weichen in einigen Ländern die Summen der Parteien vom amtlichen Endergebnis geringfügig ab.;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
Land;Erst-/Zweitstimme;Geschlecht;Geburtsjahresgruppe;Summe;Ungültig;CDU;SPD;AfD;FDP;DIE LINKE;GRÜNE;CSU;Sonstige;dar. FREIE WÄHLER;dar. dieBasis
Bund;1;Summe;Summe;46854508;492495;10451524;12234690;4695611;4042951;2307536;6469081;2788048;3372572;1316686;734011
Bund;1;Summe;1997 – 2003;3524799;25512;434605;667343;218003;592862;276324;816458;132261;361432;106749;48258
Bund;1;Summe;1987 – 1996;5992701;44955;835239;1203503;588419;718457;407852;1289831;253494;650951;224446;111570
Bund;1;Summe;1977 – 1986;6466965;51452;1197212;1342590;880187;609213;323578;1081171;332210;649352;242994;155238
Bund;1;Summe;1962 – 1976;12604097;111747;2721637;3171648;1559505;1051192;523633;1738183;727673;998879;416490;257493
Bund;1;Summe;1952 – 1961;8435960;95625;1965006;2607468;882411;546049;394588;944474;553345;446994;205410;105472
Bund;1;Summe;1951 und früher;9829986;163203;3297825;3242137;567086;525178;381561;598964;789066;264964;120596;55981
Bund;1;m;Summe;22734708;220270;4982359;5737028;2854612;2110369;1107736;2831007;1344645;1546681;613091;294789
Bund;1;m;1997 – 2003;1771704;11797;226552;323416;132304;368718;114541;342015;70142;182219;52641;22052
Bund;1;m;1987 – 1996;3002958;22548;421268;584832;348089;416227;199337;557623;130911;322122;107029;47848
Bund;1;m;1977 – 1986;3206665;23389;585876;627164;540189;314688;160716;486298;163113;305233;113905;64151
Bund;1;m;1962 – 1976;6242161;51397;1388481;1502373;971810;513769;251947;757532;366112;438740;193687;101234
Bund;1;m;1952 – 1961;4138983;44379;936097;1262999;532726;266245;194510;428381;275965;197682;97385;41015
Bund;1;m;1951 und früher;4372237;66761;1424086;1436243;329494;230722;186686;259160;338401;100685;48443;18490
Bund;1;w;Summe;24119800;272225;5469165;6497662;1840999;1932582;1199800;3638074;1443403;1825891;703595;439222
Bund;1;w;1997 – 2003;1753095;13715;208053;343926;85699;224144;161783;474443;62118;179212;54108;26206
Bund;1;w;1987 – 1996;2989744;22407;413971;618671;240330;302229;208514;732208;122583;328829;117417;63722
Bund;1;w;1977 – 1986;3260299;28063;611336;715426;339998;294526;162862;594873;169097;344119;129090;91087
Bund;1;w;1962 – 1976;6361936;60350;1333156;1669275;587694;537423;271686;980652;361561;560139;222803;156260
Bund;1;w;1952 – 1961;4296976;51247;1028908;1344468;349685;279804;200079;516093;277380;249313;108024;64457
Bund;1;w;1951 und früher;5457749;96443;1873739;1805895;237592;294456;194876;339804;450665;164279;72153;37491
Bund;2;Summe;Summe;46854508;412485;8775471;11955434;4803902;5319952;2270906;6852206;2402827;4061325;1127784;630153
Bund;2;Summe;1997 – 2003;3524799;19800;287469;545634;223761;719759;273338;840842;89819;524377;87176;38615
Bund;2;Summe;1987 – 1996;5992701;35799;611098;1037821;595117;888122;394570;1362917;197174;870082;186885;92865
Bund;2;Summe;1977 – 1986;6466965;41037;932017;1236294;903013;798823;308251;1199122;269037;779371;209677;133762
Bund;2;Summe;1962 – 1976;12604097;86274;2260564;3182415;1604324;1416231;515419;1826690;617846;1094335;344203;221702
Bund;2;Summe;1952 – 1961;8435960;78571;1702790;2646552;895167;753253;405110;982493;492873;479150;177435;95731
Bund;2;Summe;1951 und früher;9829986;151004;2981532;3306718;582519;743763;374217;640143;736079;314010;122408;47478
Bund;2;m;Summe;22734708;175235;4111015;5525260;2936401;2891790;1134507;3034660;1147180;1778661;516790;246452
Bund;2;m;1997 – 2003;1771704;8609;144731;257994;136303;461111;118383;348148;46187;250238;43554;16989
Bund;2;m;1987 – 1996;3002958;17165;301142;486974;356394;530975;205209;592441;97649;415010;90477;38809
Bund;2;m;1977 – 1986;3206665;17889;446837;562259;554369;435439;160645;544172;131675;353382;97270;53962
Bund;2;m;1962 – 1976;6242161;37884;1138360;1489471;1003998;739924;255486;815974;307460;453603;155698;86201
Bund;2;m;1952 – 1961;4138983;34988;807128;1265665;543848;381053;207260;456634;246294;196113;82869;35763
Bund;2;m;1951 und früher;4372237;58700;1272817;1462897;341489;343288;187525;277292;317914;110316;46922;14728
Bund;2;w;Summe;24119800;237250;4664456;6430174;1867501;2428162;1136399;3817546;1255647;2282664;610994;383701
Bund;2;w;1997 – 2003;1753095;11192;142738;287640;87458;258648;154956;492694;43631;274139;43622;21626
Bund;2;w;1987 – 1996;2989744;18634;309956;550848;238724;357148;189361;770476;99525;455073;96409;54056
Bund;2;w;1977 – 1986;3260299;23148;485180;674036;348645;363384;147606;654950;137361;425989;112407;79799
Bund;2;w;1962 – 1976;6361936;48390;1122204;1692944;600326;676307;259933;1010716;310385;640732;188505;135501
Bund;2;w;1952 – 1961;4296976;43582;895662;1380886;351319;372200;197851;525859;246580;283038;94566;59968
Bund;2;w;1951 und früher;5457749;92304;1708716;1843821;241030;400475;186692;362852;418165;203694;75485;32750
