# (c) Der Bundeswahlleiter, Statistisches Bundesamt (Destatis), 2022;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;
# ;;;;;
# Wahl zum 20. Deutschen Bundestag (26. September 2021);;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;
# Art der ungültigen Stimmen nach Geschlecht in den Ländern;;;;;
# ;;;;;
# Die Ergebnisse der Männer beinhalten auch die Ergebnisse der Personen mit dem Geschlechtsmerkmal 'divers' als auch derjenigen ohne Geschlechtseintrag im Geburtenregister.;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2021'.;;;;;
# Durch Auf- bzw. Abrundungen können sich in der Endsumme geringfügige Abweichungen ergeben.;;;;;
# ;;;;;
Land;Ungültige Erst-/Zweitstimme;Ungültigkeitsgrund;Summe;m;w
Bund;Summe;Ungültige Erststimmen;492495;220688;271807
Bund;Summe;Ungültige Zweitstimmen;412485;174125;238360
Bund;Beide;Summe;276361;119976;156385
Bund;Beide;Erst- und Zweitstimmenseite leer oder durchgestrichen;128342;53992;74349
Bund;Beide;Erststimmenseite leer oder durchgestrichen, Zweitstimmenseite mehrere Kreuze;26175;10199;15976
Bund;Beide;Erststimmenseite mehrere Kreuze, Zweitstimmenseite leer oder durchgestrichen;24083;9437;14646
Bund;Beide;Beide Seiten mehrere Kreuze;62918;29557;33362
Bund;Beide;Eine Seite leer oder durchgestrichen, andere Seite sonstige Ursachen;2995;1556;1439
Bund;Beide;Beide Seiten sonstige Ursachen;31848;15235;16614
Bund;1;Summe;216134;100712;115422
Bund;1;Erststimmenseite leer oder durchgestrichen;191435;90447;100988
Bund;1;Erststimmenseite mehrere Kreuze;18402;7405;10998
Bund;1;Sonstige Ursachen;6296;2861;3436
Bund;2;Summe;136124;54149;81975
Bund;2;Zweitstimmenseite leer oder durchgestrichen;110460;43068;67392
Bund;2;Zweitstimmenseite mehrere Kreuze;22681;9681;13000
Bund;2;Sonstige Ursachen;2983;1400;1583
SH;Summe;Ungültige Erststimmen;16132;8086;8046
SH;Summe;Ungültige Zweitstimmen;13391;6562;6829
SH;Beide;Summe;9164;4417;4746
SH;Beide;Erst- und Zweitstimmenseite leer oder durchgestrichen;4518;2447;2071
SH;Beide;Erststimmenseite leer oder durchgestrichen, Zweitstimmenseite mehrere Kreuze;1294;604;690
SH;Beide;Erststimmenseite mehrere Kreuze, Zweitstimmenseite leer oder durchgestrichen;938;292;646
SH;Beide;Beide Seiten mehrere Kreuze;1819;741;1077
SH;Beide;Eine Seite leer oder durchgestrichen, andere Seite sonstige Ursachen;261;187;74
SH;Beide;Beide Seiten sonstige Ursachen;334;147;188
SH;1;Summe;6968;3668;3300
SH;1;Erststimmenseite leer oder durchgestrichen;6026;3010;3017
SH;1;Erststimmenseite mehrere Kreuze;835;551;283
SH;1;Sonstige Ursachen;107;107;0
SH;2;Summe;4227;2145;2082
SH;2;Zweitstimmenseite leer oder durchgestrichen;3471;1755;1716
SH;2;Zweitstimmenseite mehrere Kreuze;681;352;329
SH;2;Sonstige Ursachen;75;38;37
HH;Summe;Ungültige Erststimmen;7720;3919;3801
HH;Summe;Ungültige Zweitstimmen;5500;2688;2812
HH;Beide;Summe;4215;2020;2195
HH;Beide;Erst- und Zweitstimmenseite leer oder durchgestrichen;1062;465;597
HH;Beide;Erststimmenseite leer oder durchgestrichen, Zweitstimmenseite mehrere Kreuze;174;33;141
HH;Beide;Erststimmenseite mehrere Kreuze, Zweitstimmenseite leer oder durchgestrichen;456;201;255
HH;Beide;Beide Seiten mehrere Kreuze;1281;706;575
HH;Beide;Eine Seite leer oder durchgestrichen, andere Seite sonstige Ursachen;4;0;4
HH;Beide;Beide Seiten sonstige Ursachen;1237;615;622
HH;1;Summe;3505;1899;1606
