# (c) Der Bundeswahlleiter, Statistisches Bundesamt (Destatis), 2022;;;;;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;
# ;;;;;;;;;
# Wahl zum 20. Deutschen Bundestag (26. September 2021);;;;;;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;;;;;
# Wahlberechtigte ohne und mit Wahlschein, Wähler/-innen ohne und mit Wahlschein und Wahlbeteiligung nach Geschlecht und Geburtsjahresgruppen in den Ländern;;;;;;;;;
# ;;;;;;;;;
# Die Ergebnisse der Männer beinhalten auch die Ergebnisse der Personen mit dem Geschlechtsmerkmal 'divers' als auch derjenigen ohne Geschlechtseintrag im Geburtenregister.;;;;;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2021'.;;;;;;;;;
# Durch Auf- bzw. Abrundungen können sich in der Endsumme geringfügige Abweichungen ergeben.;;;;;;;;;
# ;;;;;;;;;
Land;Geschlecht;Geburtsjahresgruppe;Wahlberechtigte;Wahlberechtigte ohne Wahlscheinvermerk;Wahlberechtigte mit Wahlscheinvermerk;Wähler/-innen;Wähler/-innen ohne Wahlschein;Wähler/-innen mit Wahlschein;Wahlbeteiligung
Bund;Summe;Summe;61181072;37839651;23341421;46854508;24576874;22277634;76,6
Bund;Summe;2001 - 2003;1960308;1391586;568722;1382344;839212;543132;70,5
Bund;Summe;1997 - 2000;3019738;1954763;1064974;2150944;1133942;1017002;71,2
Bund;Summe;1992 - 1996;3716615;2310950;1405665;2689049;1347064;1341985;72,4
Bund;Summe;1987 - 1991;4351153;2772243;1578909;3195676;1689061;1506615;73,4
Bund;Summe;1982 - 1986;4319899;2850834;1469065;3230564;1828883;1401681;74,8
Bund;Summe;1977 - 1981;4195036;2821283;1373753;3175720;1864968;1310752;75,7
Bund;Summe;1972 - 1976;4084033;2715891;1368141;3191596;1885807;1305789;78,1
Bund;Summe;1962 - 1971;11820527;7244511;4576016;9483921;5116158;4367763;80,2
Bund;Summe;1952 - 1961;10450116;6118060;4332056;8367047;4232225;4134822;80,1
Bund;Summe;1951 und früher;13263648;7659529;5604118;9987648;4639555;5348093;75,3
Bund;m;Summe;29685636;18942032;10743605;22757297;12502778;10254519;76,7
Bund;m;2001 - 2003;1013663;747531;266131;698770;444615;254155;68,9
Bund;m;1997 - 2000;1552460;1063009;489451;1087619;620124;467494;70,1
Bund;m;1992 - 1996;1905371;1252829;652543;1347081;724021;623060;70,7
Bund;m;1987 - 1991;2211330;1456570;754759;1600602;880343;720259;72,4
Bund;m;1982 - 1986;2193390;1481246;712144;1616223;936710;679514;73,7
Bund;m;1977 - 1981;2112045;1448988;663057;1577569;944868;632701;74,7
Bund;m;1972 - 1976;2036417;1402452;633965;1569863;964786;605078;77,1
Bund;m;1962 - 1971;5916125;3780195;2135931;4710871;2672161;2038711;79,6
Bund;m;1952 - 1961;5086950;3060582;2026368;4077215;2142985;1934230;80,2
Bund;m;1951 und früher;5657885;3248629;2409256;4471483;2172165;2299318;79,0
Bund;w;Summe;31495436;18897619;12597816;24097211;12074096;12023115;76,5
Bund;w;2001 - 2003;946646;644055;302591;683574;394597;288977;72,2
Bund;w;1997 - 2000;1467278;891754;575524;1063325;513818;549508;72,5
Bund;w;1992 - 1996;1811243;1058121;753123;1341967;623043;718924;74,1
Bund;w;1987 - 1991;2139823;1315673;824150;1595073;808717;786356;74,5
Bund;w;1982 - 1986;2126509;1369588;756921;1614341;892173;722167;75,9
Bund;w;1977 - 1981;2082991;1372295;710696;1598151;920100;678051;76,7
Bund;w;1972 - 1976;2047616;1313440;734176;1621733;921022;700712;79,2
Bund;w;1962 - 1971;5904401;3464316;2440085;4773049;2443997;2329052;80,8
Bund;w;1952 - 1961;5363167;3057478;2305689;4289832;2089240;2200592;80,0
Bund;w;1951 und früher;7605763;4410900;3194862;5516165;2467390;3048776;72,5
SH;Summe;Summe;2272717;1651400;621317;1776145;1184015;592130;78,2
SH;Summe;2001 - 2003;71532;57305;14227;53641;40082;13559;75,0
SH;Summe;1997 - 2000;112305;85332;26974;81649;55943;25706;72,7
SH;Summe;1992 - 1996;143101;105299;37802;103029;67003;36026;72,0
SH;Summe;1987 - 1991;150657;115382;35275;108633;75015;33618;72,1
SH;Summe;1982 - 1986;146619;113159;33459;110084;78197;31887;75,1
SH;Summe;1977 - 1981;145044;111774;33270;111625;79919;31707;77,0
SH;Summe;1972 - 1976;152239;117621;34618;120268;87276;32992;79,0
SH;Summe;1962 - 1971;463182;340513;122669;375880;258973;116906;81,2
SH;Summe;1952 - 1961;377729;259322;118406;308211;195367;112844;81,6
SH;Summe;1951 und früher;510309;345692;164617;403124;246240;156884;79,0
SH;m;Summe;1102467;815614;286853;860208;586830;273378;78,0
SH;m;2001 - 2003;35375;29224;6151;26362;20500;5862;74,5
SH;m;1997 - 2000;57092;45011;12081;40234;28721;11513;70,5
SH;m;1992 - 1996;73811;56354;17457;51117;34480;16637;69,3
SH;m;1987 - 1991;78457;61001;17456;55998;39362;16636;71,4
SH;m;1982 - 1986;72396;56118;16278;52956;37443;15513;73,1
SH;m;1977 - 1981;71340;55137;16203;53962;38520;15442;75,6
SH;m;1972 - 1976;74997;59067;15930;58605;43424;15181;78,1
SH;m;1962 - 1971;229750;172598;57153;184939;130471;54468;80,5
SH;m;1952 - 1961;183170;128040;55130;149698;97158;52540;81,7
SH;m;1951 und früher;226079;153064;73015;186336;116751;69585;82,4
SH;w;Summe;1170250;835786;334464;915937;597185;318752;78,3
SH;w;2001 - 2003;36156;28081;8076;27279;19583;7696;75,4
SH;w;1997 - 2000;55214;40321;14893;41415;27222;14193;75,0
SH;w;1992 - 1996;69290;48945;20345;51912;32523;19389;74,9
SH;w;1987 - 1991;72200;54381;17819;52635;35653;16982;72,9
SH;w;1982 - 1986;74222;57041;17181;57128;40754;16374;77,0
SH;w;1977 - 1981;73704;56638;17067;57663;41398;16265;78,2
SH;w;1972 - 1976;77242;58554;18688;61663;43853;17810;79,8
SH;w;1962 - 1971;233432;167916;65516;190941;128503;62439;81,8
SH;w;1952 - 1961;194559;131282;63277;158513;98209;60304;81,5
SH;w;1951 und früher;284230;192627;91603;216788;129489;87299;76,3
HH;Summe;Summe;1298792;751885;546907;1011044;485362;525682;77,8
HH;Summe;2001 - 2003;39773;29072;10700;28198;17913;10285;70,9
HH;Summe;1997 - 2000;77541;49837;27705;58015;31386;26629;74,8
HH;Summe;1992 - 1996;115047;62445;52602;88798;38238;50561;77,2
HH;Summe;1987 - 1991;130247;72101;58146;100830;44940;55890;77,4
HH;Summe;1982 - 1986;114028;65322;48706;88567;41751;46816;77,7
HH;Summe;1977 - 1981;105349;63552;41797;82848;42673;40175;78,6
HH;Summe;1972 - 1976;94280;58756;35523;74759;40615;34145;79,3
HH;Summe;1962 - 1971;235512;139350;96162;188955;96524;92430;80,2
HH;Summe;1952 - 1961;171860;95815;76045;135155;62061;73094;78,6
HH;Summe;1951 und früher;215154;115634;99519;164918;69261;95657;76,7
HH;m;Summe;625207;380139;245068;480193;244635;235557;76,8
HH;m;2001 - 2003;19400;14893;4507;13062;8731;4332;67,3
HH;m;1997 - 2000;41090;27658;13432;30412;17501;12910;74,0
HH;m;1992 - 1996;54193;32327;21866;40208;19190;21018;74,2
HH;m;1987 - 1991;63680;37993;25686;47439;22750;24689;74,5
HH;m;1982 - 1986;57114;33556;23558;43549;20905;22644;76,2
