# (c) Die Bundeswahlleiterin, Statistisches Bundesamt (Destatis), 2025;;;;;;;;;;;;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Wahl zum 21. Deutschen Bundestag (23. Februar 2025);;;;;;;;;;;;;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;;;;;;;;;;;;
# Stimmabgabe nach Urnen- und Briefwahlbezirken, Geschlecht und Geburtsjahresgruppen im Bundesgebiet;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Die Ergebnisse der Männer beinhalten auch die Ergebnisse der Personen mit dem Geschlechtsmerkmal 'divers' als auch derjenigen ohne Geschlechtseintrag im Geburtenregister.;;;;;;;;;;;;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2025'.;;;;;;;;;;;;;;;;
# Für die Ergebnisse der Urnen- und Briefwahlbezirke wurde eine separate Hochrechnung durchgeführt. Die Summen der einzelnen Merkmalsgruppen aus beiden Bezirksarten weichen daher geringfügig von den anderen Ergebnissen der repräsentativen Wahlstatistik ab.;;;;;;;;;;;;;;;;
# Durch Auf- bzw. Abrundungen können sich geringfügige Differenzen ergeben.;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
Land;Erst-/Zweitstimme;Bezirksart;Geschlecht;Geburtsjahresgruppe;Summe;Ungültig;SPD;CDU;GRÜNE;FDP;AfD;CSU;Die Linke;Sonstige;dar. FREIE WÄHLER;dar. BSW
Bund;1;Summe;Summe;Summe;49928653;423264;9936433;12604184;5443393;1622912;10177318;3272064;3933297;2515788;1254565;299401
Bund;1;Summe;Summe;2001-2007;3363686;19862;660027;451957;438414;155356;617645;132169;686277;201979;79325;18878
Bund;1;Summe;Summe;1991-2000;6192862;34702;1054996;954482;1030938;269861;1236999;295087;875815;439982;191733;31716
Bund;1;Summe;Summe;1981-1990;7493320;49573;1130684;1555439;1019049;244278;1954430;426864;632582;480420;234738;46279
Bund;1;Summe;Summe;1966-1980;12047461;86777;2014144;3070666;1320468;354441;3026770;801723;716408;656064;353691;67507
Bund;1;Summe;Summe;1956-1965;9778759;88870;2139569;2651783;958254;260345;2051522;696732;506610;425072;233720;62167
Bund;1;Summe;Summe;<=1955;11052565;143479;2937012;3919857;676269;338630;1289952;919489;515605;312271;161359;72854
Bund;1;Summe;m|d|o;Summe;24338753;192376;4427782;6200407;2372341;827247;5919761;1613633;1647125;1138082;564683;124996
Bund;1;Summe;m|d|o;2001-2007;1694516;11010;297010;270675;186441;100616;405901;78142;238809;105913;42523;8676
Bund;1;Summe;m|d|o;1991-2000;3114025;17835;483622;510913;454838;156332;748337;153994;370850;217303;96081;14182
Bund;1;Summe;m|d|o;1981-1990;3772675;23227;509111;785542;462193;126185;1146359;216817;283961;219281;107233;18098
Bund;1;Summe;m|d|o;1966-1980;6006662;37896;902287;1564482;581307;169951;1768459;404230;295423;282627;152345;25953
Bund;1;Summe;m|d|o;1956-1965;4806281;41075;980094;1328826;410644;119960;1167796;345904;228028;183954;102888;25302
Bund;1;Summe;m|d|o;<=1955;4944593;61333;1255658;1739969;276919;154203;682909;414546;230053;129003;63613;32786
Bund;1;Summe;w;Summe;25589900;230888;5508651;6403777;3071052;795665;4257557;1658431;2286172;1377706;689882;174405
Bund;1;Summe;w;2001-2007;1669170;8852;363017;181283;251973;54740;211744;54027;447468;96066;36801;10202
Bund;1;Summe;w;1991-2000;3078837;16867;571375;443569;576100;113529;488662;141092;504965;222678;95652;17534
Bund;1;Summe;w;1981-1990;3720645;26346;621574;769897;556857;118094;808071;210047;348621;261139;127505;28181
Bund;1;Summe;w;1966-1980;6040799;48882;1111857;1506184;739161;184490;1258311;397493;420985;373438;201346;41554
Bund;1;Summe;w;1956-1965;4972478;47795;1159475;1322957;547611;140385;883726;350828;278582;241118;130832;36865
Bund;1;Summe;w;<=1955;6107972;82146;1681354;2179888;399350;184427;607043;504943;285552;183268;97747;40069
Bund;1;Urne;Summe;Summe;31430857;300676;6117867;7691502;3013080;1005802;7841881;1412491;2678016;1369542;651194;182658
Bund;1;Urne;Summe;2001-2007;2234402;14424;439482;290979;232243;100338;484938;55878;497459;118661;43248;13309
Bund;1;Urne;Summe;1991-2000;3712086;22940;634242;561666;500268;155554;930574;110566;568939;227336;96659;20958
Bund;1;Urne;Summe;1981-1990;4924740;34980;729079;995108;577443;158140;1543629;186446;429959;269956;128874;29945
Bund;1;Urne;Summe;1966-1980;7998285;61774;1316856;1974001;807708;230815;2357936;364934;511769;372492;191881;42420
Bund;1;Urne;Summe;1956-1965;6177681;62378;1324726;1621729;536881;162964;1589902;307890;346426;224784;116346;37214
Bund;1;Urne;Summe;<=1955;6383662;104180;1673482;2248019;358536;197991;934902;386777;323463;156313;74185;38813
Bund;1;Urne;m|d|o;Summe;15913476;136779;2829246;3913535;1363346;523480;4603381;735486;1159442;648782;306645;81036
Bund;1;Urne;m|d|o;2001-2007;1184572;8176;208892;183711;109398;68555;321598;35639;182343;66259;25308;6653
Bund;1;Urne;m|d|o;1991-2000;1971708;12070;307105;313566;237035;93068;569113;63943;253102;122706;53435;10292
Bund;1;Urne;m|d|o;1981-1990;2535000;16811;332940;509439;266686;81146;907308;98216;197418;125037;59983;12082
Bund;1;Urne;m|d|o;1966-1980;4116951;27462;610294;1033836;362756;112662;1393829;192904;217118;166089;85631;17227
Bund;1;Urne;m|d|o;1956-1965;3129864;28648;626979;833949;237515;75639;907232;158606;160636;100660;52149;16120
Bund;1;Urne;m|d|o;<=1955;2975381;43611;743037;1039033;149955;92408;504301;186178;148825;68032;30140;18662
