# (c) Die Bundeswahlleiterin, Statistisches Bundesamt (Destatis), 2025;;;;;;;;;;;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Wahl zum 21. Deutschen Bundestag (23. Februar 2025);;;;;;;;;;;;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;;;;;;;;;;;
# Stimmabgabe in der Kombination der Erst- und Zweitstimmen nach Geschlecht und Geburtsjahresgruppen in den Ländern;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Die Ergebnisse der Männer beinhalten auch die Ergebnisse der Personen mit dem Geschlechtsmerkmal 'divers' als auch derjenigen ohne Geschlechtseintrag im Geburtenregister.;;;;;;;;;;;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2025'.;;;;;;;;;;;;;;;
# Durch Auf- bzw. Abrundungen können sich geringfügige Differenzen ergeben.;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
Land;Geschlecht;Geburtsjahresgruppe;Partei Zweitstimme;Erststimme: Summe;Erststimme: Ungültig;Erststimme: SPD;Erststimme: CDU;Erststimme: GRÜNE;Erststimme: FDP;Erststimme: AfD;Erststimme: CSU;Erststimme: Die Linke;Erststimme: Sonstige;Erststimme: dar. FREIE WÄHLER;Erststimme: dar. BSW
Bund;Summe;Summe;Summe;49928653;423264;9936433;12604184;5443393;1622912;10177318;3272064;3933297;2515788;1254565;299401
Bund;Summe;Summe;ungültig;279141;191760;22783;25009;3013;2933;19513;4917;4595;4617;2471;157
Bund;Summe;Summe;SPD;8149124;24957;6746832;478559;422432;42864;34879;82525;203984;112092;48860;5526
Bund;Summe;Summe;CDU;11196374;30700;485042;10040497;136318;160431;158368;;69031;115986;72199;7388
Bund;Summe;Summe;GRÜNE;5762380;7381;1005031;283983;4054600;22876;4724;54317;222755;106713;20411;557
Bund;Summe;Summe;FDP;2148757;5361;107648;650844;33348;1071077;77306;122461;23210;57502;38164;2408
Bund;Summe;Summe;AfD;10328780;35987;98754;440246;6922;85805;9288003;120129;51845;201090;120242;18513
Bund;Summe;Summe;CSU;2964028;5372;60253;;28255;31309;26435;2704950;5837;101618;84697;688
Bund;Summe;Summe;Die Linke;4356532;10491;815479;133649;566310;25157;36242;17911;2645454;105841;29050;13635
Bund;Summe;Summe;Sonstige;4743537;111254;594612;551398;192193;180460;531849;164853;706587;1710330;838473;250528
Bund;Summe;Summe;dar. FREIE WÄHLER;769279;3492;39534;58771;7939;17960;29681;89285;13428;509188;488495;2008
Bund;Summe;Summe;dar. BSW;2472947;76464;362789;343254;46703;106811;393971;45992;508834;588131;198247;240352
Bund;Summe;2001-2007;Summe;3396728;20857;664422;460874;444805;156426;622309;133099;691867;202067;78817;19268
Bund;Summe;2001-2007;ungültig;13506;10497;617;239;47;23;901;288;538;358;144;
Bund;Summe;2001-2007;SPD;381835;423;268976;29635;31312;6790;2437;6229;24997;11035;3438;293
Bund;Summe;2001-2007;CDU;337620;654;23887;275828;6009;11679;8737;;4334;6492;3127;409
Bund;Summe;2001-2007;GRÜNE;398134;268;76546;14086;256401;3126;500;3813;30545;12850;1476;4
Bund;Summe;2001-2007;FDP;191006;434;14209;48511;4569;96027;6909;9909;4454;5984;3749;216
Bund;Summe;2001-2007;AfD;641153;1260;8551;32149;585;8481;561761;9010;4650;14707;7427;1564
Bund;Summe;2001-2007;CSU;100800;30;3163;;1732;2092;2232;85606;737;5208;4374;
Bund;Summe;2001-2007;Die Linke;922034;1145;207098;15055;123755;5753;2870;3754;541488;21117;4308;1876
Bund;Summe;2001-2007;Sonstige;410641;6145;61375;45373;20396;22456;35963;14491;80125;124317;50774;14907
Bund;Summe;2001-2007;dar. FREIE WÄHLER;43511;175;2576;2487;447;1612;1620;5896;1906;26791;25025;308
Bund;Summe;2001-2007;dar. BSW;192219;3586;34523;26497;4257;12337;21746;5004;45942;38327;11910;13689
Bund;Summe;1991-2000;Summe;6214725;35360;1053162;965210;1029044;269350;1251724;291474;884000;435402;190045;30672
Bund;Summe;1991-2000;ungültig;18520;14885;546;826;128;62;1057;185;412;419;232;
Bund;Summe;1991-2000;SPD;682423;1352;511857;46035;56392;6352;3788;10354;29746;16546;5328;393
Bund;Summe;1991-2000;CDU;758646;1252;45312;641710;13179;19124;16586;;7097;14387;8471;362
Bund;Summe;1991-2000;GRÜNE;984471;543;154732;32780;700906;4456;579;7101;58088;25285;3273;226
Bund;Summe;1991-2000;FDP;319398;538;19297;78658;8423;173419;9344;15325;4477;9916;5906;275
Bund;Summe;1991-2000;AfD;1291174;3593;12895;60071;1334;15501;1141247;19888;6712;29932;18039;1797
Bund;Summe;1991-2000;CSU;240777;184;5160;;3763;3877;3288;211541;885;12080;9465;215
Bund;Summe;1991-2000;Die Linke;1088429;1498;196704;18140;192656;6170;5034;3291;640175;24761;4566;1712
Bund;Summe;1991-2000;Sonstige;830886;11513;106660;86988;52261;40389;70801;23789;136409;302075;134764;25691
Bund;Summe;1991-2000;dar. FREIE WÄHLER;114986;516;5565;9388;1644;2616;4239;10648;2177;78193;74352;283
Bund;Summe;1991-2000;dar. BSW;355935;7182;58704;50560;9414;22539;43546;7212;80581;76196;27219;23789
Bund;Summe;1981-1990;Summe;7515049;49859;1135279;1561552;1012674;246510;1974236;423985;629307;481646;235335;45620
Bund;Summe;1981-1990;ungültig;28132;22406;966;1264;495;285;1612;207;207;690;260;4
Bund;Summe;1981-1990;SPD;835953;1286;650295;53608;63989;5423;5646;9695;29000;17012;6671;538
Bund;Summe;1981-1990;CDU;1324947;2137;64566;1155951;21366;22475;27307;;10566;20579;12772;1128
Bund;Summe;1981-1990;GRÜNE;1081041;949;170338;45000;775978;4249;1162;9336;50888;23141;4610;67
Bund;Summe;1981-1990;FDP;304855;390;16760;87993;6231;152362;11821;15956;3867;9476;6077;477
Bund;Summe;1981-1990;AfD;2029657;5464;20034;91127;1528;16294;1818386;25881;8490;42453;27136;3583
Bund;Summe;1981-1990;CSU;375619;251;8329;;5141;5324;4931;334238;559;16845;13716;142
Bund;Summe;1981-1990;Die Linke;651165;1264;103975;19208;95796;3308;5843;2561;402443;16766;5560;1032
Bund;Summe;1981-1990;Sonstige;883681;15712;100016;107402;42148;36791;97529;26111;123286;334685;158534;38647
Bund;Summe;1981-1990;dar. FREIE WÄHLER;136335;480;6073;12259;1725;4349;5987;12003;2426;91032;86239;543
Bund;Summe;1981-1990;dar. BSW;419531;9456;56549;63147;7624;20134;68260;8781;80422;105159;37190;36464
Bund;Summe;1966-1980;Summe;12067460;85200;2021756;3073209;1322895;354695;3032078;803858;715071;658698;356815;67164
Bund;Summe;1966-1980;ungültig;50294;36047;3222;3366;737;448;3767;583;1299;824;531;
Bund;Summe;1966-1980;SPD;1651948;4278;1332501;107773;101718;8053;8541;19065;41668;28350;13227;1570
Bund;Summe;1966-1980;CDU;2726872;3832;117191;2424467;41268;38092;46977;;18393;36651;24420;1872
Bund;Summe;1966-1980;GRÜNE;1471118;1797;246639;85539;1045297;4830;1116;14630;44734;26537;6246;109
Bund;Summe;1966-1980;FDP;486008;1203;19762;153880;6362;234060;21160;28936;4958;15687;10481;560
Bund;Summe;1966-1980;AfD;3085887;8884;25173;128786;1755;21396;2785099;36219;15505;63070;38113;4728
Bund;Summe;1966-1980;CSU;725257;1042;14020;;7588;6559;8383;657603;1802;28260;23456;127
Bund;Summe;1966-1980;Die Linke;710079;2276;129637;30129;78310;4612;9565;4460;431651;19439;7206;2358
Bund;Summe;1966-1980;Sonstige;1159996;25841;133610;139268;39860;36645;147468;42362;155061;439882;233134;55841
Bund;Summe;1966-1980;dar. FREIE WÄHLER;208732;1225;9474;17405;1796;3395;8799;22703;2624;141312;135990;472
Bund;Summe;1966-1980;dar. BSW;606526;16938;79761;85299;10426;23183;108760;12464;117659;152037;59491;53237
Bund;Summe;1956-1965;Summe;9745239;87955;2143166;2642975;957739;258748;2034073;695879;500181;424524;232560;62883
Bund;Summe;1956-1965;ungültig;56053;38653;4213;4796;248;558;5132;831;899;724;307;63
Bund;Summe;1956-1965;SPD;1885472;4044;1601895;103023;88891;6402;8089;15743;35752;21634;10821;1114
