# (c) Die Bundeswahlleiterin, Statistisches Bundesamt (Destatis), 2025;;;;;;;;;;;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Wahl zum 21. Deutschen Bundestag (23. Februar 2025);;;;;;;;;;;;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;;;;;;;;;;;
# Stimmabgabe nach Geschlecht und Geburtsjahresgruppen in den Ländern;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Die Ergebnisse der Männer beinhalten auch die Ergebnisse der Personen mit dem Geschlechtsmerkmal 'divers' als auch derjenigen ohne Geschlechtseintrag im Geburtenregister.;;;;;;;;;;;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2025'.;;;;;;;;;;;;;;;
# Durch Auf- bzw. Abrundungen können sich geringfügige Differenzen ergeben.;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
Land;Erst-/Zweitstimme;Geschlecht;Geburtsjahresgruppe;Summe;Ungültig;SPD;CDU;GRÜNE;FDP;AfD;CSU;Die Linke;Sonstige;dar. FREIE WÄHLER;dar. BSW
Bund;1;Summe;Summe;49928653;423264;9936433;12604184;5443393;1622912;10177318;3272064;3933297;2515788;1254565;299401
Bund;1;Summe;2001-2007;3396728;20857;664422;460874;444805;156426;622309;133099;691867;202067;78817;19268
Bund;1;Summe;1991-2000;6214725;35360;1053162;965210;1029044;269350;1251724;291474;884000;435402;190045;30672
Bund;1;Summe;1981-1990;7515049;49859;1135279;1561552;1012674;246510;1974236;423985;629307;481646;235335;45620
Bund;1;Summe;1966-1980;12067460;85200;2021756;3073209;1322895;354695;3032078;803858;715071;658698;356815;67164
Bund;1;Summe;1956-1965;9745239;87955;2143166;2642975;957739;258748;2034073;695879;500181;424524;232560;62883
Bund;1;Summe;<=1955;10989452;144033;2918648;3900364;676237;337183;1262898;923769;512870;313451;160993;73793
Bund;1;m|d|o;Summe;24373519;192534;4434228;6216381;2369737;829255;5924711;1616071;1647873;1142728;565828;126474
Bund;1;m|d|o;2001-2007;1710816;11453;298749;275698;188513;101262;410338;79313;240043;105447;42359;8754
Bund;1;m|d|o;1991-2000;3128680;17796;482986;517404;452477;156643;759479;152936;372481;216478;95818;14024
Bund;1;m|d|o;1981-1990;3788185;23507;511041;789961;459803;127736;1154625;215907;284742;220864;107334;18633
