# (c) Die Bundeswahlleiterin, Statistisches Bundesamt (Destatis), 2025;;;;;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;
# ;;;;;;;;;
# Wahl zum 21. Deutschen Bundestag (23. Februar 2025);;;;;;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;;;;;
# Wahlberechtigte ohne und mit Wahlschein, Wählende ohne und mit Wahlschein und Wahlbeteiligung nach Geschlecht und Geburtsjahresgruppen in den Ländern;;;;;;;;;
# ;;;;;;;;;
# Die Ergebnisse der Männer beinhalten auch die Ergebnisse der Personen mit dem Geschlechtsmerkmal 'divers' als auch derjenigen ohne Geschlechtseintrag im Geburtenregister.;;;;;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2025'.;;;;;;;;;
# Durch Auf- bzw. Abrundungen können sich geringfügige Differenzen ergeben.;;;;;;;;;
# ;;;;;;;;;
Land;Geschlecht;Geburtsjahresgruppe;Wahlberechtigte;Wahlberechtigte ohne Wahlscheinvermerk;Wahlberechtigte mit Wahlscheinvermerk;Wähler/-innen;Wähler/-innen ohne Wahlschein;Wähler/-innen mit Wahlschein;Wahlbeteiligung
Bund;Summe;Summe;60510631;40946464;19564167;49928653;31263732;18664921;82,5
Bund;Summe;2005-2007;1447736;1115302;332434;1141347;824022;317326;78,8
Bund;Summe;2001-2004;2736246;1926009;810237;2142072;1368886;773186;78,3
Bund;Summe;1996-2000;3666644;2401004;1265639;2950750;1743379;1207371;80,5
Bund;Summe;1991-1995;3813319;2494212;1319107;3117395;1859164;1258231;81,8
Bund;Summe;1986-1990;4548127;3145028;1403099;3764358;2425810;1338548;82,8
Bund;Summe;1981-1985;4388930;3149750;1239180;3647179;2464671;1182508;83,1
Bund;Summe;1976-1980;4173784;3022568;1151216;3504369;2405776;1098593;84,0
Bund;Summe;1966-1975;9959413;6883603;3075811;8513020;5578174;2934847;85,5
Bund;Summe;1956-1965;11541427;7730017;3811410;9862994;6226845;3636149;85,5
Bund;Summe;<=1955;14235004;9078971;5156033;11285169;6367005;4918164;79,3
Bund;m|d|o;Summe;29382800;20477688;8905111;24306010;15809528;8496482;82,7
Bund;m|d|o;2005-2007;745796;592528;153268;575466;429154;146312;77,2
Bund;m|d|o;2001-2004;1420390;1053612;366778;1086597;736546;350050;76,5
Bund;m|d|o;1996-2000;1894606;1312341;582264;1492889;937369;555519;78,8
Bund;m|d|o;1991-1995;1951687;1325409;626278;1569230;971758;597473;80,4
Bund;m|d|o;1986-1990;2306067;1630338;675729;1892394;1247725;644669;82,1
Bund;m|d|o;1981-1985;2229111;1627223;601889;1837094;1262735;574359;82,4
Bund;m|d|o;1976-1980;2089789;1546928;542861;1741920;1223839;518081;83,4
Bund;m|d|o;1966-1975;4979576;3554930;1424646;4234720;2875308;1359412;85,0
Bund;m|d|o;1956-1965;5659990;3897165;1762825;4832217;3150350;1681866;85,4
Bund;m|d|o;<=1955;6105788;3937214;2168574;5043483;2974744;2068739;82,6
Bund;w;Summe;31127831;20468776;10659056;25622643;15454204;10168439;82,3
Bund;w;2005-2007;701940;522774;179166;565881;394868;171013;80,6
Bund;w;2001-2004;1315856;872397;443459;1055475;632340;423136;80,2
Bund;w;1996-2000;1772038;1088663;683375;1457861;806010;651852;82,3
Bund;w;1991-1995;1861632;1168803;692829;1548164;887406;660758;83,2
Bund;w;1986-1990;2242060;1514690;727370;1871964;1178084;693879;83,5
Bund;w;1981-1985;2159819;1522527;637292;1810085;1201937;608149;83,8
Bund;w;1976-1980;2083995;1475640;608355;1762449;1181937;580512;84,6
Bund;w;1966-1975;4979837;3328673;1651164;4278300;2702866;1575434;85,9
Bund;w;1956-1965;5881438;3832853;2048585;5030777;3076495;1954282;85,5
Bund;w;<=1955;8129216;5141757;2987459;6241685;3392261;2849424;76,8
SH;Summe;Summe;2262811;1687721;575090;1889968;1341453;548515;83,5
SH;Summe;2005-2007;50696;41146;9550;41063;31954;9108;81,0
SH;Summe;2001-2004;90305;68918;21387;73524;53126;20398;81,4
SH;Summe;1996-2000;126942;94402;32540;103418;72382;31036;81,5
SH;Summe;1991-1995;131901;98619;33282;108236;76492;31744;82,1
SH;Summe;1986-1990;154221;119331;34890;128378;95100;33277;83,2
SH;Summe;1981-1985;154499;122797;31701;130392;100155;30236;84,4
SH;Summe;1976-1980;152467;120855;31612;131001;100850;30151;85,9
SH;Summe;1966-1975;387026;299577;87449;334143;250735;83408;86,3
SH;Summe;1956-1965;430355;318559;111796;370960;264330;106630;86,2
SH;Summe;<=1955;584400;403516;180884;468854;296329;172525;80,2
SH;m|d|o;Summe;1077259;825442;251817;900568;660387;240181;83,6
SH;m|d|o;2005-2007;26060;21703;4357;20620;16464;4156;79,1
SH;m|d|o;2001-2004;46614;37256;9358;36964;28038;8925;79,3
SH;m|d|o;1996-2000;64744;50113;14632;51053;37098;13955;78,9
SH;m|d|o;1991-1995;68114;52323;15792;54763;39701;15062;80,4
SH;m|d|o;1986-1990;77209;61428;15780;63118;48067;15051;81,7
SH;m|d|o;1981-1985;75798;60781;15017;63420;49097;14323;83,7
SH;m|d|o;1976-1980;74478;59808;14670;63196;49204;13992;84,9
SH;m|d|o;1966-1975;188774;150159;38615;162010;125180;36830;85,8
SH;m|d|o;1956-1965;207775;157900;49875;177907;130337;47570;85,6
SH;m|d|o;<=1955;247693;173971;73722;207518;137202;70316;83,8
SH;w;Summe;1185552;862279;323273;989400;681066;308334;83,5
SH;w;2005-2007;24636;19443;5193;20443;15490;4953;83,0
SH;w;2001-2004;43691;31662;12029;36561;25088;11473;83,7
SH;w;1996-2000;62198;44290;17908;52365;35284;17081;84,2
SH;w;1991-1995;63787;46296;17490;53473;36791;16682;83,8
SH;w;1986-1990;77012;57903;19109;65260;47034;18226;84,7
SH;w;1981-1985;78701;62016;16684;66972;51059;15913;85,1
SH;w;1976-1980;77989;61047;16942;67805;51646;16159;86,9
SH;w;1966-1975;198252;149418;48834;172133;125555;46578;86,8
SH;w;1956-1965;222580;160658;61922;193053;133993;59060;86,7
SH;w;<=1955;336707;229545;107161;261336;159127;102209;77,6
HH;Summe;Summe;1299289;835643;463646;1050805;613279;437526;80,9
HH;Summe;2005-2007;30134;22824;7310;23344;16445;6898;77,5
HH;Summe;2001-2004;62712;42173;20539;48835;29453;19382;77,9
HH;Summe;1996-2000;102407;63911;38495;83157;46831;36327;81,2
HH;Summe;1991-1995;108385;64564;43822;88191;46837;41353;81,4
HH;Summe;1986-1990;115237;72521;42716;95302;54993;40309;82,7
HH;Summe;1981-1985;101663;68625;33039;84616;53439;31177;83,2
HH;Summe;1976-1980;97628;67091;30537;80792;51975;28817;82,8
HH;Summe;1966-1975;211630;141281;70349;177952;111566;66386;84,1
HH;Summe;1956-1965;207183;133777;73405;170838;101568;69270;82,5
HH;Summe;<=1955;262309;158876;103433;197779;100173;97606;75,4
HH;m|d|o;Summe;615413;411579;203835;496904;304553;192351;80,7
HH;m|d|o;2005-2007;15667;12310;3356;12004;8837;3167;76,6
HH;m|d|o;2001-2004;30949;22735;8214;23170;15418;7752;74,9
HH;m|d|o;1996-2000;50744;33833;16911;39928;23969;15959;78,7
HH;m|d|o;1991-1995;52811;33821;18991;41883;23963;17921;79,3
HH;m|d|o;1986-1990;57750;37672;20078;47264;28317;18947;81,8
HH;m|d|o;1981-1985;50623;35129;15494;42042;27420;14621;83,0
HH;m|d|o;1976-1980;46350;32347;14003;37861;24647;13214;81,7
HH;m|d|o;1966-1975;104545;72530;32015;87703;57492;30212;83,9
HH;m|d|o;1956-1965;98994;65461;33532;81119;49476;31643;81,9
HH;m|d|o;<=1955;106979;65740;41239;83929;45013;38916;78,5
HH;w;Summe;683876;424064;259811;553901;308726;245175;81,0
HH;w;2005-2007;14468;10514;3954;11339;7608;3731;78,4
HH;w;2001-2004;31763;19438;12325;25665;14034;11630;80,8
HH;w;1996-2000;51662;30079;21584;43229;22861;20368;83,7
HH;w;1991-1995;55574;30743;24831;46307;22875;23432;83,3
HH;w;1986-1990;57486;34849;22638;48038;26676;21362;83,6
HH;w;1981-1985;51040;33496;17544;42574;26018;16556;83,4
HH;w;1976-1980;51278;34744;16534;42931;27328;15603;83,7
HH;w;1966-1975;107085;68751;38334;90249;54074;36174;84,3
HH;w;1956-1965;108189;68316;39873;89719;52092;37627;82,9
HH;w;<=1955;155330;93136;62194;113850;55159;58690;73,3
NI;Summe;Summe;6043412;4663270;1380142;5041312;3728254;1313058;83,4
NI;Summe;2005-2007;150653;129266;21387;122771;102423;20347;81,5
NI;Summe;2001-2004;272741;217065;55677;215490;162519;52970;79,0
NI;Summe;1996-2000;366379;276492;89888;295866;210347;85519;80,8
NI;Summe;1991-1995;386252;298080;88172;317094;233208;83886;82,1
NI;Summe;1986-1990;438340;349540;88800;366578;282094;84484;83,6
NI;Summe;1981-1985;417973;344174;73799;352080;281868;70212;84,2
NI;Summe;1976-1980;400023;330706;69317;339668;273720;65948;84,9
NI;Summe;1966-1975;1007147;792388;214759;868277;663957;204320;86,2
NI;Summe;1956-1965;1158051;874944;283107;997515;728169;269347;86,1
NI;Summe;<=1955;1445852;1050616;395235;1165972;789948;376024;80,6
NI;m|d|o;Summe;2933611;2306663;626948;2454398;1857924;596474;83,7
NI;m|d|o;2005-2007;77747;68268;9479;62518;53499;9019;80,4
NI;m|d|o;2001-2004;141165;116158;25007;109914;86122;23792;77,9
NI;m|d|o;1996-2000;190133;149743;40390;150311;111884;38426;79,1
NI;m|d|o;1991-1995;197437;154303;43134;158703;117666;41038;80,4
NI;m|d|o;1986-1990;221806;177121;44685;184126;141613;42513;83,0
NI;m|d|o;1981-1985;209165;173796;35369;174694;141044;33650;83,5
NI;m|d|o;1976-1980;199354;166896;32458;167876;136995;30881;84,2
NI;m|d|o;1966-1975;504410;403298;101113;433093;336895;96198;85,9
NI;m|d|o;1956-1965;563151;435685;127466;485058;363788;121271;86,1
NI;m|d|o;<=1955;629242;461395;167847;528105;368416;159688;83,9
NI;w;Summe;3109801;2356607;753194;2586914;1870330;716584;83,2
NI;w;2005-2007;72906;60998;11908;60253;48924;11329;82,6
NI;w;2001-2004;131576;100906;30670;105576;76397;29179;80,2
NI;w;1996-2000;176247;126749;49498;145555;98463;47092;82,6
NI;w;1991-1995;188815;143777;45038;158390;115542;42849;83,9
NI;w;1986-1990;216534;172418;44115;182452;140481;41971;84,3
NI;w;1981-1985;208808;170378;38430;177387;140824;36562;85,0
NI;w;1976-1980;200669;163810;36859;171793;136725;35068;85,6
NI;w;1966-1975;502736;389090;113646;435184;327062;108122;86,6
NI;w;1956-1965;594900;439259;155641;512457;364381;148076;86,1
NI;w;<=1955;816610;589221;227389;637868;421532;216336;78,1
HB;Summe;Summe;450564;325888;124676;350366;232178;118188;77,8
HB;Summe;2005-2007;11331;9459;1872;8002;6228;1774;70,6
HB;Summe;2001-2004;22441;17536;4904;16113;11464;4649;71,8
HB;Summe;1996-2000;31135;22737;8398;22551;14590;7961;72,4
HB;Summe;1991-1995;32177;23134;9043;24063;15491;8572;74,8
HB;Summe;1986-1990;33008;24157;8851;25802;17412;8390;78,2
HB;Summe;1981-1985;31012;23820;7192;24316;17499;6817;78,4
HB;Summe;1976-1980;29309;22317;6991;22743;16115;6627;77,6
HB;Summe;1966-1975;70995;51718;19277;57055;38781;18274;80,4
HB;Summe;1956-1965;83075;59155;23920;67679;45003;22676;81,5
HB;Summe;<=1955;106082;71854;34228;82042;49595;32447;77,3
HB;m|d|o;Summe;218248;163056;55193;167506;115186;52320;76,8
HB;m|d|o;2005-2007;5958;5188;770;4056;3326;730;68,1
HB;m|d|o;2001-2004;11122;8938;2183;7565;5495;2070;68,0
HB;m|d|o;1996-2000;16209;12491;3718;11183;7658;3524;69,0
HB;m|d|o;1991-1995;16564;12408;4156;11879;7939;3940;71,7
HB;m|d|o;1986-1990;17272;12906;4366;13241;9102;4139;76,7
HB;m|d|o;1981-1985;15532;12199;3333;11990;8831;3159;77,2
HB;m|d|o;1976-1980;14995;11878;3116;11127;8173;2954;74,2
HB;m|d|o;1966-1975;35083;26313;8771;27572;19257;8314;78,6
HB;m|d|o;1956-1965;40434;29860;10574;32613;22589;10024;80,7
HB;m|d|o;<=1955;45081;30875;14206;36280;22814;13466;80,5
HB;w;Summe;232316;162832;69483;182860;116992;65868;78,7
HB;w;2005-2007;5373;4272;1102;3946;2901;1044;73,4
HB;w;2001-2004;11319;8598;2721;8548;5969;2579;75,5
HB;w;1996-2000;14926;10246;4680;11369;6932;4437;76,2
HB;w;1991-1995;15613;10726;4886;12184;7552;4632;78,0
HB;w;1986-1990;15736;11252;4485;12561;8310;4251;79,8
HB;w;1981-1985;15480;11621;3859;12326;8668;3658;79,6
HB;w;1976-1980;14314;10439;3875;11615;7942;3673;81,1
HB;w;1966-1975;35912;25405;10507;29483;19523;9960;82,1
HB;w;1956-1965;42641;29295;13347;35066;22414;12652;82,2
HB;w;<=1955;61001;40979;20022;45761;26781;18980;75,0
NW;Summe;Summe;12884209;8793678;4090531;10587740;6718788;3868952;82,2
NW;Summe;2005-2007;323904;259311;64594;249824;188729;61095;77,1
NW;Summe;2001-2004;628269;459864;168404;483488;324206;159282;77,0
NW;Summe;1996-2000;856554;588946;267608;680962;427850;253112;79,5
NW;Summe;1991-1995;900082;611592;288489;731214;458352;272862;81,2
NW;Summe;1986-1990;970357;683025;287332;790734;518967;271767;81,5
NW;Summe;1981-1985;901480;663203;238277;739068;513698;225370;82,0
NW;Summe;1976-1980;851208;625300;225908;707736;494065;213671;83,1
NW;Summe;1966-1975;2155698;1513409;642289;1828751;1221254;607497;84,8
NW;Summe;1956-1965;2453671;1634590;819080;2087318;1312606;774712;85,1
NW;Summe;<=1955;2842987;1754437;1088550;2288644;1259060;1029584;80,5
NW;m|d|o;Summe;6255080;4414398;1840682;5134703;3393728;1740975;82,1
NW;m|d|o;2005-2007;167511;137731;29779;125309;97143;28166;74,8
NW;m|d|o;2001-2004;325302;249173;76129;244976;172970;72005;75,3
NW;m|d|o;1996-2000;442623;319470;123153;345048;228566;116482;78,0
NW;m|d|o;1991-1995;457933;324091;133842;365859;239267;126592;79,9
NW;m|d|o;1986-1990;490796;354671;136125;395443;266691;128752;80,6
NW;m|d|o;1981-1985;455956;339538;116417;370232;260121;110111;81,2
NW;m|d|o;1976-1980;418711;315246;103465;345125;247264;97860;82,4
NW;m|d|o;1966-1975;1073763;779686;294077;905527;627379;278147;84,3
NW;m|d|o;1956-1965;1203471;826110;377361;1024733;667813;356920;85,1
NW;m|d|o;<=1955;1219013;768681;450332;1012453;586514;425938;83,1
NW;w;Summe;6629129;4379280;2249849;5453037;3325060;2127977;82,3
NW;w;2005-2007;156394;121579;34814;124514;91586;32929;79,6
NW;w;2001-2004;302966;210691;92275;238512;151236;87277;78,7
NW;w;1996-2000;413931;269476;144455;335914;199284;136630;81,2
NW;w;1991-1995;442149;287501;154647;365356;219085;146270;82,6
NW;w;1986-1990;479561;328355;151206;395291;252276;143016;82,4
NW;w;1981-1985;445525;323665;121860;368836;253577;115259;82,8
NW;w;1976-1980;432497;310054;122443;362611;246801;115810;83,8
NW;w;1966-1975;1081934;733723;348212;923225;593875;329349;85,3
NW;w;1956-1965;1250199;808480;441719;1062585;644794;417792;85,0
NW;w;<=1955;1623974;985756;638218;1276192;672545;603646;78,6
HE;Summe;Summe;4341919;2966228;1375691;3608634;2291493;1317141;83,1
HE;Summe;2005-2007;107545;85892;21653;85980;65249;20731;79,9
HE;Summe;2001-2004;200163;143313;56851;157368;102937;54431;78,6
HE;Summe;1996-2000;256754;170603;86151;207010;124526;82485;80,6
HE;Summe;1991-1995;272415;179305;93110;220648;131501;89147;81,0
HE;Summe;1986-1990;296059;206636;89423;240919;155302;85617;81,4
HE;Summe;1981-1985;299348;213448;85900;250686;168442;82244;83,7
HE;Summe;1976-1980;299780;220529;79251;254852;178975;75878;85,0
HE;Summe;1966-1975;733725;516101;217624;630604;422242;208362;85,9
HE;Summe;1956-1965;831177;561096;270081;715854;457268;258587;86,1
HE;Summe;<=1955;1044953;669305;375648;844713;485052;359660;80,8
HE;m|d|o;Summe;2104019;1477454;626564;1752049;1152151;599898;83,3
HE;m|d|o;2005-2007;56635;47007;9628;43765;34546;9219;77,3
HE;m|d|o;2001-2004;102302;77233;25068;78471;54470;24001;76,7
HE;m|d|o;1996-2000;134732;94573;40160;106035;67584;38451;78,7
HE;m|d|o;1991-1995;137443;94402;43041;109968;68759;41209;80,0
HE;m|d|o;1986-1990;147247;104640;42607;118472;77678;40794;80,5
HE;m|d|o;1981-1985;149929;107348;42581;124992;84223;40769;83,4
HE;m|d|o;1976-1980;147948;111996;35952;125727;91305;34422;85,0
HE;m|d|o;1966-1975;364485;264297;100189;310483;214558;95925;85,2
HE;m|d|o;1956-1965;407495;282126;125369;350394;230361;120033;86,0
HE;m|d|o;<=1955;455802;293834;161968;383741;228666;155075;84,2
HE;w;Summe;2237900;1488774;749127;1856585;1139342;717243;83,0
HE;w;2005-2007;50910;38886;12024;42215;30702;11513;82,9
