# (c) Der Bundeswahlleiter, Wiesbaden 2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Stimmabgabe der Urnen- und Briefwähler/-innen bei der Bundestagswahl 2009 nach Wahlkreisen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wahlkreis-Nr.;Wahlkreisname;Land;Wahlbezirksart;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;FDP;DIE LINKE;GRÜNE;CSU;NPD;REP;FAMILIE;Die Tierschutzpartei;PBC;MLPD;BüSo;BP;Volksabstimmung;ZENTRUM;ADM;DKP;DIE VIOLETTEN;ödp;PIRATEN;RRP;Freie Union;Übrige;Ungültige;Gültige;SPD;CDU;FDP;DIE LINKE;GRÜNE;CSU;NPD;REP;FAMILIE;Die Tierschutzpartei;PBC;MLPD;BüSo;BP;PSG;Volksabstimmung;ZENTRUM;ADM;CM;DKP;DVU;DIE VIOLETTEN;FWD;ödp;PIRATEN;RRP;RENTNER
;;;;;;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen
001;Flensburg – Schleswig;SH;Urne;225216;140914;3751;137163;45770;52343;13088;10639;13804;0;1214;0;0;0;0;0;0;0;0;305;0;0;0;0;0;0;0;0;3863;137051;36884;43165;20592;11928;18600;0;1151;0;0;0;0;42;0;0;0;0;0;0;0;0;147;0;0;0;2990;0;1552
002;Nordfriesland – Dithmarschen Nord;SH;Urne;187047;115861;3061;112800;32051;48408;12866;7172;10890;0;1100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;313;2955;112906;28355;40886;19180;7623;12543;0;1017;0;0;0;0;46;0;0;0;0;0;0;0;0;148;0;0;0;1990;0;1118
003;Steinburg – Dithmarschen Süd;SH;Urne;177604;112186;3099;109087;32945;43370;13786;7909;9047;0;1478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;552;2823;109363;27704;37762;18973;8677;11020;0;1409;0;0;0;0;40;0;0;0;0;0;0;0;0;133;0;0;0;2265;0;1380
004;Rendsburg-Eckernförde;SH;Urne;198910;128848;3071;125777;42045;49735;11998;7652;12318;0;1233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;796;2745;126103;34667;42057;19708;8488;15920;0;1130;0;0;0;0;48;0;0;0;0;0;0;0;0;131;0;0;0;2666;0;1288
005;Kiel;SH;Urne;200347;118061;3063;114998;45418;33416;9547;10087;14720;0;1227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;583;2021;116040;35434;28035;15358;11408;19802;0;1144;0;0;0;0;65;0;0;0;0;0;0;0;0;118;0;0;0;3537;0;1139
006;Plön – Neumünster;SH;Urne;175132;109909;2978;106931;36537;40512;10573;6950;10364;0;1264;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;731;2774;107135;31211;33518;16844;7827;13419;0;1222;0;0;0;0;34;0;0;0;0;0;0;0;0;117;0;0;0;2042;0;901
007;Pinneberg;SH;Urne;232899;147657;3014;144643;47103;57981;14009;10270;13168;0;1748;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;364;2873;144784;38982;46651;23779;11581;17488;0;1587;0;0;0;0;50;0;0;0;0;0;0;0;0;180;0;0;0;3218;0;1268
008;Segeberg – Stormarn-Nord;SH;Urne;240010;151833;3237;148596;46345;58715;16669;10763;13525;0;1623;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;956;2942;148891;38091;48269;26355;12212;17543;0;1533;0;0;0;0;50;0;0;0;0;0;0;0;0;210;0;0;0;3166;0;1462
009;Ostholstein;SH;Urne;179987;111523;3681;107842;38064;40652;11938;7072;8622;0;1166;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;328;2809;108714;31584;34703;18884;8061;11447;0;1099;0;0;0;0;37;0;0;0;0;0;0;0;0;119;0;0;0;1811;0;969
