© Der Bundeswahlleiter, Wiesbaden 2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ergebnisse der Bundestagswahl 2009 nach kreisfreien Städten und Landkreisen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Land;Statistische Kennziffer;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;FDP;DIE LINKE;GRÜNE;CSU;NPD;REP;FAMILIE;Die Tierschutzpartei;PBC;MLPD;BüSo;BP;Volksabstimmung;ZENTRUM;ADM;DKP;DIE VIOLETTEN;ödp;PIRATEN;RRP;Freie Union;Übrige;Ungültige;Gültige;SPD;CDU;FDP;DIE LINKE;GRÜNE;CSU;NPD;REP;FAMILIE;Die Tierschutzpartei;PBC;MLPD;BüSo;BP;PSG;Volksabstimmung;ZENTRUM;ADM;CM;DKP;DVU;DIE VIOLETTEN;FWD;ödp;PIRATEN;RRP;RENTNER
;;;;;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen
SH;01001;Flensburg, Stadt;69075;46583;1204;45379;16552;13859;4253;4697;5520;0;407;0;0;0;0;0;0;0;0;91;0;0;0;0;0;0;0;0;1152;45431;12739;11238;6530;5267;7323;0;373;0;0;0;0;16;0;0;0;0;0;0;0;0;44;0;0;0;1364;0;537
SH;01002;Kiel, Landeshauptstadt;182726;131024;3171;127853;49754;36762;10847;11195;17235;0;1301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;759;2063;128961;38656;31517;16691;12714;22659;0;1195;0;0;0;0;76;0;0;0;0;0;0;0;0;133;0;0;0;4001;0;1319
SH;01003;Lübeck, Hansestadt;165928;113336;3193;110143;40899;32626;12010;10214;12917;0;1477;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2973;110363;33620;29357;15434;11123;15370;0;1305;0;0;0;0;88;0;0;0;0;0;0;0;0;135;0;0;0;2812;0;1119
SH;01004;Neumünster, Stadt;61004;39886;1054;38832;13735;14098;3651;2899;3632;0;612;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;205;991;38895;12074;11688;5820;3260;4276;0;586;0;0;0;0;20;0;0;0;0;0;0;0;0;41;0;0;0;784;0;346
SH;01051;Dithmarschen;108459;77125;2260;74865;20849;31320;10672;5597;5255;0;908;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;264;2104;75021;18215;27353;14090;5962;6306;0;856;0;0;0;0;37;0;0;0;0;0;0;0;0;107;0;0;0;1377;0;718
SH;01053;Herzogtum Lauenburg;147554;111590;2591;108999;32840;42267;12521;7991;11502;0;1612;0;0;0;0;0;0;0;0;0;0;0;266;0;0;0;0;0;2299;109291;28484;35630;18451;8968;13224;0;1466;0;0;0;0;32;0;0;0;0;0;0;0;0;138;0;0;0;2001;0;897
SH;01054;Nordfriesland;131982;95419;2246;93173;26336;40606;9661;5326;10092;0;817;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;335;2180;93239;22981;33881;15374;5830;11737;0;735;0;0;0;0;36;0;0;0;0;0;0;0;0;133;0;0;0;1567;0;965
SH;01055;Ostholstein;164965;120438;3764;116674;40240;45120;13050;7377;9358;0;1148;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;381;2890;117548;33389;38499;20770;8417;12307;0;1080;0;0;0;0;36;0;0;0;0;0;0;0;0;123;0;0;0;1861;0;1066
SH;01056;Pinneberg;232899;176188;3384;172804;54950;70458;17018;11794;16143;0;1912;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;529;3193;172995;45540;57203;28640;13412;20978;0;1743;0;0;0;0;56;0;0;0;0;0;0;0;0;193;0;0;0;3659;0;1571
SH;01057;Plön;104617;81243;2044;79199;26112;31045;8135;4535;7999;0;696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;677;1862;79381;21886;25926;12772;5164;10774;0;671;0;0;0;0;21;0;0;0;0;0;0;0;0;81;0;0;0;1391;0;695
SH;01058;Rendsburg-Eckernförde;216531;164477;3675;160802;52254;64847;15658;9351;16254;0;1435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1003;3226;161251;42966;54669;25907;10537;20751;0;1300;0;0;0;0;59;0;0;0;0;0;0;0;0;142;0;0;0;3251;0;1669
SH;01059;Schleswig-Flensburg;156141;116746;2913;113833;35587;47934;11039;7221;10879;0;895;0;0;0;0;0;0;0;0;278;0;0;0;0;0;0;0;0;3029;113717;29054;39830;17657;8214;14644;0;867;0;0;0;0;31;0;0;0;0;0;0;0;0;115;0;0;0;2021;0;1284
SH;01060;Segeberg;205240;152508;3209;149299;44378;60266;17704;10796;13513;0;1601;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1041;2877;149631;37118;50128;26809;12074;17009;0;1519;0;0;0;0;50;0;0;0;0;0;0;0;0;199;0;0;0;3094;0;1631
SH;01061;Steinburg;105865;77018;1966;75052;23486;29063;8817;5348;6948;0;953;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;437;1716;75302;19560;25320;12605;5931;8267;0;897;0;0;0;0;22;0;0;0;0;0;0;0;0;78;0;0;0;1523;0;1099
SH;01062;Stormarn;181734;140803;2820;137983;42023;55527;15034;8978;14379;0;1365;0;0;0;0;0;0;0;0;0;0;0;287;0;0;0;0;390;2327;138476;34457;46218;24217;10330;18157;0;1255;0;0;0;0;36;0;0;0;0;0;0;0;0;145;0;0;0;2571;0;1090
HH;02000;Hamburg, Freie und Hansestadt;1256634;896053;12395;883658;296589;288404;69968;86119;128440;0;9181;0;0;0;0;158;651;0;0;0;0;0;0;1899;0;0;0;2249;9715;886338;242942;246667;117143;99096;138454;0;7679;0;0;0;0;445;0;0;0;0;0;0;0;0;1184;0;0;2988;23168;0;6572
NI;03101;Braunschweig, Stadt;189975;139948;1736;138212;53572;47584;7507;10801;12012;0;1310;0;0;0;0;118;0;0;0;0;0;0;0;0;4214;0;0;1094;1535;138413;39774;40135;15845;13763;19831;0;1324;0;0;1114;0;77;0;0;0;0;0;0;0;0;134;0;0;184;4962;1270;0
NI;03102;Salzgitter, Stadt;77479;54544;966;53578;24379;16587;2949;5562;2477;0;1170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;454;0;0;846;53698;19499;15871;4786;6587;3756;0;1054;0;0;427;0;11;0;0;0;0;0;0;0;0;62;0;0;37;919;689;0
NI;03103;Wolfsburg, Stadt;91838;64834;1060;63774;22058;25885;3748;4917;4960;0;1073;0;0;0;239;0;0;0;0;0;0;0;0;0;0;894;0;0;890;63944;20253;22407;6224;5435;5787;0;998;0;0;421;0;30;0;0;0;0;0;0;0;0;45;0;0;52;1490;802;0
NI;03151;Gifhorn;133727;98368;1251;97117;35858;40168;6015;6389;5807;0;1245;0;0;0;678;0;0;0;0;0;0;0;0;0;0;796;0;161;1190;97178;29176;35612;11120;7474;8648;0;1179;0;0;743;0;32;0;0;0;0;0;0;0;0;73;0;0;110;2147;864;0
NI;03152;Göttingen;197105;147127;1910;145217;53644;49266;9310;10813;20113;0;1734;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;337;1620;145507;42762;41408;19251;12806;22343;0;1568;0;0;1008;0;51;0;0;0;0;0;0;0;0;99;0;0;179;3461;571;0
NI;03153;Goslar;115674;83347;1407;81940;31729;29688;6057;8424;4615;0;1280;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147;0;0;1134;82213;26153;25757;10850;8757;6526;0;1151;0;0;708;0;13;0;0;0;0;0;0;0;0;71;0;0;67;1538;622;0
NI;03154;Helmstedt;76178;55719;934;54785;18822;20441;3840;4301;4818;0;1723;0;0;0;134;0;0;0;0;0;0;0;0;0;0;706;0;0;719;55000;17408;17689;6382;4756;4873;0;1379;0;0;624;0;9;0;0;0;0;0;0;0;0;53;0;0;51;1125;651;0
NI;03155;Northeim;114154;84302;1378;82924;34501;28036;7105;6590;5219;0;1473;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1126;83176;28914;24265;11407;7538;7099;0;1350;0;0;641;0;18;0;0;0;0;0;0;0;0;79;0;0;83;1430;352;0
NI;03156;Osterode am Harz;64863;46364;759;45605;17947;16417;3463;3782;2941;0;1031;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;641;45723;15587;13543;6484;4097;3670;0;917;0;0;385;0;14;0;0;0;0;0;0;0;0;39;0;0;38;659;290;0
NI;03157;Peine;103045;77357;963;76394;33691;24760;4950;6272;4583;0;1011;0;0;0;202;0;0;0;0;0;0;0;0;0;0;698;0;227;813;76544;27846;22696;8263;6958;6710;0;932;0;0;685;0;16;0;0;0;0;0;0;0;0;85;0;0;80;1502;771;0
NI;03158;Wolfenbüttel;97965;75774;1110;74664;32919;24979;4772;4869;5341;0;1222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;562;0;0;941;74833;24144;23437;8524;6424;8022;0;1053;0;0;676;0;14;0;0;0;0;0;0;0;0;94;0;0;75;1494;876;0
