# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Stimmabgabe der Urnen- und Briefwähler/-innen bei der Bundestagswahl 2013 nach Wahlkreisen
# 
Wahlkreis-Nr.;Wahlkreisname;Land;Wahlbezirksart;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;FDP;DIE LINKE;GRÜNE;CSU;PIRATEN;NPD;Tierschutzpartei;REP;ÖDP;FAMILIE;Bündnis 21/RRP;RENTNER;BP;PBC;BüSo;DIE VIOLETTEN;MLPD;Volksabstimmung;AfD;BIG;pro Deutschland;FREIE WÄHLER;PARTEI DER VERNUNFT;Die PARTEI;Bergpartei;BGD;DKP;NEIN;WGr/EB;Ungültige;Gültige;CDU;SPD;FDP;DIE LINKE;GRÜNE;CSU;Sonstige;PIRATEN;NPD;Tierschutzpartei;REP;ÖDP;FAMILIE;Bündnis 21/RRP;RENTNER;BP;PBC;BüSo;DIE VIOLETTEN;MLPD;Volksabstimmung;PSG;AfD;BIG;pro Deutschland;DIE RECHTE;DIE FRAUEN;FREIE WÄHLER;Partei der Nichtwähler;PARTEI DER VERNUNFT;Die PARTEI
;;;;;;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen
001;Flensburg - Schleswig;SH;Urne;226944;136534;1926;134608;56856;51242;2386;6428;9496;0;2907;850;0;0;0;0;0;0;0;0;0;0;0;0;4443;0;0;0;0;0;0;0;0;0;0;1889;134645;51337;44743;6156;7909;12505;0;11995;2747;836;1210;0;0;0;0;576;0;0;0;0;36;0;0;5649;0;0;0;0;941;0;0;0
002;Nordfriesland - Dithmarschen Nord;SH;Urne;186177;109975;1423;108552;54188;35409;2420;3943;6568;0;2087;663;0;0;0;0;0;0;0;0;0;0;0;0;3274;0;0;0;0;0;0;0;0;0;0;1341;108634;47439;32755;6366;4943;8338;0;8793;2062;655;764;0;0;0;0;427;0;0;0;0;40;0;0;4201;0;0;0;0;644;0;0;0
003;Steinburg - Dithmarschen Süd;SH;Urne;176731;108221;1362;106859;48694;36764;4794;4353;5194;0;2348;892;0;0;0;0;0;0;0;0;0;0;0;0;3820;0;0;0;0;0;0;0;0;0;0;1320;106901;44813;32465;6117;5586;7854;0;10066;2409;955;758;0;0;0;0;386;0;0;0;0;30;0;0;4757;0;0;0;0;771;0;0;0
004;Rendsburg-Eckernförde;SH;Urne;198903;125013;1501;123512;55251;46486;2073;4291;7997;0;2372;782;0;0;0;0;0;0;0;0;0;0;0;0;4260;0;0;0;0;0;0;0;0;0;0;1428;123585;50254;39905;6117;5646;10934;0;10729;2257;771;1047;0;0;0;0;470;0;0;0;0;29;0;0;5552;0;0;0;0;603;0;0;0
005;Kiel;SH;Urne;205243;113692;1396;112296;36058;49510;2138;6334;10716;0;2884;731;0;0;0;0;0;649;0;0;0;0;0;0;3208;0;0;0;0;0;0;0;0;0;68;1269;112423;33111;40127;5377;8411;15142;0;10255;3201;709;957;0;0;0;0;582;0;0;0;0;59;0;0;4374;0;0;0;0;373;0;0;0
006;Plön - Neumünster;SH;Urne;174746;106214;1480;104734;45261;40002;1808;4084;6385;0;1862;1031;0;0;0;0;0;0;0;0;0;0;0;0;4075;0;0;0;0;0;0;0;0;0;226;1359;104855;40240;34970;5247;5244;9350;0;9804;1865;1031;829;0;0;0;0;394;0;0;0;0;35;0;0;5031;0;0;0;0;619;0;0;0
007;Pinneberg;SH;Urne;235610;145489;1459;144030;64630;52783;2451;5967;8768;0;2731;1107;0;0;0;0;0;0;0;0;0;0;0;0;5593;0;0;0;0;0;0;0;0;0;0;1490;143999;58050;45646;7219;7693;12024;0;13367;2838;1170;1026;0;0;0;0;462;0;0;0;0;35;0;0;7178;0;0;0;0;658;0;0;0
008;Segeberg - Stormarn-Mitte;SH;Urne;244240;150184;1513;148671;67263;53118;2799;5982;8496;0;3003;1038;0;0;0;0;0;0;0;0;0;0;0;0;5743;0;0;1229;0;0;0;0;0;0;0;1484;148700;60699;45179;7904;7853;12375;0;14690;3155;1137;1204;0;0;0;0;491;0;0;0;0;36;0;0;7721;0;0;0;0;946;0;0;0
009;Ostholstein - Stormarn-Nord;SH;Urne;180022;107885;1308;106577;47966;40549;2244;3892;5486;0;1764;644;0;0;0;0;0;0;0;0;0;0;0;0;4032;0;0;0;0;0;0;0;0;0;0;1265;106620;43310;34521;5982;4917;8267;0;9623;1853;657;734;0;0;0;0;355;0;0;0;0;21;0;0;5403;0;0;0;0;600;0;0;0
