# (c) Der Bundeswahlleiter, Wiesbaden 2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Wahl zum 19. Deutschen Bundestag (24. September 2017);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Endgültige Ergebnisse der Erst- und Zweitstimmen nach Bezirksart und Ländern;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr;Land;Stimmenart;Bezirksart;Wahlberechtigte;Wähler;ungültig;gültig;CDU;SPD;DIE LINKE;GRÜNE;CSU;FDP;AfD;PIRATEN;NPD;FREIE WÄHLER;Tierschutzpartei;ÖDP;Die PARTEI;BP;Volksabstimmung;PDV;MLPD;BüSo;SGP;DIE RECHTE;AD-DEMOKRATEN;Tierschutzallianz;B*;BGE;DiB;DKP;DM;Die Grauen;du.;MG;MENSCHLICHE WELT;Die Humanisten;Gesundheitsforschung;V-Partei³;Bündnis C;DIE EINHEIT;DIE VIOLETTEN;FAMILIE;DIE FRAUEN;MIETERPARTEI;Neue Liberale;UNABHÄNGIGE;Übrige
1;Schleswig-Holstein;E;Zusammen;2266012;1729194;16172;1713022;682287;493279;90574;163580;;131703;128641;;;15957;;;4017;;;;1381;;;;;;;;;;;;;;;;;;;;;506;;;342;;755
1;Schleswig-Holstein;E;Urne;2266012;1347431;13557;1333874;521372;392420;73464;122065;;100605;106207;;;12533;;;3040;;;;1029;;;;;;;;;;;;;;;;;;;;;383;;;244;;512
1;Schleswig-Holstein;E;Brief;;381763;2615;379148;160915;100859;17110;41515;;31098;22434;;;3424;;;977;;;;352;;;;;;;;;;;;;;;;;;;;;123;;;98;;243
1;Schleswig-Holstein;Z;Zusammen;2266012;1729194;13553;1715641;583135;399505;124678;205471;;216844;140362;;4210;11095;;3116;20732;;;;823;;;;;;;5670;;;;;;;;;;;;;;;;;;;
1;Schleswig-Holstein;Z;Urne;2266012;1347431;11834;1335597;443656;318838;100501;157338;;163398;115736;;3641;8720;;2289;16775;;;;646;;;;;;;4059;;;;;;;;;;;;;;;;;;;
1;Schleswig-Holstein;Z;Brief;;381763;1719;380044;139479;80667;24177;48133;;53446;24626;;569;2375;;827;3957;;;;177;;;;;;;1611;;;;;;;;;;;;;;;;;;;
13;Mecklenburg-Vorpommern;E;Zusammen;1324614;938587;11742;926845;316662;161437;171130;33746;;43899;168456;;7977;13794;2161;591;4631;;;;1666;;;;;;;;;;;;;;;;;;;;;;;;;;695
13;Mecklenburg-Vorpommern;E;Urne;1324614;713825;9939;703886;236224;122362;126677;23114;;32203;139213;;6919;10377;1544;390;3257;;;;1204;;;;;;;;;;;;;;;;;;;;;;;;;;402
13;Mecklenburg-Vorpommern;E;Brief;;224762;1803;222959;80438;39075;44453;10632;;11696;29243;;1058;3417;617;201;1374;;;;462;;;;;;;;;;;;;;;;;;;;;;;;;;293
13;Mecklenburg-Vorpommern;Z;Zusammen;1324614;938587;11077;927510;307263;139689;165368;39514;;57895;172409;;10408;7543;12507;1205;9309;;;;1366;;;;;;;3034;;;;;;;;;;;;;;;;;;;
