© Der Bundeswahlleiter, Wiesbaden 2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stimmabgabe der Urnen- und Briefwahl bei der Bundestagswahl 2017 nach Wahlkreisen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wahlkreis-Nr.;Wahlkreisname;Land;Wahlbezirksart;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;DIE LINKE;GRÜNE;CSU;FDP;AfD;PIRATEN;NPD;FREIE WÄHLER;Tierschutzpartei;ÖDP;Die PARTEI;BP;Volksabstimmung;PDV;MLPD;BüSo;SGP;DIE RECHTE;Tierschutzallianz;B*;DKP;Die Grauen;du;MG;MENSCHLICHE WELT;Gesundheitsforschung;V-Partei³;Bündnis C;DIE EINHEIT;DIE VIOLETTEN;FAMILIE;DIE FRAUEN;MIETERPARTEI;Neue Liberale;UNABHÄNGIGE;WGr/EB;Ungültige;Gültige;CDU;SPD;DIE LINKE;GRÜNE;CSU;FDP;AfD;PIRATEN;NPD;FREIE WÄHLER;Tierschutzpartei;ÖDP;Die PARTEI;BP;Volksabstimmung;PDV;MLPD;BüSo;SGP;DIE RECHTE;AD-DEMOKRATEN;Tierschutzallianz;B*;BGE;DiB;DKP;DM;Die Grauen;du;MG;MENSCHLICHE WELT;Die Humanisten;Gesundheitsforschung;V-Partei³
;;;;;;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen
001;Flensburg – Schleswig;SH;Urne;228471;137434;1386;136048;53564;39148;10056;13602;0;8713;8875;0;0;1578;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;512;1311;136123;45657;33302;11555;17458;0;14529;9724;0;307;970;0;213;1730;0;0;0;46;0;0;0;0;0;0;632;0;0;0;0;0;0;0;0;0;0
002;Nordfriesland – Dithmarschen Nord;SH;Urne;186568;110457;1101;109356;49147;28241;5661;9833;0;8646;6629;0;0;1199;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1004;109453;41743;25328;6886;11774;0;13871;7371;0;262;657;0;125;1109;0;0;0;45;0;0;0;0;0;0;282;0;0;0;0;0;0;0;0;0;0
003;Steinburg – Dithmarschen Süd;SH;Urne;176636;108065;1018;107047;44617;28471;5990;6876;0;11356;8540;0;0;1061;0;0;0;0;0;0;136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1046;107019;38271;24860;7243;10358;0;13805;9500;0;425;826;0;156;1221;0;0;0;49;0;0;0;0;0;0;305;0;0;0;0;0;0;0;0;0;0
004;Rendsburg-Eckernförde;SH;Urne;200831;125488;1089;124399;52277;36823;6703;10709;0;7880;8714;0;0;1293;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;965;124523;44336;29315;8206;15102;0;14785;9554;0;268;837;0;183;1450;0;0;0;46;0;0;0;0;0;0;441;0;0;0;0;0;0;0;0;0;0
005;Kiel;SH;Urne;204650;112399;1330;111069;32333;35542;8624;15354;0;8187;7569;0;0;0;0;0;3040;0;0;0;176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;244;0;0;1041;111358;28234;27593;11919;18802;0;12452;8477;0;217;416;0;219;2494;0;0;0;103;0;0;0;0;0;0;432;0;0;0;0;0;0;0;0;0;0
006;Plön – Neumünster;SH;Urne;174937;105173;1044;104129;41491;30744;5731;9033;0;7410;8678;0;0;1042;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1071;104102;34108;25296;7037;12850;0;12739;9390;0;438;606;0;140;1132;0;0;0;51;0;0;0;0;0;0;315;0;0;0;0;0;0;0;0;0;0
007;Pinneberg;SH;Urne;238533;142402;1282;141120;54394;43502;9024;11463;0;10720;12017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1082;141320;46735;32915;10517;16378;0;18159;13013;0;379;747;0;305;1740;0;0;0;41;0;0;0;0;0;0;391;0;0;0;0;0;0;0;0;0;0
008;Segeberg – Stormarn-Mitte;SH;Urne;247296;150726;1268;149458;60220;41536;8769;12066;0;12010;13015;0;0;1842;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1170;149556;50417;33952;10698;16291;0;19899;14297;0;393;1172;0;291;1730;0;0;0;54;0;0;0;0;0;0;362;0;0;0;0;0;0;0;0;0;0
009;Ostholstein – Stormarn-Nord;SH;Urne;181522;108492;965;107527;43589;34037;5001;7207;0;7596;8837;0;0;877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;383;0;0;0;0;0;993;107499;37320;27356;6821;10380;0;13668;9658;0;260;678;0;131;986;0;0;0;30;0;0;0;0;0;0;211;0;0;0;0;0;0;0;0;0;0
010;Herzogtum Lauenburg – Stormarn-Süd;SH;Urne;244930;148645;1296;147349;56890;40971;7905;14015;0;11725;14186;0;0;1657;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1179;147466;49324;33568;10111;15976;0;19347;15345;0;397;947;0;323;1720;0;0;0;43;0;0;0;0;0;0;365;0;0;0;0;0;0;0;0;0;0
011;Lübeck;SH;Urne;181638;98150;1778;96372;32850;33405;0;11907;0;6362;9147;0;0;1984;0;0;0;0;0;0;717;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;972;97178;27511;25353;9508;11969;0;10144;9407;0;295;864;0;203;1463;0;0;0;138;0;0;0;0;0;0;323;0;0;0;0;0;0;0;0;0;0
012;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;MV;Urne;216800;120296;1628;118668;37715;25954;19965;4085;0;5489;20616;0;1330;2890;0;0;0;0;0;0;323;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;301;1418;118878;37837;22194;19456;4811;0;7438;21443;0;1504;1220;1373;104;1052;0;0;0;171;0;0;0;0;0;0;275;0;0;0;0;0;0;0;0;0;0
013;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;MV;Urne;205876;114251;1699;112552;32307;27215;18242;4197;0;6415;21057;0;1115;2004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1509;112742;36540;19769;18856;4071;0;6876;21390;0;1453;936;1406;153;917;0;0;0;145;0;0;0;0;0;0;230;0;0;0;0;0;0;0;0;0;0
014;Rostock – Landkreis Rostock II;MV;Urne;222913;120625;1494;119131;34837;21439;28782;5471;0;5219;19487;0;0;1025;0;390;2205;0;0;0;276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1471;119154;35091;18916;24357;7014;0;7643;20612;0;735;687;1489;220;1824;0;0;0;212;0;0;0;0;0;0;354;0;0;0;0;0;0;0;0;0;0
015;Vorpommern-Rügen – Vorpommern-Greifswald I;MV;Urne;240887;126661;1593;125068;53920;14456;19441;3333;0;3856;26160;0;824;1131;1544;0;0;0;0;0;302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101;1838;124823;40191;15075;21988;5682;0;8325;26832;0;1194;881;2500;114;1441;0;0;0;177;0;0;0;0;0;0;423;0;0;0;0;0;0;0;0;0;0
016;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;MV;Urne;226039;121265;1951;119314;36971;16151;21872;2762;0;6406;30070;0;2465;1565;0;0;1052;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1878;119387;38798;14511;20345;3027;0;6523;29454;0;2800;848;1493;102;1039;0;0;0;108;0;0;0;0;0;0;339;0;0;0;0;0;0;0;0;0;0
