© Die Bundeswahlleiterin, Wiesbaden 2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stimmabgabe der Urnen- und Briefwahl bei der Bundestagswahl 2021 nach Wahlkreisen (einschließlich Wiederholung der Wahl in Teilen Berlins am 11. Februar 2024);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wahlkreis-Nr.;Wahlkreisname;Land;Wahlbezirksart;Wahlberechtigte;Wählende;Ungültige;Gültige;CDU;SPD;AfD;FDP;DIE LINKE;GRÜNE;CSU;FREIE WÄHLER;Die PARTEI;Tierschutzpartei;NPD;PIRATEN;ÖDP;V-Partei³;DiB;BP;Tierschutzallianz;MLPD;Gesundheitsforschung;MENSCHLICHE WELT;DKP;Die Grauen;BüSo;Die Humanisten;Gartenpartei;du.;dieBasis;Bündnis C;BÜRGERBEWEGUNG;III. Weg;Bündnis21;LIEBE;LKR;SSW;Team Todenhöfer;UNABHÄNGIGE;Volt;Volksabstimmung;B*;sonstige;FAMILIE;Graue Panther;KlimalisteBW;THP;Übrige;Ungültige;Gültige;CDU;SPD;AfD;FDP;DIE LINKE;GRÜNE;CSU;FREIE WÄHLER;Die PARTEI;Tierschutzpartei;NPD;PIRATEN;ÖDP;V-Partei³;DiB;BP;Tierschutzallianz;MLPD;Gesundheitsforschung;MENSCHLICHE WELT;DKP;Die Grauen;BüSo;Die Humanisten;Gartenpartei;du.;SGP;dieBasis;Bündnis C;BÜRGERBEWEGUNG;III. Weg;Bündnis21;LIEBE;LKR;PdF;LfK;SSW;Team Todenhöfer;UNABHÄNGIGE;Volt
;;;;;;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen
001;Flensburg – Schleswig;SH;Urne;231536;127698;1270;126428;29743;29588;7936;9034;4701;31751;0;1630;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;137;2526;0;0;0;0;0;102;9280;0;0;0;0;0;0;0;0;0;0;0;1266;126432;25562;32901;8293;13444;5398;21390;0;1248;1352;1453;106;0;78;113;0;0;0;5;0;0;25;0;0;114;0;78;0;2160;0;0;0;0;0;45;0;0;12167;238;0;262
002;Nordfriesland – Dithmarschen Nord;SH;Urne;188267;97703;1002;96701;29742;27360;6283;9595;2701;12366;0;1016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1548;0;0;0;0;0;130;5960;0;0;0;0;0;0;0;0;0;0;0;976;96727;24356;25877;6702;12323;2946;13282;0;734;942;1005;103;0;75;68;0;0;0;16;0;0;17;0;0;83;0;37;0;1260;0;0;0;0;0;37;0;0;6579;142;0;143
003;Steinburg – Dithmarschen Süd;SH;Urne;176899;98813;1037;97776;28706;28769;8362;13823;3102;11216;0;1799;0;0;0;0;0;335;0;0;0;0;0;0;0;0;0;0;0;0;1531;0;0;0;0;0;133;0;0;0;0;0;0;0;0;0;0;0;0;988;97825;23852;27335;9031;13424;3244;12845;0;1192;985;1223;155;0;78;140;0;0;0;16;0;0;23;0;0;92;0;48;0;1280;0;0;0;0;0;51;0;0;2436;211;0;164
004;Rendsburg-Eckernförde;SH;Urne;202226;111968;1092;110876;32549;34891;7968;8981;3074;15346;0;1138;1579;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1730;0;0;0;0;0;0;3620;0;0;0;0;0;0;0;0;0;0;0;901;111067;26471;30545;8268;13149;3568;18177;0;793;1208;1183;128;0;78;71;0;0;0;21;0;0;17;0;0;104;0;33;0;1686;0;0;0;0;0;33;0;0;5185;182;0;167
005;Kiel;SH;Urne;202482;93891;853;93038;16306;28564;5329;7116;4621;24372;0;695;1863;0;0;0;0;0;0;0;0;45;0;0;68;0;0;0;0;85;1382;0;0;0;0;0;0;2247;0;0;345;0;0;0;0;0;0;0;0;728;93163;13796;25130;5653;9606;6073;24290;0;606;1450;1042;88;0;62;88;0;0;0;26;0;0;55;0;0;181;0;60;0;1359;0;0;0;0;0;35;0;0;2655;585;0;323
006;Plön – Neumünster;SH;Urne;174908;90832;1307;89525;24504;28323;7341;8696;2550;13204;0;1510;1481;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1789;0;0;0;0;0;127;0;0;0;0;0;0;0;0;0;0;0;0;940;89892;20302;26441;7631;10784;2961;14501;0;827;924;990;181;0;64;64;0;0;0;13;0;0;21;0;0;79;0;38;0;1439;0;0;0;0;0;56;0;0;2100;327;0;149
007;Pinneberg;SH;Urne;238388;122877;960;121917;31258;38292;9078;13426;3703;19614;0;1460;1620;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1948;0;0;0;0;0;101;1417;0;0;0;0;0;0;0;0;0;0;0;851;122026;26685;35871;9804;16243;4247;20656;0;1074;1223;1474;134;0;111;123;0;0;0;12;0;0;35;0;0;112;0;83;0;1666;0;0;0;0;0;65;0;0;1516;605;0;287
008;Segeberg – Stormarn-Mitte;SH;Urne;249202;132872;1208;131664;36389;41609;10881;14164;4115;17038;0;2879;2247;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2342;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1097;131775;29581;37231;11338;18487;4378;20504;0;1457;1574;1771;182;0;112;115;0;0;0;19;0;0;35;0;0;137;0;82;0;2026;0;0;0;0;0;39;0;0;1974;406;0;327
009;Ostholstein – Stormarn-Nord;SH;Urne;183138;95255;924;94331;28234;32149;7281;8888;2776;11668;0;1724;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1453;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;158;887;94368;23283;28654;7598;11896;2778;13709;0;1096;770;1170;144;0;64;56;0;0;0;10;0;0;17;0;0;52;0;41;0;1213;0;0;0;0;0;16;0;0;1484;119;0;198
010;Herzogtum Lauenburg – Stormarn-Süd;SH;Urne;246277;128992;1180;127812;33611;39625;10577;13647;3475;20849;0;2277;1911;0;0;0;0;0;0;0;0;0;0;0;85;0;0;0;0;0;1755;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1076;127916;29663;36970;11056;18007;4189;19755;0;1425;1203;1499;181;0;132;74;0;0;0;22;0;0;49;0;0;110;0;58;0;1556;0;0;0;0;0;24;0;0;1064;585;0;294
011;Lübeck;SH;Urne;179394;86526;1196;85330;17816;29481;6603;6725;2878;17023;0;1267;1461;0;0;0;0;0;0;0;0;129;0;0;50;0;0;0;0;171;1094;0;0;0;0;0;58;0;0;0;437;0;0;0;0;0;0;0;137;965;85561;15157;26603;6877;9096;3838;17556;0;930;909;987;124;0;86;75;0;0;0;50;0;0;27;0;0;123;0;69;0;1058;0;0;0;0;0;45;0;0;1068;535;0;348
012;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;MV;Urne;214853;102124;2319;99805;20314;29262;19683;7552;10381;6585;0;2107;1223;0;0;952;0;0;0;0;0;144;0;0;0;0;0;0;0;0;1602;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1966;100158;16967;31381;18697;8451;9702;6898;0;1560;851;1713;928;717;95;0;0;0;0;67;0;0;82;0;0;98;0;0;0;1470;0;0;0;0;0;0;0;0;0;238;0;243
013;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;MV;Urne;205042;97041;1885;95156;17060;32714;19226;6687;9289;4751;0;2257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1305;1926;95115;15953;30227;19039;7496;9138;5848;0;1483;675;1726;717;416;84;0;0;0;0;33;0;0;71;0;0;92;0;0;0;1769;0;0;0;0;0;0;0;0;0;197;0;151
014;Rostock – Landkreis Rostock II;MV;Urne;222705;99562;1711;97851;16645;26946;14943;7250;15938;8446;0;1170;0;2654;0;766;0;0;0;0;0;215;0;0;0;0;0;0;0;0;2878;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1845;97717;13953;27940;15348;8750;12142;10709;0;1057;1201;2434;554;513;131;0;0;0;0;88;0;0;82;0;0;162;0;0;0;2192;0;0;0;0;0;0;0;0;0;218;0;243
015;Vorpommern-Rügen – Vorpommern-Greifswald I;MV;Urne;241066;111123;2219;108904;22344;26311;25419;6923;13167;6518;0;1077;1095;3339;0;680;0;0;0;0;0;132;0;0;0;0;0;0;0;0;1899;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2644;108479;20304;26712;24276;8495;11257;7849;0;1177;975;3504;620;521;112;0;0;0;0;61;0;0;98;0;0;185;0;0;0;1928;0;0;0;0;0;0;0;0;0;206;0;199
016;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;MV;Urne;221421;103705;2927;100778;20223;24335;28473;6887;9723;3408;0;1535;0;3165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2263;0;0;0;0;0;0;0;0;528;0;0;0;0;0;0;0;0;238;2640;101065;18644;26180;27186;7050;9176;3727;0;1342;693;2505;1642;334;69;0;0;0;0;50;0;0;86;0;0;124;0;0;0;1947;0;0;0;0;0;0;0;0;0;194;0;116
017;Mecklenburgische Seenplatte II – Landkreis Rostock III;MV;Urne;209348;95448;2381;93067;19259;28293;23347;6407;8793;4144;0;2577;0;0;0;0;0;0;0;0;0;247;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2326;93122;17047;27014;22497;6824;8592;4114;0;1496;632;1601;780;305;134;0;0;0;0;97;0;0;52;0;0;99;0;0;0;1542;0;0;0;0;0;0;0;0;0;160;0;136
018;Hamburg-Mitte;HH;Urne;242078;90631;870;89761;10958;30951;5723;7067;8560;21089;0;631;2212;0;73;0;330;0;0;0;0;121;0;0;0;0;0;0;0;0;1822;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;224;756;89875;9579;26851;5933;8914;8563;22204;0;466;1277;1233;70;480;186;144;0;0;0;46;0;0;56;0;0;144;0;201;0;1503;0;0;0;36;0;26;0;0;0;1433;0;530
019;Hamburg-Altona;HH;Urne;187705;71315;465;70850;10378;20853;3213;5506;7640;20317;0;334;0;0;0;643;278;0;0;0;0;115;0;0;0;0;0;0;0;0;1502;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71;402;70913;9162;18591;3146;7325;7162;20689;0;230;777;679;37;269;111;67;0;0;0;48;0;0;41;0;0;67;0;103;0;1273;0;0;0;26;0;11;0;0;0;736;0;363
020;Hamburg-Eimsbüttel;HH;Urne;193823;74135;516;73619;11233;22548;3340;5951;5606;21057;0;448;1197;0;0;0;210;0;0;0;0;71;0;0;0;0;0;0;0;0;1412;0;0;0;0;0;0;0;0;0;546;0;0;0;0;0;0;0;0;363;73772;9861;21164;3485;8097;5516;20997;0;326;709;781;34;251;120;55;0;0;0;31;0;0;44;0;0;80;0;88;0;1151;0;0;0;26;0;13;0;0;0;539;0;404
021;Hamburg-Nord;HH;Urne;219909;83085;577;82508;17620;26231;3745;7306;4440;20380;0;630;0;0;56;0;0;0;0;0;0;104;0;0;0;0;0;0;0;0;1897;0;0;0;0;0;99;0;0;0;0;0;0;0;0;0;0;0;0;456;82629;13730;23280;4062;11579;4360;20452;0;377;668;848;42;292;138;90;0;0;0;32;0;0;34;0;0;97;0;61;0;1473;0;0;0;33;0;26;0;0;0;537;0;418
022;Hamburg-Wandsbek;HH;Urne;233483;86796;999;85797;15134;32849;7294;7827;5522;12853;0;0;0;0;106;1063;403;0;0;0;0;68;0;0;0;0;0;0;0;0;1853;0;0;0;0;0;0;0;0;0;825;0;0;0;0;0;0;0;0;806;85990;13325;29134;7151;9430;4704;15246;0;518;831;1260;93;538;184;84;0;0;0;19;0;0;38;0;0;139;0;76;0;1474;0;0;0;34;0;20;0;0;0;1292;0;400
023;Hamburg-Bergedorf – Harburg;HH;Urne;221794;86695;992;85703;13493;33066;8840;7346;6241;12199;0;1156;0;0;107;0;555;0;0;0;0;77;0;0;0;0;0;0;0;0;1956;0;0;0;0;0;0;0;0;0;667;0;0;0;0;0;0;0;0;893;85802;12953;27938;8738;8496;5809;14106;0;666;902;1220;97;442;234;98;0;0;0;31;0;0;56;0;0;132;0;104;0;1571;0;0;0;40;0;22;0;0;0;1754;0;393
024;Aurich – Emden;NI;Urne;191846;97299;1832;95467;16493;51084;0;8367;3569;8120;0;3101;0;2965;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1691;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77;1377;95922;16259;42424;8865;8503;3298;11454;0;1177;800;1437;121;326;56;40;0;0;0;16;0;0;23;0;0;60;0;52;0;759;0;0;0;0;0;13;0;0;0;111;0;128
025;Unterems;NI;Urne;238506;125977;1560;124417;54833;35404;10860;7948;3127;10774;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1364;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107;1236;124741;37234;42154;11309;13100;3326;12169;0;581;1219;1296;123;384;34;45;0;0;0;15;0;0;17;0;0;78;0;53;0;1199;0;0;0;0;0;21;0;0;0;160;0;224
026;Friesland – Wilhelmshaven – Wittmund;NI;Urne;189047;92933;899;92034;19806;41524;8064;6746;2435;8875;0;1713;1897;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;924;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;980;91953;19026;35085;8599;9773;2907;11004;0;1019;1090;1502;103;311;35;55;0;0;0;36;0;0;15;0;0;95;0;60;0;800;0;0;0;0;0;30;0;0;0;224;0;184
