# (c) Die Bundeswahlleiterin, Wiesbaden 2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Wahl zum 20. Deutschen Bundestag (26. September 2021), einschließlich der Wiederholung der Wahl in Teilen Berlins (11.02.2024);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Endgültige Ergebnisse der Erst- und Zweitstimmen nach Bezirksart und Ländern (aktualisiert am 26. September 2024);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr;Land;Stimmenart;Bezirksart;Wahlberechtigte;Wähler;ungültig;gültig;CDU;SPD;AfD;FDP;DIE LINKE;GRÜNE;CSU;FREIE WÄHLER;Die PARTEI;Tierschutzpartei;NPD;PIRATEN;ÖDP;V-Partei³;DiB;BP;Tierschutzallianz;MLPD;Gesundheitsforschung;MENSCHLICHE WELT;DKP;Die Grauen;BüSo;Die Humanisten;Gartenpartei;du.;SGP;dieBasis;Bündnis C;BÜRGERBEWEGUNG;III. Weg;Bündnis21;LIEBE;LKR;PdF;LfK;SSW;Team Todenhöfer;UNABHÄNGIGE;Volt;Volksabstimmung;B*;sonstige;FAMILIE;Graue Panther;KlimalisteBW;THP;Übrige
99;Bundesgebiet;E;Zusammen;61172771;46707343;488483;46218860;10445920;12184096;4699926;4019565;2286070;6435380;2788048;1332710;540170;160865;1090;60548;152542;10644;2609;36748;7371;22535;2171;652;5446;1962;811;12672;2095;1890;0;732620;6222;1556;515;372;873;11005;0;0;35027;5422;13421;77594;1086;192;251;1817;961;3967;549;110874
99;Bundesgebiet;E;Urne;61172771;24632301;315708;24316593;5520555;6477350;3259889;2155307;1291195;2980960;991040;570661;293882;83324;548;32975;59768;4138;1149;10247;4266;13221;1123;258;2932;1014;377;6074;1121;803;0;426911;3530;648;389;182;379;5575;0;0;22524;3037;7610;29413;324;87;99;1011;610;1354;316;48417
99;Bundesgebiet;E;Brief;0;22075042;172775;21902267;4925365;5706746;1440037;1864258;994875;3454420;1797008;762049;246288;77541;542;27573;92774;6506;1460;26501;3105;9314;1048;394;2514;948;434;6598;974;1087;0;305709;2692;908;126;190;494;5430;0;0;12503;2385;5811;48181;762;105;152;806;351;2613;233;62457
99;Bundesgebiet;Z;Zusammen;61172771;46707343;408956;46298387;8774920;11901558;4809233;5291013;2255864;6814408;2402827;1125667;460431;673669;64360;169587;112129;31763;7184;32790;13672;17820;48496;3786;14957;17304;665;47524;7611;17738;1399;630153;39868;7491;7832;3488;12967;11328;3228;9189;55578;211854;22736;164300;0;0;0;0;0;0;0;0
99;Bundesgebiet;Z;Urne;61172771;24632301;289475;24342826;4635250;6229031;3323620;2770608;1275613;3161227;863042;448021;262323;360318;43857;96061;47758;13298;3066;9168;8427;10992;23671;2412;8122;8603;374;26191;4821;8048;864;375325;20914;3241;5076;1552;7820;5479;1701;3827;38228;146508;9509;78860;0;0;0;0;0;0;0;0
99;Bundesgebiet;Z;Brief;0;22075042;119481;21955561;4139670;5672527;1485613;2520405;980251;3653181;1539785;677646;198108;313351;20503;73526;64371;18465;4118;23622;5245;6828;24825;1374;6835;8701;291;21333;2790;9690;535;254828;18954;4250;2756;1936;5147;5849;1527;5362;17350;65346;13227;85440;0;0;0;0;0;0;0;0
1;Schleswig-Holstein;E;Zusammen;2272717;1776145;16132;1760013;465975;530301;113641;167191;55523;315633;0;26518;18090;0;0;0;0;581;0;0;0;265;0;0;326;0;0;0;0;727;0;27124;0;0;0;0;0;1051;0;0;35027;0;0;1431;0;0;0;0;0;0;0;609
1;Schleswig-Holstein;E;Urne;2272717;1187427;12029;1175398;308858;358651;87639;114095;37696;194447;0;17395;12162;0;0;0;0;335;0;0;0;174;0;0;203;0;0;0;0;393;0;19098;0;0;0;0;0;651;0;0;22524;0;0;782;0;0;0;0;0;0;0;295
1;Schleswig-Holstein;E;Brief;0;588718;4103;584615;157117;171650;26002;53096;17827;121186;0;9123;5928;0;0;0;0;246;0;0;0;91;0;0;123;0;0;0;0;334;0;8026;0;0;0;0;0;400;0;0;12503;0;0;649;0;0;0;0;0;0;0;314
1;Schleswig-Holstein;Z;Zusammen;2272717;1776145;13391;1762754;388399;494055;119566;220039;64238;322763;0;17043;17870;20653;2034;0;1539;1763;0;0;0;322;0;0;516;0;0;1763;0;1029;0;23407;0;0;0;0;0;715;0;0;55578;5305;0;4157;0;0;0;0;0;0;0;0
