© Die Bundeswahlleiterin, Wiesbaden 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stimmabgabe der Urnen- und Briefwahl bei der Bundestagswahl 2025 nach Wahlkreisen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wahlkreis-Nummer;Wahlkreisname;Land;Wahlbezirksart;Wahlberechtigte;Wählende;Ungültige - Erststimmen;Gültige - Erststimmen;SPD - Erststimmen;CDU - Erststimmen;GRÜNE - Erststimmen;FDP - Erststimmen;AfD - Erststimmen;CSU - Erststimmen;Die Linke - Erststimmen;FREIE WÄHLER - Erststimmen;Tierschutzpartei - Erststimmen;dieBasis - Erststimmen;Die PARTEI - Erststimmen;Team Todenhöfer - Erststimmen;PIRATEN - Erststimmen;Volt - Erststimmen;ÖDP - Erststimmen;SSW - Erststimmen;PdH - Erststimmen;Bündnis C - Erststimmen;BP - Erststimmen;MLPD - Erststimmen;PdF - Erststimmen;SGP - Erststimmen;BüSo - Erststimmen;BÜNDNIS DEUTSCHLAND - Erststimmen;BSW - Erststimmen;MERA25 - Erststimmen;WerteUnion - Erststimmen;Übrige - Erststimmen;Ungültige - Zweitstimmen;Gültige - Zweitstimmen;SPD - Zweitstimmen;CDU - Zweitstimmen;GRÜNE - Zweitstimmen;FDP - Zweitstimmen;AfD - Zweitstimmen;CSU - Zweitstimmen;Die Linke - Zweitstimmen;FREIE WÄHLER - Zweitstimmen;Tierschutzpartei - Zweitstimmen;dieBasis - Zweitstimmen;Die PARTEI - Zweitstimmen;Team Todenhöfer - Zweitstimmen;PIRATEN - Zweitstimmen;Volt - Zweitstimmen;ÖDP - Zweitstimmen;SSW - Zweitstimmen;Verjüngungsforschung - Zweitstimmen;PdH - Zweitstimmen;Bündnis C - Zweitstimmen;BP - Zweitstimmen;MLPD - Zweitstimmen;MENSCHLICHE WELT - Zweitstimmen;PdF - Zweitstimmen;SGP - Zweitstimmen;BüSo - Zweitstimmen;BÜNDNIS DEUTSCHLAND - Zweitstimmen;BSW - Zweitstimmen;MERA25 - Zweitstimmen;WerteUnion - Zweitstimmen
001;Flensburg – Schleswig;SH;Urne;232131;140527;890;139637;21018;36292;28465;3395;24416;0;8152;1099;0;0;0;0;0;933;0;15113;0;0;0;0;0;0;0;483;0;0;0;271;836;139691;22069;33659;19884;5268;24689;0;11988;797;0;0;850;0;0;928;0;14779;0;0;0;0;39;0;0;0;0;247;4494;0;0
002;Nordfriesland – Dithmarschen Nord;SH;Urne;186019;109748;800;108948;22082;35104;10601;3995;19887;0;5910;976;0;0;0;0;0;764;0;9629;0;0;0;0;0;0;0;0;0;0;0;0;674;109074;18681;31532;11950;5387;19969;0;7092;768;0;0;738;0;0;663;0;8673;0;0;0;0;29;0;0;0;0;141;3451;0;0
003;Steinburg – Dithmarschen Süd;SH;Urne;175948;111377;904;110473;22759;37710;10058;4369;25138;0;6883;2131;0;0;0;0;0;1425;0;0;0;0;0;0;0;0;0;0;0;0;0;0;698;110679;19045;31256;11247;5901;25066;0;7682;1029;0;0;879;0;0;849;0;3499;0;0;0;0;34;0;0;0;0;186;4006;0;0
004;Rendsburg-Eckernförde;SH;Urne;202649;126031;902;125129;26335;40001;13926;5732;21969;0;6794;927;0;0;0;0;0;845;0;7515;0;0;0;0;0;0;0;510;0;0;0;575;699;125332;22126;35314;16922;5798;22816;0;8525;664;0;0;808;0;0;650;0;7375;0;0;0;0;31;0;0;0;0;220;4083;0;0
005;Kiel;SH;Urne;201508;105864;744;105120;23603;21266;25167;3066;13956;0;10895;451;0;0;1182;0;0;1370;0;4164;0;0;0;0;0;0;0;0;0;0;0;0;704;105160;20384;19674;21715;4261;13958;0;15183;332;0;0;893;0;0;1074;0;3734;0;0;0;0;39;0;0;0;0;130;3783;0;0
006;Plön – Neumünster;SH;Urne;173740;105353;1405;103948;24229;32827;12733;3415;21174;0;6253;2039;0;0;0;0;0;1278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;770;104583;19419;28643;13611;4523;21513;0;7674;804;0;0;707;0;0;733;0;2985;0;0;0;0;22;0;0;0;0;144;3805;0;0
007;Pinneberg;SH;Urne;236767;141174;917;140257;34130;42971;16651;5418;24981;0;9650;1402;0;0;0;0;0;1532;0;2983;0;0;0;0;0;0;0;539;0;0;0;0;809;140365;27449;38539;19095;7236;25384;0;11406;877;0;0;981;0;0;1288;0;2576;0;0;0;0;32;0;0;0;0;277;5225;0;0
008;Segeberg – Stormarn-Mitte;SH;Urne;249219;153579;1188;152391;36388;47726;16424;6828;30046;0;9804;2163;0;0;0;0;0;2132;0;0;0;0;0;0;0;0;0;880;0;0;0;0;881;152698;28384;42574;19213;8169;30117;0;11514;1112;0;0;1177;0;0;1388;0;2857;0;0;0;0;39;0;0;0;0;329;5825;0;0
009;Ostholstein – Stormarn-Nord;SH;Urne;181112;106704;789;105915;26399;35391;10142;3814;21164;0;6202;1740;0;0;0;0;0;1063;0;0;0;0;0;0;0;0;0;0;0;0;0;0;629;106075;20580;31399;12374;5467;21592;0;6842;898;0;0;719;0;0;711;0;2035;0;0;0;0;32;0;0;0;0;147;3279;0;0
010;Herzogtum Lauenburg – Stormarn-Süd;SH;Urne;245473;149909;1119;148790;34128;46960;19398;5521;29242;0;9238;2523;0;0;0;0;0;1780;0;0;0;0;0;0;0;0;0;0;0;0;0;0;874;149035;27998;42343;19321;8128;29245;0;10918;1160;0;0;961;0;0;1244;0;1756;0;0;0;0;37;0;0;0;0;234;5690;0;0
