© Die Bundeswahlleiterin, Wiesbaden 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ergebnisse der Bundestagswahl 2025 nach kreisfreien Städten und Landkreisen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Land;Statistische Kennziffer;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte (A);Wählende (B);Ungültige - Erststimmen;Gültige - Erststimmen;SPD - Erststimmen;CDU - Erststimmen;GRÜNE - Erststimmen;FDP - Erststimmen;AfD - Erststimmen;CSU - Erststimmen;Die Linke - Erststimmen;FREIE WÄHLER - Erststimmen;Tierschutzpartei - Erststimmen;dieBasis - Erststimmen;Die PARTEI - Erststimmen;Team Todenhöfer - Erststimmen;PIRATEN - Erststimmen;Volt - Erststimmen;ÖDP - Erststimmen;SSW - Erststimmen;PdH - Erststimmen;Bündnis C - Erststimmen;BP - Erststimmen;MLPD - Erststimmen;PdF - Erststimmen;SGP - Erststimmen;BüSo - Erststimmen;BÜNDNIS DEUTSCHLAND - Erststimmen;BSW - Erststimmen;MERA25 - Erststimmen;WerteUnion - Erststimmen;Übrige - Erststimmen;Ungültige - Zweitstimmen;Gültige - Zweitstimmen;SPD - Zweitstimmen;CDU - Zweitstimmen;GRÜNE - Zweitstimmen;FDP - Zweitstimmen;AfD - Zweitstimmen;CSU - Zweitstimmen;Die Linke - Zweitstimmen;FREIE WÄHLER - Zweitstimmen;Tierschutzpartei - Zweitstimmen;dieBasis - Zweitstimmen;Die PARTEI - Zweitstimmen;Team Todenhöfer - Zweitstimmen;PIRATEN - Zweitstimmen;Volt - Zweitstimmen;ÖDP - Zweitstimmen;SSW - Zweitstimmen;Verjüngungsforschung - Zweitstimmen;PdH - Zweitstimmen;Bündnis C - Zweitstimmen;BP - Zweitstimmen;MLPD - Zweitstimmen;MENSCHLICHE WELT - Zweitstimmen;PdF - Zweitstimmen;SGP - Zweitstimmen;BüSo - Zweitstimmen;BÜNDNIS DEUTSCHLAND - Zweitstimmen;BSW - Zweitstimmen;MERA25 - Zweitstimmen;WerteUnion - Zweitstimmen
SH;01001;Flensburg, Stadt;69358;55072;372;54700;7934;9860;16696;1261;7527;0;4255;242;0;0;0;0;0;547;0;6067;0;0;0;0;0;0;0;174;0;0;0;137;321;54751;8584;9553;11284;1806;7573;0;7042;180;0;0;410;0;0;561;0;5833;0;0;0;0;19;0;0;0;0;84;1822;0;0
SH;01002;Kiel, Landeshauptstadt;183830;151581;903;150678;33263;30011;39858;4318;16402;0;15206;701;0;0;1905;0;0;2377;0;6637;0;0;0;0;0;0;0;0;0;0;0;0;806;150775;29076;28257;34823;5773;16447;0;21728;525;0;0;1374;0;0;1790;0;5696;0;0;0;0;56;0;0;0;0;170;5060;0;0
SH;01003;Lübeck, Hansestadt;162925;129549;1139;128410;36803;29412;25623;3520;19469;0;9446;1689;0;0;0;0;0;2173;0;0;0;0;0;275;0;0;0;0;0;0;0;0;763;128786;27615;28144;23610;4880;19687;0;14043;871;0;0;1045;0;0;1406;0;2372;0;0;0;0;86;0;0;0;0;165;4862;0;0
SH;01004;Neumünster, Stadt;58634;44693;642;44051;10900;12929;4489;1391;9877;0;2938;919;0;0;0;0;0;608;0;0;0;0;0;0;0;0;0;0;0;0;0;0;343;44350;8689;11235;4656;1837;9888;0;3574;326;0;0;344;0;0;332;0;1365;0;0;0;0;9;0;0;0;0;48;2047;0;0
SH;01051;Dithmarschen;106195;87175;659;86516;17612;30019;7257;3842;18256;0;4874;1396;0;0;0;0;0;883;0;2377;0;0;0;0;0;0;0;0;0;0;0;0;521;86654;15364;26241;7925;4771;18264;0;5290;763;0;0;681;0;0;592;0;3566;0;0;0;0;37;0;0;0;0;116;3044;0;0
SH;01053;Herzogtum Lauenburg;153679;129260;911;128349;29188;40444;17628;4412;24477;0;7746;2823;0;0;0;0;0;1620;0;0;0;0;0;11;0;0;0;0;0;0;0;0;659;128601;23812;37058;17006;6516;24564;0;9152;1328;0;0;918;0;0;1147;0;1958;0;0;0;0;33;0;0;0;0;221;4888;0;0
SH;01054;Nordfriesland;131573;109490;730;108760;22509;34706;12742;3935;15755;0;5431;999;0;0;0;0;0;806;0;11877;0;0;0;0;0;0;0;0;0;0;0;0;599;108891;18818;31638;14614;5225;15841;0;6724;765;0;0;742;0;0;718;0;10344;0;0;0;0;32;0;0;0;0;123;3307;0;0
SH;01055;Ostholstein;165149;136917;1020;135897;34917;47260;13957;4948;23469;0;7408;2407;0;0;0;0;0;1531;0;0;0;0;0;0;0;0;0;0;0;0;0;0;746;136171;27038;42489;17098;7027;23989;0;8058;1237;0;0;971;0;0;948;0;2873;0;0;0;0;40;0;0;0;0;199;4204;0;0
SH;01056;Pinneberg;236767;200304;1202;199102;49714;63232;25395;7675;30417;0;12683;2190;0;0;0;0;0;2423;0;4617;0;0;0;0;0;0;0;756;0;0;0;0;985;199319;40326;57531;28967;10087;31098;0;15091;1313;0;0;1360;0;0;2016;0;3976;0;0;0;0;47;0;0;0;0;385;7122;0;0
SH;01057;Plön;105453;90897;1126;89771;21499;30465;13567;3005;13789;0;4348;1898;0;0;0;0;0;1200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;522;90375;17330;26977;14438;3903;14152;0;5666;762;0;0;595;0;0;712;0;2954;0;0;0;0;28;0;0;0;0;124;2734;0;0
SH;01058;Rendsburg-Eckernförde;220327;188099;1214;186885;39693;61096;23896;8680;27826;0;9422;1443;0;0;116;0;0;1476;0;11803;0;0;0;0;0;0;0;632;0;0;0;802;919;187180;33430;54816;28551;8750;28935;0;11943;1042;0;0;1244;0;0;1111;0;11144;0;0;0;0;47;0;0;0;0;313;5854;0;0
SH;01059;Schleswig-Flensburg;162773;137810;725;137085;20442;40978;26602;3226;21300;0;6120;1305;0;0;0;0;0;905;0;15401;0;0;0;0;0;0;0;472;0;0;0;334;667;137143;21974;38133;19311;5261;21699;0;8870;957;0;0;802;0;0;888;0;14742;0;0;0;0;34;0;0;0;0;244;4228;0;0
SH;01060;Segeberg;214642;180619;1376;179243;42797;58797;19614;8015;32648;0;10678;3029;0;0;0;0;0;2743;0;0;0;0;0;0;0;0;0;922;0;0;0;0;964;179655;33294;52654;23023;9343;32744;0;12403;1601;0;0;1482;0;0;1768;0;4096;0;0;0;0;47;0;0;0;0;389;6811;0;0
SH;01061;Steinburg;104235;86768;671;86097;18478;30044;9214;2917;16810;0;5379;1892;0;0;0;0;0;1363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;440;86328;15409;24894;10239;4136;16819;0;6082;940;0;0;726;0;0;783;0;2848;0;0;0;0;19;0;0;0;0;146;3287;0;0
SH;01062;Stormarn;187271;161734;1049;160685;38736;54288;22760;6396;24237;0;9164;2206;0;0;0;0;0;2627;0;0;0;0;0;0;0;0;0;271;0;0;0;0;708;161026;31787;48804;24378;8832;24465;0;10762;1065;0;0;1035;0;0;1724;0;2371;0;0;0;0;42;0;0;0;0;254;5507;0;0
HH;02000;Hamburg, Freie und Hansestadt;1299289;1050805;8507;1042298;292325;232067;214621;35299;114714;0;129995;9714;0;0;0;0;0;11921;0;0;0;0;0;1642;0;0;0;0;0;0;0;0;5185;1045620;237740;216935;201713;47115;113608;0;151115;3866;9735;0;4518;0;0;15549;0;0;0;0;0;0;528;0;0;0;0;1279;41919;0;0
NI;03101;Braunschweig, Stadt;186358;155402;1130;154272;51553;38158;21984;4462;20472;0;12660;1671;0;0;0;0;0;2447;0;0;0;0;0;250;0;0;0;0;0;0;0;615;832;154570;34994;34958;27788;6151;20624;0;17978;799;1661;375;871;0;286;1729;0;0;0;145;0;0;87;0;0;0;0;158;5966;0;0
NI;03102;Salzgitter, Stadt;68176;52163;508;51655;15076;13205;2353;1094;13886;0;4606;658;0;371;0;0;0;406;0;0;0;0;0;0;0;0;0;0;0;0;0;0;407;51756;12518;12279;2908;1523;13631;0;4433;313;637;143;213;0;80;206;0;0;0;29;0;0;10;0;0;0;0;73;2760;0;0
NI;03103;Wolfsburg, Stadt;84907;68161;648;67513;20029;19949;5045;2368;14136;0;4395;0;0;0;0;0;0;1036;0;0;0;0;0;118;0;0;0;0;0;0;0;437;418;67743;15936;18278;6384;2656;13970;0;4829;280;778;171;298;0;136;501;0;0;0;42;0;0;36;0;0;0;0;88;3360;0;0
NI;03151;Gifhorn;134848;114259;772;113487;35253;33477;7476;3182;25883;0;5424;1206;0;0;0;0;0;1078;0;0;0;0;0;18;0;0;0;404;0;0;0;86;571;113688;25154;32208;10759;4406;25729;0;6927;772;1398;319;543;0;175;641;0;0;0;77;0;0;24;0;0;0;0;218;4338;0;0
NI;03153;Goslar;102042;82164;762;81402;22609;24948;5685;2180;17307;0;5588;1448;0;226;0;0;0;1077;0;0;0;0;0;0;0;0;0;334;0;0;0;0;531;81633;19227;22592;6676;3128;17376;0;6055;654;1188;211;417;0;141;583;0;0;0;53;0;0;8;0;0;0;0;114;3210;0;0
NI;03154;Helmstedt;70431;58040;485;57555;15897;18612;3711;1672;13107;0;3538;0;0;0;0;0;0;654;0;0;0;0;0;83;0;0;0;0;0;0;0;281;337;57703;13262;16457;4521;2072;12952;0;3766;353;910;214;280;0;119;351;0;0;0;42;0;0;14;0;0;0;0;65;2325;0;0
NI;03155;Northeim;103672;85612;700;84912;27891;24883;6840;2146;16565;0;4357;1313;0;0;0;0;0;623;0;0;0;0;0;0;0;0;0;294;0;0;0;0;490;85122;22078;23568;7697;3356;16879;0;5519;637;972;185;365;0;133;373;0;0;0;52;0;0;18;0;0;0;0;133;3157;0;0
NI;03157;Peine;103040;87590;562;87028;31663;23169;5438;2115;17361;0;4535;1458;0;0;0;0;0;780;0;0;0;0;0;0;0;0;0;509;0;0;0;0;435;87155;22616;23031;7981;3099;17556;0;5954;748;1192;281;377;0;140;492;0;0;0;76;0;0;25;0;0;0;0;177;3410;0;0
NI;03158;Wolfenbüttel;93628;79895;607;79288;25270;23468;6972;2186;13513;0;4922;1207;0;808;0;0;0;942;0;0;0;0;0;0;0;0;0;0;0;0;0;0;438;79457;19349;22311;8995;3166;13830;0;6084;596;994;303;405;0;139;464;0;0;0;61;0;0;18;0;0;0;0;81;2661;0;0
NI;03159;Göttingen;242802;201845;1600;200245;52989;58785;28478;6958;29821;0;17336;2675;0;0;0;0;0;2788;0;0;0;0;0;292;0;0;0;123;0;0;0;0;1083;200762;45328;52242;29350;7863;30392;0;21119;1337;2190;374;860;0;296;1316;0;0;0;142;0;0;87;0;0;0;0;219;7647;0;0
NI;03241;Region Hannover;826583;692812;4597;688215;220603;186482;88235;17791;101822;0;51408;6675;3346;0;1382;0;2151;6736;0;0;0;0;0;573;0;0;0;1011;0;0;0;0;3623;689189;159670;171171;105154;28887;102407;0;70941;3715;7621;1302;3011;0;1419;4680;0;0;0;540;0;0;263;0;0;0;0;840;27568;0;0
