# (c) Die Bundeswahlleiterin, Wiesbaden 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Wahl zum 21. Deutschen Bundestag (23. Februar 2025);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Endgültige Ergebnisse der Erst- und Zweitstimmen nach Bezirksart und Ländern;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr;Land;Stimmenart;Bezirksart;Wahlberechtigte;Wählende;ungültig;gültig;SPD;CDU;GRÜNE;FDP;AfD;CSU;Die Linke;FREIE WÄHLER;Tierschutzpartei;dieBasis;Die PARTEI;Team Todenhöfer;PIRATEN;Volt;ÖDP;SSW;Verjüngungsforschung;PdH;Bündnis C;BP;MLPD;MENSCHLICHE WELT;PdF;SGP;BüSo;BÜNDNIS DEUTSCHLAND;BSW;MERA25;WerteUnion;Übrige;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;Bundesgebiet;E;Zusammen;60510631;49928653;423264;49505389;9936433;12604184;5443393;1622912;10177318;3272064;3933297;1254565;82498;41923;122268;9783;2151;391666;54606;58779;0;1871;2021;5763;24218;0;1282;73;1295;87955;299401;658;2849;70163;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;Bundesgebiet;E;Urne;60510631;31430857;300676;31130181;6117867;7691502;3013080;1005802;7841881;1412491;2678016;651194;43381;24913;72607;6371;1504;203768;23848;39404;0;1014;1321;2133;16170;0;650;54;742;56912;182658;406;1634;38858;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;Bundesgebiet;E;Brief;0;18497796;122588;18375208;3818566;4912682;2430313;617110;2335437;1859573;1255281;603371;39117;17010;49661;3412;647;187898;30758;19375;0;857;700;3630;8048;0;632;19;553;31043;116743;252;1215;31305;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;Bundesgebiet;Z;Zusammen;60510631;49928653;279141;49649512;8149124;11196374;5762380;2148757;10328780;2964028;4356532;769279;482201;85373;242741;24553;13800;355262;49764;76138;303;14294;11768;12278;19551;694;21388;425;676;76372;2472947;6994;6736;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;Bundesgebiet;Z;Urne;60510631;31430857;218085;31212772;4936354;6753331;3210734;1350738;7903397;1263958;2930850;360893;278368;52285;145820;14991;9553;187145;23060;51885;195;8068;7398;4703;13270;516;11680;274;428;50668;1633395;4522;4293;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;Bundesgebiet;Z;Brief;0;18497796;61056;18436740;3212770;4443043;2551646;798019;2425383;1700070;1425682;408386;203833;33088;96921;9562;4247;168117;26704;24253;108;6226;4370;7575;6281;178;9708;151;248;25704;839552;2472;2443;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Schleswig-Holstein;E;Zusammen;2262811;1889968;13739;1876229;424485;573541;279298;67541;302259;0;115098;25139;0;0;2021;0;0;23282;0;58779;0;0;0;0;286;0;0;0;0;3227;0;0;0;1273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Schleswig-Holstein;E;Urne;2262811;1345706;10583;1335123;296852;398207;179733;48275;249806;0;87101;16688;0;0;1182;0;0;14442;0;39404;0;0;0;0;175;0;0;0;0;2412;0;0;0;846;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Schleswig-Holstein;E;Brief;0;544262;3156;541106;127633;175334;99565;19266;52453;0;27997;8451;0;0;839;0;0;8840;0;19375;0;0;0;0;111;0;0;0;0;815;0;0;0;427;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Schleswig-Holstein;Z;Zusammen;2262811;1889968;9963;1880005;352546;518424;279923;88147;306165;0;146428;13675;0;0;13729;0;0;16496;0;76138;0;0;0;0;576;0;0;0;0;2981;64777;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
