© Die Bundeswahlleiterin, Wiesbaden 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zweitstimmen der Urnen- und Briefwählenden seit 1957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Land;Wahlbezirksart;Jahr der Wahl;Wählende;ungültige;ungültige;gültige;CDU, CSU;CDU, CSU;SPD;SPD;AfD;AfD;FDP;FDP;DIE LINKE;DIE LINKE;GRÜNE;GRÜNE;Sonstige;Sonstige;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Anzahl;Anzahl;%;Anzahl;Anzahl;%;Anzahl;%;Anzahl;%;Anzahl;%;Anzahl;%;Anzahl;%;Anzahl;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SH;Urne;1957;1.301.543;53.138;4,1;1.248.405;594.576;47,6;391.213;31,3;X;X;68.665;5,5;X;X;X;X;193.951;15,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SH;Urne;1961;1.348.483;66.697;4,9;1.281.786;530.813;41,4;473.507;36,9;X;X;174.126;13,6;X;X;X;X;103.340;8,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SH;Urne;1965;1.346.143;31.550;2,3;1.314.593;629.044;47,9;516.907;39,3;X;X;121.669;9,3;X;X;X;X;46.973;3,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SH;Urne;1969;1.368.634;16.374;1,2;1.352.260;623.538;46,1;592.494;43,8;X;X;67.726;5;X;X;X;X;68.502;5,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SH;Urne;1972;1.547.342;10.250;0,7;1.537.092;644.333;41,9;753.572;49;X;X;127.227;8,3;X;X;X;X;11.960;0,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SH;Urne;1976;1.496.291;7.342;0,5;1.488.949;646.843;43,4;704.391;47,3;X;X;127.846;8,6;X;X;X;X;9.869;0,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SH;Urne;1980;1.515.114;11.851;0,8;1.503.263;575.531;38,3;712.584;47,4;X;X;191.163;12,7;X;X;18.691;1,2;5.294;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SH;Urne;1983;1.592.504;12.408;0,8;1.580.096;729.083;46,1;671.061;42,5;X;X;97.900;6,2;X;X;76.639;4,9;5.413;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SH;Urne;1987;1.555.284;13.925;0,9;1.541.359;638.036;41,4;630.744;40,9;X;X;142.064;9,2;X;X;117.476;7,6;13.039;0,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SH;Urne;1990;1.491.668;14.148;0,9;1.477.520;637.971;43,2;577.773;39,1;X;X;167.404;11,3;4.637;0,3;56.811;3,8;32.924;2,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SH;Urne;1994;1.455.137;14.543;1;1.440.594;592.104;41,1;589.040;40,9;X;X;102.194;7,1;15.591;1,1;112.155;7,8;29.510;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SH;Urne;1998;1.510.618;21.946;1,5;1.488.672;522.517;35,1;693.743;46,6;X;X;107.458;7,2;21.662;1,5;93.452;6,3;49.840;3,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SH;Urne;2002;1.495.954;16.702;1,1;1.479.252;525.203;35,5;644.866;43,6;X;X;116.013;7,8;19.193;1,3;138.625;9,4;35.352;2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SH;Urne;2005;1.478.040;22.005;1,5;1.456.035;515.269;35,4;564.829;38,8;X;X;148.856;10,2;67.282;4,6;124.897;8,6;34.902;2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SH;Urne;2009;1.391.857;31.710;2,3;1.360.147;429.263;31,6;372.971;27,4;X;X;219.073;16,1;110.052;8,1;169.806;12,5;58.982;4,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SH;Urne;2013;1.351.644;15.442;1,1;1.336.202;521.614;39;429.274;32,1;62.931;4,7;68.743;5,1;72.744;5,4;120.292;9;60.604;4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SH;Urne;2017;1.347.431;11.834;0,9;1.335.597;443.656;33,2;318.838;23,9;115.736;8,7;163.398;12,2;100.501;7,5;157.338;11,8;36.130;2,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SH;Urne;2021;1.187.427;10.675;0,9;1.176.752;258.708;22;333.558;28,3;92.251;7,8;146.459;12,4;43.620;3,7;196.665;16,7;105.491;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SH;Urne;2025;1.345.706;8.219;0,6;1.337.487;355.584;26,6;245.706;18,4;252.335;18,9;63.957;4,8;109.229;8,2;179.836;13,4;130.840;9,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
