© Die Bundeswahlleiterin, Wiesbaden 2025;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Wahlberechtigte mit Wahlschein, Wählende mit einfachem und Briefwahlschein seit 1957;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Land;Jahr der Wahl;Wahlberechtigte insgesamt;Wahlberechtigte ohne Sperrvermerk;Wahlberechtigte mit Sperrvermerk und nach § 25 Abs. 2 BWO;Anteil Wahlberechtigte mit Sperrvermerk und nach § 25 Abs. 2 BWO an Wahlberechtigten insgesamt;Wählende insgesamt;Wählende ohne Wahlschein;Anteil Wählende ohne Wahlschein an den Wählenden insgesamt;Wählende mit einfachen Wahlschein;Wählende mit Briefwahlschein;Anteil Wählende mit Briefwahlschein an den Wählenden insgesamt;Wahlbeteiligung insgesamt: Anteil Wählende insgesamt an Wahlberechtigten insgesamt;Wahlbeteiligung ohne Wahlschein: Anteil Wählende ohne Wahlschein an Wahlberechtigten ohne Sperrvermerk;Wahlbeteiligung mit Wahlschein: Anteil Wählende mit Wahlschein an Wahlberechtigten mit Sperrvermerk;
;;Anzahl;Anzahl;Anzahl;%;Anzahl;Anzahl;%;Anzahl;Anzahl;%;%;%;%;
  SH  ;1957;1.548.961 ;1.467.249 ;81.712 ;5,3;1.367.225 ;1.293.278 ;94,6;8.265 ;65.682 ;4,8;88,3;88,1;90,5;
  SH  ;1961;1.626.141 ;1.531.368 ;94.773 ;5,8;1.431.704 ;1.343.241 ;93,8;5.242 ;83.221 ;5,8;88,0;87,7;93,3;
  SH  ;1965;1.687.266 ;1.571.694 ;115.572 ;6,8;1.448.994 ;1.342.046 ;92,6;4.097 ;102.851 ;7,1;85,9;85,4;92,5;
  SH  ;1969;1.711.511 ;1.596.113 ;115.398 ;6,7;1.471.900 ;1.365.161 ;92,7;3.473 ;103.266 ;7,0;86,0;85,5;92,5;
  SH  ;1972;1.839.177 ;1.710.314 ;128.863 ;7,0;1.665.020 ;1.543.932 ;92,7;3.410 ;117.678 ;7,1;90,5;90,3;94,0;
  SH  ;1976;1.864.033 ;1.658.745 ;205.288 ;11,0;1.687.951 ;1.492.536 ;88,4;3.755 ;191.660 ;11,4;90,6;90,0;95,2;
  SH  ;1980;1.928.108 ;1.711.901 ;216.207 ;11,2;1.716.553 ;1.511.369 ;88,0;3.745 ;201.439 ;11,7;89,0;88,3;94,9;
  SH  ;1983;1.975.075 ;1.789.013 ;186.062 ;9,4;1.761.269 ;1.585.325 ;90,0;7.179 ;168.765 ;9,6;89,2;88,6;94,6;
  SH  ;1987;2.039.338 ;1.856.927 ;182.411 ;8,9;1.720.817 ;1.547.736 ;89,9;7.548 ;165.533 ;9,6;84,4;83,3;94,9;
  SH  ;1990;2.085.858 ;1.920.878 ;164.980 ;7,9;1.639.537 ;1.484.374 ;90,5;7.294 ;147.869 ;9,0;78,6;77,3;94,0;
  SH  ;1994;2.113.279 ;1.838.774 ;274.505 ;13,0;1.708.851 ;1.447.569 ;84,7;7.568 ;253.714 ;14,8;80,9;78,7;95,2;
  SH  ;1998;2.135.992 ;1.865.955 ;270.037 ;12,6;1.760.598 ;1.504.761 ;85,5;5.857 ;249.980 ;14,2;82,4;80,6;94,7;
  SH  ;2002;2.172.756 ;1.897.724 ;275.032 ;12,7;1.753.226 ;1.491.139 ;85,1;4.815 ;257.272 ;14,7;80,7;78,6;95,3;
  SH  ;2005;2.198.777 ;1.919.682 ;279.095 ;12,7;1.739.113 ;1.473.076 ;84,7;4.964 ;261.073 ;15,0;79,1;76,7;95,3;
  SH  ;2009;2.234.720 ;1.958.764 ;275.956 ;12,3;1.644.384 ;1.388.127 ;84,4;3.730 ;252.527 ;15,4;73,6;70,9;92,9;
  SH  ;2013;2.251.796 ;1.939.375 ;312.421 ;13,9;1.645.750 ;1.348.320 ;81,9;3.324 ;294.106 ;17,9;73,1;69,5;95,2;
  SH  ;2017;2.266.012 ;1.863.610 ;402.402 ;17,8;1.729.194 ;1.344.097 ;77,7;3.334 ;381.763 ;22,1;76,3;72,1;95,7;
  SH  ;2021;2.272.717 ;1.651.400 ;621.317 ;27,3;1.776.145 ;1.184.015 ;66,7;3.412 ;588.718 ;33,1;78,2;71,7;95,3;
  SH  ;2025;2.262.811 ;1.687.721 ;575.090 ;25,4;1.889.968 ;1.341.453 ;71,0;4.253 ;544.262 ;28,8;83,5;79,5;95,4;
  MV  ;1990;1.432.336 ;1.398.712 ;33.624 ;2,3;1.015.043 ;983.048 ;96,8;2.401 ;29.594 ;2,9;70,9;70,3;95,2;
  MV  ;1994;1.379.175 ;1.288.568 ;90.607 ;6,6;1.004.208 ;918.920 ;91,5;2.556 ;82.732 ;8,2;72,8;71,3;94,1;
  MV  ;1998;1.407.661 ;1.306.219 ;101.442 ;7,2;1.117.517 ;1.021.169 ;91,4;2.933 ;93.415 ;8,4;79,4;78,2;95,0;
