# (c) Die Bundeswahlleiterin, Statistisches Bundesamt (Destatis), 2025;;;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;
# ;;;;;;;
# Wahl zum 21. Deutschen Bundestag (23. Februar 2025);;;;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;;;
# Zeitreihe seit 1953: Wahlberechtigte ohne und mit Wahlschein, Wählende und Wahlbeteiligung nach Geschlecht und Altersgruppen;;;;;;;
# ;;;;;;;
# 1953: Bundesergebnis ohne Rheinland-Pfalz und Bayern.;;;;;;;
# 1953 und 1957: Keine hochgerechneten Ergebnisse.;;;;;;;
# 1957 bis 1990: Keine kalibrierten Ergebnisse, daher geringfügige Abweichungen zum amtlichen Endergebnis. Anzahl der Wählenden nur ohne Wahlschein.;;;;;;;
# 1994 und 1998 wurde die repräsentative Wahlstatistik durch den Gesetzgeber ausgesetzt.;;;;;;;
# 2002 bis 2013: Anzahl der Wählenden nicht kalibriert, daher geringfügige Abweichungen zum amtlichen Endergebnis.;;;;;;;
# 2002 bis 2013: Gegenüber den damaligen Veröffentlichungen Anzahl der Wählenden nachträglich um den Anteil aller Wahlscheininhaberinnen und -inhabern bereinigt, die nicht an der Wahl teilgenommen haben.;;;;;;;
# Ab 2021: Die Ergebnisse der Männer beinhalten auch die Ergebnisse der Personen mit dem Geschlechtsmerkmal 'divers' als auch derjenigen ohne Geschlechtseintrag im Geburtenregister.;;;;;;;
# Bei der repräsentativen Wahlstatistik werden Geburtsjahresgruppen erhoben, daher sind die Altersgruppen nicht exakt abgegrenzt.;;;;;;;
# Durch Auf- bzw. Abrundungen können sich in der Endsumme geringfügige Abweichungen ergeben.;;;;;;;
# ;;;;;;;
Bundestagswahl;Geschlecht;Altersgruppe etwa von ... bis ... Jahren;Wahlberechtigte;Wahlberechtigte ohne Wahlscheinvermerk;Wahlberechtigte mit Wahlscheinvermerk;Wählende;Wahlbeteiligung
1953;Summe;Summe;370600;;;319800;86,3
1953;Summe;21-24;27100;;;21000;77,5
1953;Summe;25-29;38200;;;31400;82,2
1953;Summe;30-39;67700;;;58500;86,4
1953;Summe;40-49;85500;;;76100;89,0
1953;Summe;50-59;71300;;;64400;90,3
1953;Summe;60-69;47700;;;42300;88,7
1953;Summe;>=70;33100;;;26100;78,9
1953;m;Summe;167300;;;147200;88,0
1953;m;21-24;13900;;;10800;77,7
1953;m;25-29;18000;;;14900;82,8
1953;m;30-39;28800;;;25100;87,2
1953;m;40-49;38400;;;34500;89,8
1953;m;50-59;32800;;;30100;91,8
1953;m;60-69;20600;;;19000;92,2
1953;m;>=70;14700;;;12800;87,1
1953;w;Summe;203300;;;172600;84,9
1953;w;21-24;13100;;;10200;77,9
1953;w;25-29;20200;;;16500;81,7
1953;w;30-39;38800;;;33400;86,1
1953;w;40-49;47100;;;41700;88,5
1953;w;50-59;38500;;;34300;89,1
1953;w;60-69;27100;;;23300;86,0
1953;w;>=70;18400;;;13300;72,3
1957;Summe;Summe;354700;;;311400;87,8
1957;Summe;21-24;28600;;;23100;80,8
1957;Summe;25-29;35900;;;30300;84,4
1957;Summe;30-39;67900;;;60000;88,4
1957;Summe;40-49;69300;;;62700;90,5
1957;Summe;50-59;73000;;;66300;90,8
1957;Summe;60-69;47300;;;42400;89,6
1957;Summe;>=70;32700;;;26500;81,0
1957;m;Summe;161100;;;144400;89,6
1957;m;21-24;14600;;;11800;80,8
1957;m;25-29;18300;;;15600;85,2
1957;m;30-39;29700;;;26600;89,6
1957;m;40-49;30000;;;27500;91,7
1957;m;50-59;34000;;;31400;92,4
1957;m;60-69;20000;;;18600;93,0
1957;m;>=70;14600;;;12900;88,4
1957;w;Summe;193500;;;167000;86,3
1957;w;21-24;14000;;;11300;80,7
1957;w;25-29;17600;;;14700;83,5
1957;w;30-39;38200;;;33400;87,4
1957;w;40-49;39300;;;35100;89,3
1957;w;50-59;39000;;;34900;89,5
1957;w;60-69;27300;;;23900;87,5
1957;w;>=70;18100;;;13600;75,1
1961;Summe;Summe;37389200;35244400;2144800;30821100;87,4
1961;Summe;21-24;3471400;3202200;269100;2544500;79,5
1961;Summe;25-29;3763900;3560500;203400;2995800;84,1
1961;Summe;30-39;7165400;6879300;286100;6139700;89,2
1961;Summe;40-49;6254800;5989900;264900;5414800;90,4
1961;Summe;50-59;7541300;7157600;383700;6475300;90,5
1961;Summe;60-69;5417800;5067500;350300;4524200;89,3
1961;Summe;>=70;3774600;3387300;387300;2726700;80,5
1961;m;Summe;17001600;16038900;962800;14265000;88,9
1961;m;21-24;1767500;1610200;157300;1270200;78,9
1961;m;25-29;1920700;1810100;110600;1530400;84,5
1961;m;30-39;3417200;3276000;141200;2950400;90,1
1961;m;40-49;2647600;2529900;117700;2317500;91,6
1961;m;50-59;3394900;3225400;169500;2967900;92,0
1961;m;60-69;2320100;2177500;142500;2000000;91,8
1961;m;>=70;1533700;1409800;123900;1228600;87,1
1961;w;Summe;20387600;19205500;1182100;16556100;86,2
1961;w;21-24;1703900;1592100;111800;1274200;80,0
1961;w;25-29;1843300;1750400;92800;1465500;83,7
1961;w;30-39;3748200;3603300;144900;3189300;88,5
1961;w;40-49;3607200;3460000;147300;3097300;89,5
1961;w;50-59;4146400;3932200;214200;3507400;89,2
1961;w;60-69;3097700;2890000;207700;2524300;87,3
1961;w;>=70;2240900;1977500;263400;1498100;75,8
1965;Summe;Summe;38444100;35768400;2675800;30714400;85,9
1965;Summe;21-24;2930500;2655500;275000;2039500;76,8
1965;Summe;25-29;4590800;4267700;323100;3485100;81,7
1965;Summe;30-34;3632600;3453700;178800;2975600;86,2
1965;Summe;35-39;3659000;3496200;162800;3083700;88,2
1965;Summe;40-44;3564100;3395000;169000;3020800;89,0
1965;Summe;45-49;2597000;2450100;146900;2176900;88,8
1965;Summe;50-59;7260500;6792600;467900;6075700;89,4
1965;Summe;60-69;6070800;5615000;455800;4970100;88,5
1965;Summe;>=70;4138800;3642400;496400;2887000;79,3
1965;m;Summe;17628600;16237200;1191400;14200500;87,5
1965;m;21-24;1495300;1343900;151300;1022800;76,1
1965;m;25-29;2341200;2162100;179100;1764600;81,6
1965;m;30-34;1851800;1753500;98400;1518800;86,6
1965;m;35-39;1825300;1740100;85100;1551400;89,2
1965;m;40-44;1710800;1440800;70000;1301500;90,3
1965;m;45-49;1070700;1011800;58900;919100;90,8
1965;m;50-59;3115500;2915100;200400;2661200;91,3
1965;m;60-69;2648600;2461600;187000;2244600;91,2
1965;m;>=70;1569400;1408200;161100;1216500;86,4
1965;w;Summe;21015500;19531200;1484300;16513800;84,6
1965;w;21-24;1435200;1311500;123700;1016700;77,5
1965;w;25-29;2249600;2105600;144000;1720500;81,7
1965;w;30-34;1780700;1700300;80500;1456800;85,7
1965;w;35-39;1833800;1756100;77700;1532200;87,3
1965;w;40-44;2053300;1954200;99000;1719300;88,0
1965;w;45-49;1526300;1438300;88000;1257800;87,5
1965;w;50-59;4145000;3877500;267500;3414500;88,1
1965;w;60-69;3422200;3153400;268800;2725600;86,4
1965;w;>=70;2569400;2234200;335200;1670500;74,8
1969;Summe;Summe;38622900;36030300;2592600;31007500;86,1
1969;Summe;21-24;2397100;2209400;187700;1693400;76,6
1969;Summe;25-29;3974600;3691900;282700;3006500;81,4
1969;Summe;30-34;4400200;4173000;227100;3592300;86,1
1969;Summe;35-39;3530100;3384900;145200;2970800;87,8
1969;Summe;40-44;3647500;3479400;168100;3110700;89,4
1969;Summe;45-49;3638200;3446700;191400;3089400;89,6
1969;Summe;50-59;5928100;5550300;377800;4972500;89,6
1969;Summe;60-69;6456000;5992000;464000;5310600;88,6
1969;Summe;>=70;4651100;4102600;548500;3261300;79,5
1969;m;Summe;17339900;16238800;1101100;14206700;87,5
1969;m;21-24;1215000;1116200;98800;851700;76,3
1969;m;25-29;2003600;1854900;148800;1490900;80,4
1969;m;30-34;2212400;2090500;121800;1802300;86,2
1969;m;35-39;1777800;1698400;79400;1502800;88,5
1969;m;40-44;1746800;1666600;80200;1506100;90,4
1969;m;45-49;1496300;1419000;77300;1295500;91,3
1969;m;50-59;2456600;2302700;153800;2109500;91,6
1969;m;60-69;2749600;2565500;184100;2338300;91,1
1969;m;>=70;1681800;1525100;156700;1309500;85,9
1969;w;Summe;21283000;19791500;1491600;16800900;84,9
1969;w;21-24;1182100;1093200;88900;841700;77,0
1969;w;25-29;1971000;1837100;133900;1515600;82,5
1969;w;30-34;2187800;2082500;105300;1790000;86,0
1969;w;35-39;1752300;1686500;65800;1467900;87,0
1969;w;40-44;1900700;1812800;87900;1604600;88,5
1969;w;45-49;2141900;2027700;114200;1794000;88,5
1969;w;50-59;3471500;3247600;223900;2863000;88,2
1969;w;60-69;3706400;3426500;279900;2972300;86,7
1969;w;>=70;2969300;2577500;391800;1951800;75,7
1972;Summe;Summe;41496500;38494800;3001700;34940400;90,8
1972;Summe;18-20;2198500;2047100;151300;1732300;84,6
1972;Summe;21-24;2953900;2693300;260600;2272900;84,4
1972;Summe;25-29;3264200;3007600;256600;2651700;88,2
1972;Summe;30-34;4419900;4172100;247800;3789400;90,8
1972;Summe;35-39;4024800;3849300;175500;3556400;92,4
1972;Summe;40-44;3598400;3452500;145900;3214100;93,1
1972;Summe;45-49;3541400;3367100;174300;3163100;93,9
1972;Summe;50-59;5912800;5562600;350200;5232100;94,1
1972;Summe;60-69;6555600;6092900;462700;5677400;93,2
1972;Summe;>=70;5027100;4250400;776700;3651100;85,9
1972;m;Summe;18976400;17724200;1252300;16197200;91,4
1972;m;18-20;1107700;1030100;77600;875200;85,0
1972;m;21-24;1513200;1375500;137700;1153400;83,9
1972;m;25-29;1665100;1524600;140500;1334900;87,6
1972;m;30-34;2248500;2114000;134500;1910900;90,4
1972;m;35-39;2040800;1947300;93500;1800200;92,4
1972;m;40-44;1821300;1748200;73100;1633000;93,4
1972;m;45-49;1586400;1509400;77000;1425700;94,5
1972;m;50-59;2440200;2300900;139300;2189700;95,2
1972;m;60-69;2739200;2569000;170300;2426900;94,5
