# (c) Die Bundeswahlleiterin, Statistisches Bundesamt (Destatis), 2025;;;;;;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;
# ;;;;;;;;;;
# Wahl zum 21. Deutschen Bundestag (23. Februar 2025);;;;;;;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;;;;;;
# Zeitreihe seit 1953: Zweitstimmen nach Geschlecht und Altersgruppen in %;;;;;;;;;;
# ;;;;;;;;;;
# 1953: Bundesergebnis ohne Rheinland-Pfalz und Bayern.;;;;;;;;;;
# 1953 und 1957: Ergebnisse der CSU in CDU enthalten.;;;;;;;;;;
# Bis 1990: Nicht kalibrierte Hochrechnungen, daher weichen die Summen geringfügig vom amtlichen Endergebnis ab.;;;;;;;;;;
# 1994 und 1998 wurde die repräsentative Wahlstatistik durch den Gesetzgeber ausgesetzt.;;;;;;;;;;
# Ab 2021: Die Ergebnisse der Männer beinhalten auch die Ergebnisse der Personen mit dem Geschlechtsmerkmal 'divers' als auch derjenigen ohne Geschlechtseintrag im Geburtenregister.;;;;;;;;;;
# Bei der repräsentativen Wahlstatistik werden Geburtsjahresgruppen erhoben, daher sind die Altersgruppen nicht exakt abgegrenzt.;;;;;;;;;;
# ;;;;;;;;;;
Bundestagswahl;Geschlecht;Altersgruppe etwa von ... bis ... Jahren;SPD;CDU;GRÜNE;FDP;AfD;CSU;PDS/Die Linke;Sonstige
1953;Summe;Summe;29,9;43,3;;11,0;;;;15,8
1953;Summe;21-29;31,6;45,0;;9,7;;;;13,7
1953;Summe;30-59;30,4;41,6;;11,6;;;;16,5
1953;Summe;>=60;27,2;47,1;;10,4;;;;15,2
1953;m;Summe;32,5;38,9;;11,7;;;;16,9
1953;m;21-29;34,3;41,4;;10,0;;;;14,3
1953;m;30-59;32,9;37,0;;12,3;;;;17,8
1953;m;>=60;30,1;42,2;;11,4;;;;16,3
1953;w;Summe;27,6;47,2;;10,4;;;;14,8
1953;w;21-29;29,0;48,4;;9,5;;;;13,1
1953;w;30-59;28,3;45,4;;11,0;;;;15,4
1953;w;>=60;24,7;51,4;;9,6;;;;14,3
1957;Summe;Summe;31,9;49,3;;8,0;;;;10,8
1957;Summe;21-29;34,7;49,5;;7,3;;;;8,6
1957;Summe;30-59;32,4;48,1;;8,4;;;;11,1
1957;Summe;>=60;28,3;52,6;;7,4;;;;11,7
1957;m;Summe;35,3;44,6;;8,6;;;;11,5
1957;m;21-29;37,9;46,1;;7,5;;;;8,5
1957;m;30-59;35,8;43,2;;9,1;;;;11,9
1957;m;>=60;31,8;47,1;;8,2;;;;12,9
1957;w;Summe;28,9;53,5;;7,4;;;;10,2
1957;w;21-29;31,3;53,1;;7,0;;;;8,6
1957;w;30-59;29,5;52,2;;7,8;;;;10,5
1957;w;>=60;25,3;57,4;;6,7;;;;10,6
1961;Summe;Summe;36,1;35,7;;12,9;;9,6;;5,8
1961;Summe;21-29;37,9;36,3;;12,0;;9,9;;3,8
1961;Summe;30-59;36,9;34,3;;13,5;;9,2;;6,1
1961;Summe;>=60;32,5;38,7;;11,8;;10,4;;6,6
1961;m;Summe;39,7;31,9;;13,6;;8,5;;6,4
1961;m;21-29;41,0;33,7;;12,2;;9,3;;3,9
1961;m;30-59;40,7;30,2;;14,4;;8,0;;6,7
1961;m;>=60;35,9;34,4;;12,9;;9,0;;7,8
1961;w;Summe;32,9;39,0;;12,2;;10,6;;5,3
1961;w;21-29;34,8;38,9;;11,9;;10,6;;3,8
1961;w;30-59;33,7;37,7;;12,8;;10,2;;5,6
1961;w;>=60;29,7;42,2;;10,9;;11,5;;5,7
1965;Summe;Summe;39,8;37,7;;9,4;;9,6;;3,5
1965;Summe;21-29;39,8;39,6;;8,2;;9,8;;2,7
1965;Summe;30-44;43,5;34,7;;9,5;;8,9;;3,4
1965;Summe;45-59;39,0;37,2;;10,3;;9,2;;4,2
1965;Summe;>=60;36,3;40,2;;9,4;;10,5;;3,6
1965;m;Summe;44,0;33,5;;9,7;;8,6;;4,3
1965;m;21-29;43,0;36,8;;7,9;;9,3;;3,0
1965;m;30-44;47,9;30,8;;9,3;;8,1;;3,9
1965;m;45-59;43,0;32,5;;10,9;;8,2;;5,4
1965;m;>=60;40,7;35,1;;10,4;;9,0;;4,8
1965;w;Summe;36,2;41,3;;9,2;;10,4;;2,9
1965;w;21-29;36,6;42,4;;8,4;;10,3;;2,3
1965;w;30-44;39,5;38,3;;9,6;;9,7;;2,9
1965;w;45-59;36,0;40,9;;9,8;;10,1;;3,2
1965;w;>=60;32,8;44,4;;8,5;;11,6;;2,7
1969;Summe;Summe;42,8;36,5;;5,6;;9,5;;5,6
1969;Summe;21-29;46,5;33,9;;6,5;;9,2;;4,0
1969;Summe;30-44;46,0;33,8;;5,9;;9,0;;5,3
1969;Summe;45-59;41,0;36,8;;5,7;;9,5;;7,0
1969;Summe;>=60;38,6;40,8;;4,8;;10,2;;5,5
1969;m;Summe;45,6;32,1;;6,1;;8,5;;7,7
1969;m;21-29;48,1;31,0;;6,9;;8,6;;5,4
1969;m;30-44;48,6;30,4;;6,0;;8,2;;6,8
1969;m;45-59;43,8;31,5;;6,2;;8,3;;10,2
1969;m;>=60;41,5;35,8;;5,5;;9,0;;8,2
1969;w;Summe;40,4;40,3;;5,3;;10,3;;3,7
1969;w;21-29;44,8;36,9;;6,0;;9,7;;2,5
1969;w;30-44;43,5;37,3;;5,8;;9,8;;3,7
1969;w;45-59;39,0;40,7;;5,4;;10,3;;4,7
1969;w;>=60;36,5;44,5;;4,4;;11,1;;3,5
1972;Summe;Summe;46,3;35,1;;8,2;;9,5;;0,9
1972;Summe;18-24;54,7;26,5;;9,1;;8,8;;1,0
1972;Summe;25-34;47,8;32,2;;10,3;;9,0;;0,7
1972;Summe;35-44;47,9;33,2;;8,6;;9,4;;0,9
1972;Summe;45-59;44,2;36,7;;8,2;;9,7;;1,2
1972;Summe;>=60;42,2;40,7;;6,1;;9,9;;1,0
1972;m;Summe;46,9;33,8;;8,8;;9,2;;1,3
1972;m;18-24;54,3;26,1;;9,6;;8,7;;1,4
1972;m;25-34;48,1;31,6;;10,5;;8,9;;0,9
1972;m;35-44;48,4;32,3;;8,9;;9,2;;1,1
1972;m;45-59;45,0;35,2;;8,9;;9,2;;1,7
1972;m;>=60;42,5;39,6;;6,7;;9,7;;1,5
1972;w;Summe;45,7;36,3;;7,7;;9,7;;0,6
1972;w;18-24;55,0;26,9;;8,5;;9,0;;0,6
1972;w;25-34;47,5;32,9;;10,1;;9,0;;0,4
1972;w;35-44;47,3;34,2;;8,3;;9,6;;0,6
1972;w;45-59;43,6;37,9;;7,7;;10,0;;0,7
1972;w;>=60;42,0;41,6;;5,7;;10,1;;0,6
1976;Summe;Summe;43,3;37,4;;7,8;;10,6;;0,8
1976;Summe;18-24;49,8;30,1;;8,5;;10,1;;1,4
1976;Summe;25-34;44,9;33,6;;10,5;;10,1;;0,8
1976;Summe;35-44;41,1;38,9;;8,9;;10,6;;0,6
1976;Summe;45-59;42,4;38,7;;7,5;;10,5;;0,9
1976;Summe;>=60;42,0;40,7;;5,4;;11,2;;0,7
1976;m;Summe;43,6;36,8;;8,1;;10,4;;1,2
1976;m;18-24;49,4;30,0;;8,5;;10,3;;1,8
1976;m;25-34;45,3;33,2;;10,3;;10,1;;1,1
1976;m;35-44;41,4;38,4;;9,0;;10,4;;0,8
1976;m;45-59;42,7;38,3;;7,7;;10,1;;1,2
1976;m;>=60;42,0;40,3;;5,7;;10,9;;1,1
1976;w;Summe;43,1;38,0;;7,6;;10,8;;0,5
1976;w;18-24;50,2;30,2;;8,6;;10,0;;1,0
1976;w;25-34;44,5;34,1;;10,7;;10,1;;0,6
1976;w;35-44;40,9;39,3;;8,7;;10,7;;0,4
1976;w;45-59;42,1;39,0;;7,4;;10,9;;0,6
1976;w;>=60;42,0;41,1;;5,2;;11,4;;0,4
1980;Summe;Summe;43,5;33,8;1,4;10,6;;10,2;;0,4
1980;Summe;18-24;48,9;25,0;4,8;11,4;;9,4;;0,6
1980;Summe;25-34;47,1;26,6;2,4;13,3;;10,0;;0,6
1980;Summe;35-44;40,5;34,9;0,9;13,1;;10,3;;0,3
1980;Summe;45-59;42,4;36,3;0,6;9,9;;10,3;;0,5
1980;Summe;>=60;42,1;39,1;0,4;7,4;;10,7;;0,4
1980;m;Summe;43,1;34,0;1,6;10,5;;10,2;;0,6
1980;m;18-24;47,6;26,0;5,3;10,9;;9,6;;0,7
1980;m;25-34;46,4;27,4;2,6;12,8;;10,2;;0,7
1980;m;35-44;40,3;35,3;0,9;12,7;;10,4;;0,4
1980;m;45-59;42,2;36,8;0,6;9,7;;10,1;;0,6
1980;m;>=60;41,2;39,9;0,4;7,1;;10,7;;0,7
1980;w;Summe;43,9;33,5;1,2;10,8;;10,2;;0,3
1980;w;18-24;50,3;23,9;4,3;11,9;;9,1;;0,4
1980;w;25-34;47,9;25,9;2,1;13,9;;9,7;;0,5
1980;w;35-44;40,7;34,4;0,8;13,6;;10,2;;0,2
1980;w;45-59;42,5;35,9;0,6;10,1;;10,6;;0,3
1980;w;>=60;42,6;38,7;0,3;7,5;;10,6;;0,3
1983;Summe;Summe;38,9;38,0;5,3;6,7;;10,5;;0,5
1983;Summe;18-24;39,0;31,4;13,9;5,3;;9,8;;0,6
1983;Summe;25-34;39,4;32,8;10,8;6,3;;10,2;;0,6
1983;Summe;35-44;36,0;39,7;4,4;8,6;;10,9;;0,4
1983;Summe;45-59;39,6;39,7;2,4;7,3;;10,4;;0,5
1983;Summe;>=60;39,8;41,7;1,2;5,9;;10,9;;0,5
1983;m;Summe;38,4;37,4;5,9;7,2;;10,3;;0,7
1983;m;18-24;37,6;32,2;14,2;5,4;;9,8;;0,7
1983;m;25-34;38,3;32,9;11,5;6,3;;10,2;;0,7
1983;m;35-44;35,7;39,5;4,7;8,8;;10,8;;0,5
1983;m;45-59;39,7;39,1;2,4;8,0;;10,1;;0,7
1983;m;>=60;39,9;40,4;1,5;6,8;;10,5;;0,9
1983;w;Summe;39,4;38,5;4,8;6,3;;10,7;;0,3
1983;w;18-24;40,6;30,6;13,5;5,2;;9,7;;0,4
1983;w;25-34;40,4;32,6;10,1;6,2;;10,2;;0,5
1983;w;35-44;36,4;40,0;4,1;8,3;;10,9;;0,3
1983;w;45-59;39,6;40,1;2,4;6,7;;10,8;;0,4
1983;w;>=60;39,7;42,4;1,1;5,4;;11,1;;0,3
1987;Summe;Summe;38,1;34,2;8,0;8,7;;9,6;;1,4
1987;Summe;18-24;38,1;27,5;15,5;8,3;;8,5;;2,1
1987;Summe;25-34;39,0;25,9;17,4;7,6;;8,7;;1,5
1987;Summe;35-44;37,1;32,2;9,6;10,6;;9,3;;1,2
1987;Summe;45-59;38,8;36,5;3,8;9,9;;9,8;;1,3
1987;Summe;>=60;37,5;41,4;1,8;7,3;;10,9;;1,2
1987;m;Summe;38,5;33,2;8,3;9,2;;9,3;;1,6
1987;m;18-24;37,5;28,5;14,5;8,6;;8,5;;2,3
1987;m;25-34;39,0;26,1;16,9;7,9;;8,6;;1,5
1987;m;35-44;37,6;31,4;9,9;10,7;;9,2;;1,2
1987;m;45-59;39,4;35,8;3,7;10,3;;9,4;;1,4
1987;m;>=60;38,0;39,8;2,2;7,9;;10,3;;1,7
1987;w;Summe;37,8;35,1;7,7;8,3;;10,0;;1,2
1987;w;18-24;38,7;26,3;16,5;8,0;;8,5;;1,9
1987;w;25-34;39,0;25,7;17,9;7,3;;8,7;;1,5
1987;w;35-44;36,6;33,0;9,3;10,5;;9,5;;1,1
1987;w;45-59;38,1;37,2;3,9;9,4;;10,2;;1,1
1987;w;>=60;37,2;42,3;1,6;6,9;;11,2;;0,8
1990;Summe;Summe;33,8;36,6;3,6;10,8;;6,8;2,6;5,6
1990;Summe;18-24;34,4;29,7;8,1;10,5;;5,9;2,5;8,9
1990;Summe;25-34;38,2;28,9;7,9;9,7;;5,8;2,8;6,7
1990;Summe;35-44;34,7;33,2;4,8;12,6;;6,4;2,9;5,4
1990;Summe;45-59;32,1;39,5;1,5;12,4;;7,0;2,6;4,8
1990;Summe;>=60;31,8;43,7;0,6;9,0;;8,0;2,5;4,4
1990;m;Summe;34,1;35,3;3,6;11,0;;6,7;2,8;8,2
1990;m;18-24;32,8;30,6;7,3;10,6;;5,8;2,7;11,0
1990;m;25-34;37,5;29,3;7,4;9,9;;5,9;2,8;8,5
1990;m;35-44;34,8;32,6;4,8;12,4;;6,4;3,0;7,7
1990;m;45-59;32,8;38,6;1,4;12,5;;6,8;2,8;7,2
1990;m;>=60;33,0;40,8;0,6;9,3;;7,8;2,9;8,2
1990;w;Summe;33,6;37,8;3,7;10,6;;7,0;2,5;6,1
1990;w;18-24;36,2;28,7;9,0;10,3;;5,9;2,3;7,5
1990;w;25-34;39,0;28,4;8,4;9,6;;5,8;2,8;6,8
1990;w;35-44;34,7;33,8;4,8;12,7;;6,5;2,7;6,0
1990;w;45-59;31,5;40,5;1,6;12,3;;7,2;2,5;5,9
1990;w;>=60;31,0;45,7;0,5;8,8;;8,2;2,2;5,5
2002;Summe;Summe;38,5;29,5;8,6;7,4;;9,0;4,0;3,1
2002;Summe;18-24;38,1;23,5;11,2;10,2;;8,5;3,7;4,8
2002;Summe;25-34;37,1;25,0;11,9;9,8;;8,9;3,3;4,1
2002;Summe;35-44;39,3;25,2;12,6;7,2;;8,3;3,9;3,6
2002;Summe;45-59;38,8;28,9;8,8;7,4;;8,5;4,7;2,9
2002;Summe;>=60;38,5;36,1;3,8;5,8;;9,9;3,9;2,0
2002;m;Summe;36,7;30,1;8,2;8,1;;9,1;4,3;3,5
2002;m;18-24;34,9;24,8;10,9;11,5;;8,5;4,0;5,5
2002;m;25-34;34,4;26,5;11,3;11,0;;9,0;3,4;4,5
2002;m;35-44;37,5;26,5;11,7;7,8;;8,8;3,9;3,9
2002;m;45-59;37,6;29,6;8,4;7,7;;8,6;5,0;3,2
2002;m;>=60;37,0;36,5;3,4;6,3;;9,9;4,5;2,4
2002;w;Summe;40,2;28,9;8,9;6,7;;8,9;3,7;2,7
2002;w;18-24;41,3;22,3;11,4;8,9;;8,4;3,4;4,2
2002;w;25-34;39,9;23,5;12,6;8,5;;8,7;3,1;3,6
2002;w;35-44;41,1;23,9;13,5;6,5;;7,9;3,8;3,3
