(c) Die Bundeswahlleiterin, Wiesbaden 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bundestagswahl 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amtliches Endergebnis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr;Gebiet;gehört zu;Wahlberechtigte;;;;Wählende;;;;Ungültige Stimmen;;;;Gültige Stimmen;;;;Sozialdemokratische Partei Deutschlands;;;;Christlich Demokratische Union Deutschlands;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Christlich-Soziale Union in Bayern e.V.;;;;Die Linke;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Basisdemokratische Partei Deutschland;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Die Gerechtigkeitspartei – Team Todenhöfer;;;;Piratenpartei Deutschland;;;;Volt Deutschland;;;;Ökologisch-Demokratische Partei - Die Naturschutzpartei;;;;Südschleswigscher Wählerverband;;;;Partei für Verjüngungsforschung;;;;Partei der Humanisten - Fakten, Freiheit, Fortschritt;;;;Bündnis C - Christen für Deutschland;;;;Bayernpartei;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Menschliche Welt - für das Wohl und Glücklichsein aller;;;;Partei des Fortschritts;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;Bürgerrechtsbewegung Solidarität;;;;BÜNDNIS DEUTSCHLAND;;;;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;;;;MERA25 - Gemeinsam für Europäische Unabhängigkeit;;;;WerteUnion;;;;Übrige;;;
;;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;
;;;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode
1;Flensburg – Schleswig;901;232131;231536;232131;231536;192882;180112;192882;180112;1097;1537;988;1487;191785;178575;191894;178625;28376;38927;30558;45508;50838;41721;47686;36421;43298;50231;30595;33300;4487;12299;7067;19189;28827;9768;29272;10317;;;;;10375;6544;15912;7475;1547;2324;1137;1715;;;;1990;;3357;;2866;;;1212;1844;;;;318;;;;;1452;;1449;403;;;;132;21468;13020;20575;16415;;;;;;;;157;;;;;;;;;;;53;12;;;;;;;;;;;;;;;;;646;;328;;;;6050;;;;;;;;;;471;384;;563
2;Nordfriesland – Dithmarschen Nord;901;186019;188267;186019;188267;153755;145387;153755;145387;1038;1337;840;1242;152717;144050;152915;144145;31169;40026;26639;37926;49866;43745;45302;35511;16628;20611;18764;22588;5750;13958;7618;18350;24474;8274;24564;8798;;;;;7920;4060;9442;4437;1484;1510;1099;1081;;;;1604;;2254;;1836;;;1067;1322;;;;239;;;;;1172;;1023;237;;;;121;14254;9410;12264;9516;;;;;;;;130;;;;;;;;;;;48;26;;;;;;;;;;;;;;;;;;;178;;;;4907;;;;;;;;;;;202;;423
3;Steinburg – Dithmarschen Süd;901;175948;176899;175948;176899;146393;136299;146393;136299;1146;1319;801;1190;145247;134980;145592;135109;30702;39379;25602;37468;50887;39431;42561;32842;14449;16686;16071;19237;5625;19315;7435;18492;29674;10429;29653;11303;;;;;8665;4339;9656;4524;3111;2566;1542;1713;;;;1719;;2040;;1712;;;1213;1346;;;;283;;;;;2134;;1229;226;;;;105;;;4992;3366;;;;;;;;118;;;;;;;;;;;45;25;;;;;;;;;;;;;;;;;;;236;;;;5357;;;;;;;;;;;795;;630
4;Rendsburg-Eckernförde;901;202649;202226;202649;202226;172504;162060;172504;162060;1137;1410;858;1105;171367;160650;171646;160955;36266;49474;30418;43148;56163;47688;50231;38517;20473;23832;25226;28828;8170;12903;7956;19322;26417;10200;27498;10564;;;;;8675;4416;10890;5163;1367;1651;992;1174;;;;1728;;2502;;2375;;2150;1161;1618;;;;244;;;;;1327;;974;253;;;;122;11075;5834;10497;7304;;;;;;;;136;;;;;;;;;;;42;33;;;;;;;;;;;;;;;;;632;;298;;;;5463;;;;;;;;;;802;0;;426
5;Kiel;901;201508;202482;201508;202482;167176;155986;167176;155986;980;1170;867;918;166196;154816;166309;155068;36690;45709;32088;40338;34944;28416;32842;23920;43281;43532;38148;44089;4828;11445;6567;16110;17811;7147;17884;7654;;;;;15953;7275;22781;9430;777;1144;575;954;;;;1676;;2009;;1924;2021;2944;1457;2185;;;;747;;;;;2526;666;1927;556;;;;116;7365;4141;6343;4486;;;;;;;;299;;;;;;;;;;76;61;39;;;;;;;;;;;;;;;;;;;185;;;;5451;;;;;;;;;;;312;;545
6;Plön – Neumünster;901;173740;174908;173740;174908;143576;133721;143576;133721;1863;1759;921;1194;141713;131962;142655;132527;33977;41497;27342;38670;46370;36870;40815;30290;18852;20740;19957;23051;4693;12420;6150;15901;25249;9404;25683;9741;;;;;7623;3718;9657;4232;3022;2386;1160;1275;;;;1446;;2508;;2007;;2196;992;1300;;;;415;;;;;1927;;1117;230;;;;94;;;4523;3203;;;;;;;;111;;;;;;;;;;;40;23;;;;;;;;;;;;;;;;;;;177;;;;5042;;;;;;;;;;;223;;538
7;Pinneberg;901;236767;238388;236767;238388;200304;191512;200304;191512;1202;1443;985;1242;199102;190069;199319;190270;49714;59298;40326;55693;63232;49710;57531;42057;25395;32109;28967;34291;7675;20737;10087;25663;30417;12141;31098;13080;;;;;12683;5659;15091;6363;2190;2380;1313;1731;;;;2320;;2895;;2389;;2352;1360;1805;;;;799;;;;;2423;;2016;457;;;;202;4617;2622;3976;2527;;;;;;;;182;;;;;;;;;;;47;21;;;;;;;;;;;;;;;;;756;;385;;;;7122;;;;;;;;;;;166;;690
8;Segeberg – Stormarn-Mitte;901;249219;249202;249219;249202;211551;199618;211551;199618;1504;1700;1042;1353;210047;197918;210509;198265;51437;63369;40174;56658;67880;55265;61180;44285;24800;27109;28808;33361;9417;20575;10974;27675;36071;14040;36208;14527;;;;;12636;6202;14888;6468;3261;4670;1722;2297;;;;2663;;3389;;2839;;3299;1692;2226;;;;586;;;;;3352;;2166;509;;;;194;;;4409;3108;;;;;;;;186;;;;;;;;;;;51;30;;;;;;;;;;;;;;;;;1193;;465;;;;7772;;;;;;;;;;;0;;653
